Date,Description,Totals,Conakry,Gueckedou,Macenta,Dabola,Kissidougou,Dinguiraye,Telimele,Boffa,Kouroussa,Siguiri,Pita,Mzerekore,Yomou,Dubreka,Forecariah,Kerouane,Coyah,Dalaba,Beyla,Kindia,Lola
2014-09-02,New cases of suspects,11,,5,6,,,,,,,,,,,,,,,,,,
2014-09-02,New cases of probables,0,,,,,,,,,,,,,,,,,,,,,
2014-09-02,New cases of confirmed,14,,4,6,,,,,,,,,,,,,,,,,,
2014-09-02,Total new cases registered so far,25,0,9,12,0,0,0,0,0,0,0,0,0,0,1,0,0,3,,,,
2014-09-02,Total cases of suspects,49,15,5,17,0,0,0,0,1,0,0,2,0,1,1,2,5,0,,,,
2014-09-02,Total cases of probables,150,8,110,11,3,5,1,3,5,2,0,1,1,0,0,0,0,0,,,,
2014-09-02,Total cases of confirmed,591,110,219,146,1,2,0,23,19,2,6,6,10,10,20,5,9,3,,,,
2014-09-02,Cumulative (confirmed + probable + suspects),790,133,334,174,4,7,1,26,25,4,6,9,11,11,21,7,14,3,,,,
2014-09-02,Total suspected non-class cases,642,228,244,85,1,7,0,18,19,1,8,10,7,3,4,7,0,0,,,,
2014-09-02,New deaths registered,5,,2,3,,,,,,,,,,,,,,,,,,
2014-09-02,Total deaths of suspects,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2014-09-02,Total deaths of probables,150,8,110,11,3,5,1,3,5,2,0,1,1,0,0,0,0,0,,,,
2014-09-02,Total deaths of confirmed,349,46,173,88,1,1,0,7,11,2,3,2,5,4,3,3,0,0,,,,
2014-09-02,Total deaths (confirmed + probables + suspects),501,56,283,99,4,6,1,10,16,4,3,3,6,4,3,3,0,0,,,,
2014-09-02,Fatality rate for confirmed and probables,63%,42%,85%,57%,100%,86%,100%,38%,64%,100%,50%,33%,55%,36%,14%,43%,0%,0%,,,,
2014-09-02,New cases of confirmed among health workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2014-09-02,Total case of confirmed among health workers,50,24,8,8,0,0,0,2,0,0,2,0,1,1,4,0,0,0,,,,
2014-09-02,New deaths registered among health workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2014-09-02,Total deaths registered among health workers,26,11,6,6,0,0,0,1,0,0,0,0,1,1,0,0,0,0,,,,
2014-09-02,New admits to CTE so far,29,6,23,,,,,,,,,,,,,,,,,,,
2014-09-02,Total number of hospitalized cases in CTE,105,38,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2014-09-02,Total number of exits from CTE,24,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2014-09-02,Total number of admissions to CTE,1144,368,722,0,0,0,0,41,0,0,13,0,0,0,0,0,0,0,,,,
2014-09-02,New contacts registered so far,0,,,,,,,,,,,,,,,,,,,,,
2014-09-02,Total contacts registered from start date,8189,1986,3497,970,69,159,0,259,397,94,141,137,196,56,157,71,0,0,,,,
2014-09-02,Number of contacts to follow today,1842,337,259,829,0,0,0,0,0,48,0,97,80,35,157,0,0,0,,,,
2014-09-02,Number of contacts followed today,1641,332,259,645,0,0,0,0,0,48,0,92,79,32,154,0,0,0,,,,
2014-09-02,Number of contacts out of the track 21 days,6504,1727,3116,434,69,159,0,259,397,46,141,40,116,0,0,0,0,0,,,,
2014-09-02,Number of contacts lost to follow up,76,0,0,64,0,0,0,0,0,0,0,5,2,2,3,0,0,0,,,,
2014-09-02,Number of samples collected today,31,12,19,0,,,,,,,,,,,,,,,,,,
2014-09-02,Number of samples under test,0,0,0,0,,,,,,,,,,,,,,,,,,
2014-09-02,Total samples tested,2018,843,1175,0,,,,,,,,,,,,,,,,,,
