Date,Description,Totals,Conakry,Gueckedou,Macenta,Dabola,Kissidougou,Dinguiraye,Telimele,Boffa,Kouroussa,Siguiri,Pita,Mzerekore,Yomou,Dubreka,Forecariah,Kerouane,Coyah,Dalaba,Beyla,Kindia,Lola
2014-09-14,New cases of suspects,0,,,,,,,,,,,,,,,,,,,,,
2014-09-14,New cases of probables,11,,,,,,,,,,,,11,,,,,,,,,
2014-09-14,New cases of confirmed,14,,1,10,,,,,,,,,3,,,,,,,,,
2014-09-14,Total new cases registered so far,25,0,1,10,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,,,
2014-09-14,Total cases of suspects,31,10,5,10,0,1,0,0,0,0,0,2,0,0,0,1,0,1,1,,,
2014-09-14,Total cases of probables,162,8,110,12,3,5,1,3,5,2,0,1,12,0,0,0,0,0,0,,,
2014-09-14,Total cases of confirmed,743,120,235,245,1,2,0,23,19,2,6,6,17,11,21,8,19,7,1,,,
2014-09-14,Cumulative (confirmed + probable + suspects),936,138,350,267,4,8,1,26,24,4,6,9,29,11,21,9,19,8,2,,,
2014-09-14,Total suspected non-class cases,787,278,255,130,3,7,0,18,20,1,9,17,9,4,19,9,5,3,0,,,
2014-09-14,New deaths registered,1,,,1,,,,,,,,,,,,,,,,,,
2014-09-14,Total deaths of suspects,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014-09-14,Total deaths of probables,162,8,110,12,3,5,1,3,5,2,0,1,12,0,0,0,0,0,0,,,
2014-09-14,Total deaths of confirmed,429,49,182,142,1,1,0,7,11,2,3,2,9,5,4,5,2,4,0,,,
2014-09-14,Total deaths (confirmed + probables + suspects),595,59,292,156,4,6,1,10,16,4,3,3,21,5,4,5,2,4,0,,,
2014-09-14,Fatality rate for confirmed and probables,64%,43%,83%,58%,100%,75%,100%,38%,67%,100%,50%,33%,72%,45%,19%,56%,11%,50%,0%,,,
2014-09-14,New cases of confirmed among health workers,0,,,,,,,,,,,,,,,,,,,,,
2014-09-14,Total case of confirmed among health workers,61,33,9,9,0,0,0,2,0,0,2,0,1,1,3,0,0,1,0,,,
2014-09-14,New deaths registered among health workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014-09-14,Total deaths registered among health workers,30,14,6,7,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,,,
2014-09-14,New admits to CTE so far,6,1,5,,,,,,,,,,,,,,,,,,,
2014-09-14,Total number of hospitalized cases in CTE,84,15,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014-09-14,Total number of exits from CTE,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014-09-14,Total number of admissions to CTE,1294,429,811,0,0,0,0,41,0,0,13,0,0,0,0,0,0,0,0,,,
2014-09-14,New contacts registered so far,27,,5,,,,,,,,,,20,,,1,,1,,,,
2014-09-14,Total contacts registered from start date,9553,2489,3738,1126,69,159,0,259,397,94,141,140,258,56,180,123,208,116,0,,,
2014-09-14,Number of contacts to follow today,2472,613,316,831,0,0,0,0,0,48,0,25,93,35,172,104,137,98,0,,,
2014-09-14,Number of contacts followed today,2145,597,308,555,0,0,0,0,0,48,0,25,72,30,172,103,137,98,0,,,
2014-09-14,Number of contacts out of the track 21 days,7066,1870,3420,295,69,159,0,259,397,46,141,115,165,16,8,18,71,17,0,,,
2014-09-14,Number of contacts lost to follow up,15,6,2,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,,,
2014-09-14,Number of samples collected today,48,11,37,0,,,,,,,,,,,,,,,,,,
2014-09-14,Number of samples under test,0,0,0,0,,,,,,,,,,,,,,,,,,
2014-09-14,Total samples tested,2373,973,1400,0,,,,,,,,,,,,,,,,,,
