Date,Description,Totals,Conakry,Gueckedou,Macenta,Dabola,Kissidougou,Dinguiraye,Telimele,Boffa,Kouroussa,Siguiri,Pita,Mzerekore,Yomou,Dubreka,Forecariah,Kerouane,Coyah,Dalaba,Beyla,Kindia,Lola
2014-09-11,New cases of suspects,9,,4,1,,,,,,,,,,,,1,3,,,,,
2014-09-11,New cases of probables,0,,,,,,,,,,,,,,,,,,,,,
2014-09-11,New cases of confirmed,13,2,1,9,,,,,,,,,,,,,,1,,,,
2014-09-11,Total new cases registered so far,22,2,5,10,0,0,0,0,0,0,0,0,0,0,0,1,3,1,,,,
2014-09-11,Total cases of suspects,32,10,5,12,0,0,0,0,0,0,0,1,0,0,0,1,3,0,,,,
2014-09-11,Total cases of probables,151,8,110,12,3,5,1,3,5,2,0,1,1,0,0,0,0,0,,,,
2014-09-11,Total cases of confirmed,716,117,232,232,1,2,0,23,19,2,6,6,14,11,21,7,17,6,,,,
2014-09-11,Cumulative (confirmed + probable + suspects),899,135,347,256,4,7,1,26,24,4,6,8,15,11,21,8,20,6,,,,
2014-09-11,Total suspected non-class cases,747,259,252,128,3,7,0,18,19,1,8,13,9,4,17,9,3,1,,,,
2014-09-11,New deaths registered,2,,,2,,,,,,,,,,,,,,,,,,
2014-09-11,Total deaths of suspects,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2014-09-11,Total deaths of probables,151,8,110,12,3,5,1,3,5,2,0,1,1,0,0,0,0,0,,,,
2014-09-11,Total deaths of confirmed,413,47,182,134,1,1,0,7,11,2,3,2,7,5,4,4,1,2,,,,
2014-09-11,Total deaths (confirmed + probables + suspects),568,57,292,148,4,6,1,10,16,4,3,3,8,5,4,4,1,2,,,,
2014-09-11,Fatality rate for confirmed and probables,63%,42%,84%,58%,100%,86%,100%,38%,67%,100%,50%,38%,53%,45%,19%,50%,5%,33%,,,,
2014-09-11,New cases of confirmed among health workers,2,2,,,,,,,,,,,,,,,,,,,,
2014-09-11,Total case of confirmed among health workers,57,31,8,8,0,0,0,2,0,0,2,0,1,1,4,0,0,0,,,,
2014-09-11,New deaths registered among health workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2014-09-11,Total deaths registered among health workers,28,13,6,6,0,0,0,1,0,0,0,0,1,1,0,0,0,0,,,,
2014-09-11,New admits to CTE so far,3,2,1,,,,,,,,,,,,,,,,,,,
2014-09-11,Total number of hospitalized cases in CTE,108,23,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2014-09-11,Total number of exits from CTE,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2014-09-11,Total number of admissions to CTE,1244,416,774,0,0,0,0,41,0,0,13,0,0,0,0,0,0,0,,,,
2014-09-11,New contacts registered so far,172,14,43,48,,,,,,,,,3,,,59,,5,,,,
2014-09-11,Total contacts registered from start date,9378,2412,3702,1126,69,159,0,259,397,94,141,140,217,56,180,121,208,97,,,,
2014-09-11,Number of contacts to follow today,2453,600,292,831,0,0,0,0,0,48,0,32,52,35,180,121,208,97,,,,
2014-09-11,Number of contacts followed today,2136,574,292,555,0,0,0,0,0,48,0,32,52,30,180,118,165,90,,,,
2014-09-11,Number of contacts out of the track 21 days,6904,1812,3410,295,69,159,0,259,397,46,141,108,165,0,0,0,43,0,,,,
2014-09-11,Number of contacts lost to follow up,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2014-09-11,Number of samples collected today,47,16,31,0,,,,,,,,,,,,,,,,,,
2014-09-11,Number of samples under test,0,0,0,0,,,,,,,,,,,,,,,,,,
2014-09-11,Total samples tested,2333,938,1395,0,,,,,,,,,,,,,,,,,,
