Date,Description,Totals,Conakry,Gueckedou,Macenta,Dabola,Kissidougou,Dinguiraye,Telimele,Boffa,Kouroussa,Siguiri,Pita,Nzerekore,Yomou,Dubreka,Forecariah,Kerouane,Coyah,Dalaba,Beyla,Kindia,Lola
2014-08-31,New cases of suspects,9,1,2,6,,,,,,,,,,,,,,,,,,
2014-08-31,New cases of probables,8,,8,,,,,,,,,,,,,,,,,,,
2014-08-31,New cases of confirmed,29,1,3,20,,,,,,,,1,,,4,,,,,,,
2014-08-31,Total new cases registered so far,46,2,13,26,0,0,0,0,0,0,0,1,0,0,4,0,,,,,,
2014-08-31,Total cases of suspects,36,10,5,13,0,0,0,0,1,0,0,1,0,1,3,2,,,,,,
2014-08-31,Total cases of probables,150,8,110,11,3,5,1,3,5,2,0,1,1,0,0,0,,,,,,
2014-08-31,Total cases of confirmed,563,110,214,137,1,2,0,23,19,2,6,6,10,10,18,5,,,,,,
2014-08-31,Cumulative (confirmed + probable + suspects),749,128,329,161,4,7,1,26,25,4,6,8,11,11,21,7,,,,,,
2014-08-31,Total suspected non-class cases,642,228,244,85,1,7,0,18,19,1,8,10,7,3,4,7,,,,,,
2014-08-31,New deaths registered,3,,,3,,,,,,,,,,,,,,,,,,
2014-08-31,Total deaths of suspects,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2014-08-31,Total deaths of probables,150,8,110,11,3,5,1,3,5,2,0,1,1,0,0,0,,,,,,
2014-08-31,Total deaths of confirmed,337,45,169,81,1,1,0,7,11,2,3,3,5,3,3,3,,,,,,
2014-08-31,Total deaths (confirmed + probables + suspects),489,55,279,92,4,6,1,10,16,4,3,4,6,3,3,3,,,,,,
2014-08-31,Fatality rate for confirmed and probables,65%,43%,85%,57%,100%,86%,100%,38%,64%,100%,50%,50%,55%,27%,14%,43%,,,,,,
2014-08-31,New cases of confirmed among health workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2014-08-31,Total case of confirmed among health workers,50,24,8,8,0,0,0,2,0,0,2,0,1,1,4,0,,,,,,
2014-08-31,New deaths registered among health workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2014-08-31,Total deaths registered among health workers,26,11,6,6,0,0,0,1,0,0,0,0,1,1,0,0,,,,,,
2014-08-31,New admits to CTE so far,26,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2014-08-31,Total number of hospitalized cases in CTE,99,35,64,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2014-08-31,Total number of exits from CTE,10,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2014-08-31,Total number of admissions to CTE,1113,356,703,0,0,0,0,41,0,0,13,0,0,0,0,0,,,,,,
2014-08-31,New contacts registered so far,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2014-08-31,Total contacts registered from start date,7734,1986,3418,680,69,159,0,259,397,94,141,137,195,42,157,0,,,,,,
2014-08-31,Number of contacts to follow today,1251,253,223,357,0,0,0,0,0,48,0,97,79,37,157,0,,,,,,
2014-08-31,Number of contacts followed today,1173,253,221,293,0,0,0,0,0,48,0,92,77,35,154,0,,,,,,
2014-08-31,Number of contacts out of the track 21 days,6504,1727,3116,434,69,159,0,259,397,46,141,40,116,0,0,0,,,,,,
2014-08-31,Number of contacts lost to follow up,76,0,0,64,0,0,0,0,0,0,0,5,2,2,3,0,,,,,,
2014-08-31,Number of samples collected today,83,17,66,0,,,,,,,,,,,,,,,,,,
2014-08-31,Number of samples under test,0,0,0,0,,,,,,,,,,,,,,,,,,
2014-08-31,Total samples tested,1941,817,1124,0,,,,,,,,,,,,,,,,,,
