Date,Description,Totals,Conakry,Gueckedou,Macenta,Dabola,Kissidougou,Dinguiraye,Telimele,Boffa,Kouroussa,Siguiri,Pita,Mzerekore,Yomou,Dubreka,Forecariah,Kerouane,Coyah,Dalaba,Beyla,Kindia,Lola
2014-09-04,New cases of suspects,13,,1,12,,,,,,,,,,,,,,,,,,
2014-09-04,New cases of probables,0,,,,,,,,,,,,,,,,,,,,,
2014-09-04,New cases of confirmed,17,,4,12,,,,,,,,,,,,,,1,,,,
2014-09-04,Total new cases registered so far,30,0,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,
2014-09-04,Total cases of suspects,51,21,3,18,0,0,0,0,1,0,0,2,0,1,1,2,2,0,,,,
2014-09-04,Total cases of probables,151,8,110,12,3,5,1,3,5,2,0,1,1,0,0,0,0,0,,,,
2014-09-04,Total cases of confirmed,621,111,223,169,1,2,0,23,19,2,6,6,10,10,20,5,10,4,,,,
2014-09-04,Cumulative (confirmed + probable + suspects),823,140,336,199,4,7,1,26,25,4,6,9,11,11,21,7,12,4,,,,
2014-09-04,Total suspected non-class cases,682,239,249,103,3,7,0,18,19,1,8,10,7,7,8,7,2,0,,,,
2014-09-04,New deaths registered,5,,1,4,,,,,,,,,,,,,,,,,,
2014-09-04,Total deaths of suspects,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2014-09-04,Total deaths of probables,151,8,110,12,4,5,1,3,5,2,0,1,1,0,0,0,0,0,,,,
2014-09-04,Total deaths of confirmed,368,47,174,103,1,1,0,7,11,2,3,2,5,4,4,4,0,0,,,,
2014-09-04,Total deaths (confirmed + probables + suspects),522,57,284,116,4,6,1,10,16,4,3,3,6,4,4,4,0,0,,,,
2014-09-04,Fatality rate for confirmed and probables,61%,41%,85%,58%,100%,86%,100%,38%,64%,100%,50%,33%,55%,36%,19%,57%,0%,0%,,,,
2014-09-04,New cases of confirmed among health workers,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,,,
2014-09-04,Total case of confirmed among health workers,50,24,8,8,0,0,0,2,0,0,2,0,1,1,4,0,0,0,,,,
2014-09-04,New deaths registered among health workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2014-09-04,Total deaths registered among health workers,26,11,6,6,0,0,0,1,0,0,0,0,1,1,0,0,0,0,,,,
2014-09-04,New admits to CTE so far,13,1,12,,,,,,,,,,,,,,,,,,,
2014-09-04,Total number of hospitalized cases in CTE,103,31,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2014-09-04,Total number of exits from CTE,15,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2014-09-04,Total number of admissions to CTE,1191,382,755,0,0,0,0,41,0,0,13,0,0,0,0,0,0,0,,,,
2014-09-04,New contacts registered so far,21,12,7,,,,,,,,,,2,,,,,,,,,
2014-09-04,Total contacts registered from start date,8746,2256,3543,1062,69,159,0,259,397,94,141,140,198,56,157,215,0,0,,,,
2014-09-04,Number of contacts to follow today,1978,443,247,759,0,0,0,0,0,48,0,32,77,35,157,180,0,0,,,,
2014-09-04,Number of contacts followed today,1707,365,244,575,0,0,0,0,0,48,0,32,77,35,154,180,0,0,,,,
2014-09-04,Number of contacts out of the track 21 days,6797,1809,3296,357,69,159,0,259,397,46,141,108,121,0,0,35,0,0,,,,
2014-09-04,Number of contacts lost to follow up,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2014-09-04,Number of samples collected today,58,7,51,0,0,,,,,,,,,,,,,,,,,
2014-09-04,Number of samples under test,0,0,0,0,0,,,,,,,,,,,,,,,,,
2014-09-04,Total samples tested,249,860,1226,0,0,,,,,,,,,,,,,,,,,
