Date,Description,Totals,Conakry,Gueckedou,Macenta,Dabola,Kissidougou,Dinguiraye,Telimele,Boffa,Kouroussa,Siguiri,Pita,Mzerekore,Yomou,Dubreka,Forecariah,Kerouane,Coyah,Dalaba,Beyla,Kindia,Lola
2014-09-09,New cases of suspects,9,,,1,,,,,,,1,,,,,,7,,,,,
2014-09-09,New cases of probables,0,,,,,,,,,,,,,,,,,,,,,
2014-09-09,New cases of confirmed,7,1,,5,,,,,,,,,1,,,,,,,,,
2014-09-09,Total new cases registered so far,16,1,0,6,0,0,0,0,0,0,1,0,1,0,0,0,7,0,,,,
2014-09-09,Total cases of suspects,33,9,3,11,0,0,0,0,0,0,1,1,0,0,0,0,7,1,,,,
2014-09-09,Total cases of probables,151,8,110,12,3,5,1,3,5,2,0,1,1,0,0,0,0,0,,,,
2014-09-09,Total cases of confirmed,683,113,230,213,1,2,0,23,19,2,6,6,14,11,21,6,11,5,,,,
2014-09-09,Cumulative (confirmed + probable + suspects),867,130,343,236,4,7,1,26,24,4,7,8,15,11,21,6,18,6,,,,
2014-09-09,Total suspected non-class cases,747,259,252,128,3,7,0,18,19,1,8,13,9,4,17,9,3,1,,,,
2014-09-09,New deaths registered,7,,2,4,,,,,,,,,1,,,,,,,,,
2014-09-09,Total deaths of suspects,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2014-09-09,Total deaths of probables,151,8,110,12,3,5,1,3,5,2,0,1,1,0,0,0,0,0,,,,
2014-09-09,Total deaths of confirmed,410,47,181,132,1,1,0,7,11,2,3,2,7,5,4,4,1,2,,,,
2014-09-09,Total deaths (confirmed + probables + suspects),565,57,291,146,4,6,1,10,16,4,3,3,8,5,4,4,1,2,,,,
2014-09-09,Fatality rate for confirmed and probables,65%,44%,85%,62%,100%,86%,100%,38%,67%,100%,43%,38%,53%,45%,19%,67%,6%,33%,,,,
2014-09-09,New cases of confirmed among health workers,0,,,,,,,,,,,,,,,,,,,,,
2014-09-09,Total case of confirmed among health workers,54,28,8,8,0,0,0,2,0,0,2,0,1,1,4,0,0,0,,,,
2014-09-09,New deaths registered among health workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2014-09-09,Total deaths registered among health workers,28,13,6,6,0,0,0,1,0,0,0,0,1,1,0,0,0,0,,,,
2014-09-09,New admits to CTE so far,52,1,9,42,,,,,,,,,,,,,,,,,,
2014-09-09,Total number of hospitalized cases in CTE,92,22,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2014-09-09,Total number of exits from CTE,21,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2014-09-09,Total number of admissions to CTE,1272,402,774,42,0,0,0,41,0,0,13,0,0,0,0,0,0,0,,,,
2014-09-09,New contacts registered so far,1,,1,,,,,,,,,,,,,,,,,,,
2014-09-09,Total contacts registered from start date,9006,2297,3644,1078,69,159,0,259,397,94,141,140,204,56,180,123,165,82,,,,
2014-09-09,Number of contacts to follow today,2283,585,279,783,0,0,0,0,0,48,0,32,53,35,180,123,165,82,,,,
2014-09-09,Number of contacts followed today,2043,531,279,602,0,0,0,0,0,48,0,32,53,30,180,123,165,82,,,,
2014-09-09,Number of contacts out of the track 21 days,6896,1809,3365,357,69,159,0,259,397,46,141,108,151,0,0,35,0,0,,,,
2014-09-09,Number of contacts lost to follow up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2014-09-09,Number of samples collected today,38,11,27,0,,,,,,,,,,,,,,,,,,
2014-09-09,Number of samples under test,0,0,0,0,,,,,,,,,,,,,,,,,,
2014-09-09,Total samples tested,2274,910,1364,0,,,,,,,,,,,,,,,,,,
