Date,Description,Totals,Conakry,Gueckedou,Macenta,Dabola,Kissidougou,Dinguiraye,Telimele,Boffa,Kouroussa,Siguiri,Pita,Nzerekore,Yomou,Dubreka,Forecariah,Kerouane,Coyah,Dalaba,Beyla,Kindia,Lola
2014-08-30,New cases of suspects,15,,2,12,,,,,,,,,,1,,,,,,,,
2014-08-30,New cases of probables,0,,,,,,,,,,,,,,,,,,,,,
2014-08-30,New cases of confirmed,9,2,3,4,,,,,,,,,,,,,,,,,,
2014-08-30,Total new cases registered so far,24,2,5,16,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,
2014-08-30,Total cases of suspects,32,9,4,14,0,0,0,0,1,0,0,0,0,1,1,2,,,,,,
2014-08-30,Total cases of probables,142,8,102,11,3,5,1,3,5,2,0,1,1,0,0,0,,,,,,
2014-08-30,Total cases of confirmed,533,109,211,117,1,2,0,23,19,2,6,5,10,10,13,5,,,,,,
2014-08-30,Cumulative (confirmed + probable + suspects),707,126,317,142,4,7,1,26,25,4,6,6,11,11,14,7,,,,,,
2014-08-30,Total suspected non-class cases,560,197,205,74,1,7,0,18,18,1,8,10,7,3,5,6,,,,,,
2014-08-30,New deaths registered,5,1,1,2,,,,,,,,,,,,,,,,,,
2014-08-30,Total deaths of suspects,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2014-08-30,Total deaths of probables,142,8,102,11,3,5,1,3,5,2,0,1,1,0,0,0,,,,,,
2014-08-30,Total deaths of confirmed,324,45,169,69,1,1,0,7,11,2,3,3,5,3,2,3,,,,,,
2014-08-30,Total deaths (confirmed + probables + suspects),468,55,271,80,4,6,1,10,16,4,3,4,6,3,2,3,,,,,,
2014-08-30,Fatality rate for confirmed and probables,66%,44%,85%,56%,100%,86%,100%,38%,64%,100%,50%,67%,55%,27%,14%,43%,,,,,,
2014-08-30,New cases of confirmed among health workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2014-08-30,Total case of confirmed among health workers,50,24,8,8,0,0,0,2,0,0,2,0,1,1,4,0,,,,,,
2014-08-30,New deaths registered among health workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2014-08-30,Total deaths registered among health workers,26,11,6,6,0,0,0,1,0,0,0,0,1,1,0,0,,,,,,
2014-08-30,New admits to CTE so far,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2014-08-30,Total number of hospitalized cases in CTE,82,27,55,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2014-08-30,Total number of exits from CTE,33,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2014-08-30,Total number of admissions to CTE,1094,347,693,0,0,0,0,41,0,0,13,0,0,0,0,0,,,,,,
2014-08-30,New contacts registered so far,21,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,,,,,,
2014-08-30,Total contacts registered from start date,7734,1986,3418,680,69,159,0,259,397,94,141,137,195,42,157,0,,,,,,
2014-08-30,Number of contacts to follow today,1251,253,223,357,0,0,0,0,0,48,0,97,79,37,157,0,,,,,,
2014-08-30,Number of contacts followed today,1173,253,221,293,0,0,0,0,0,8,0,92,77,35,154,0,,,,,,
2014-08-30,Number of contacts out of the track 21 days,6504,1727,3116,434,69,159,259,397,46,141,40,116,0,0,0,,,,,,,
2014-08-30,Number of contacts lost to follow up,76,0,0,64,0,0,0,0,0,0,0,5,2,2,3,0,,,,,,
2014-08-30,Number of samples collected today,41,24,17,0,,,,,,,,,,,,,,,,,,
2014-08-30,Number of samples under test,0,0,0,0,,,,,,,,,,,,,,,,,,
2014-08-30,Total samples tested,1858,800,1058,0,,,,,,,,,,,,,,,,,,
