Date,Description,Totals,Conakry,Gueckedou,Macenta,Dabola,Kissidougou,Dinguiraye,Telimele,Boffa,Kouroussa,Siguiri,Pita,Mzerekore,Yomou,Dubreka,Forecariah,Kerouane,Coyah,Dalaba,Beyla,Kindia,Lola
2014-09-23,New cases of suspects,4,2,1,,,,,,,,,,1,,,,,,,,,
2014-09-23,New cases of probables,0,,,,,,,,,,,,,,,,,,,,,
2014-09-23,New cases of confirmed,25,3,2,17,,,,,,,,,1,,,2,,,,,,
2014-09-23,Total new cases registered so far,29,5,3,17,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,0,
2014-09-23,Total cases of suspects,32,14,6,9,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,,0,
2014-09-23,Total cases of probables,162,8,111,12,3,5,1,3,5,2,0,1,11,0,0,0,0,0,0,,0,
2014-09-23,Total cases of confirmed,854,139,241,317,1,3,0,23,19,2,6,6,20,11,21,11,22,9,2,,1,
2014-09-23,Cumulative (confirmed + probable + suspects),1048,161,358,338,4,8,1,26,24,4,6,8,32,11,21,12,22,9,2,0,1,
2014-09-23,Total suspected non-class cases,838,299,259,144,3,7,0,18,20,2,9,18,10,4,19,12,9,4,1,,0,
2014-09-23,New deaths registered,3,,,3,,,,,,,,,,,,,,,,,,
2014-09-23,Total deaths of suspects,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
2014-09-23,Total deaths of probables,162,8,111,12,3,5,1,3,5,2,0,1,11,0,0,0,0,0,0,,0,
2014-09-23,Total deaths of confirmed,476,61,183,166,1,2,0,7,11,2,3,2,9,5,7,7,5,5,0,,0,
2014-09-23,Total deaths (confirmed + probables + suspects),643,71,295,180,4,7,1,10,16,4,3,3,20,5,7,7,5,5,0,,0,
2014-09-23,Fatality rate for confirmed and probables,61%,44%,82%,53%,100%,88%,100%,38%,67%,100%,50%,38%,63%,45%,33%,58%,23%,56%,0%,,0%,
2014-09-23,New cases of confirmed among health workers,0,,,,,,,,,,,,,,,,,,,,,
2014-09-23,Total case of confirmed among health workers,67,38,9,9,0,0,0,2,0,0,2,0,2,1,3,0,0,1,0,,0,
2014-09-23,New deaths registered among health workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
2014-09-23,Total deaths registered among health workers,35,18,6,7,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,,0,
2014-09-23,New admits to CTE so far,17,8,9,,,,,,,,,,,,,,,,,,,
2014-09-23,Total number of hospitalized cases in CTE,99,29,51,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
2014-09-23,Total number of exits from CTE,10,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
2014-09-23,Total number of admissions to CTE,1465,497,895,19,0,0,0,41,0,0,13,0,0,0,0,0,0,0,0,,0,
2014-09-23,New contacts registered so far,64,26,30,,,,,,,,,,8,,,,,,,,,
2014-09-23,Total contacts registered from start date,10591,2994,3797,1370,69,159,0,259,397,94,141,140,264,56,341,145,215,116,34,,0,
2014-09-23,Number of contacts to follow today,2362,801,202,831,0,0,0,0,0,0,0,0,84,35,49,84,144,98,34,,0,
2014-09-23,Number of contacts followed today,2004,756,195,555,0,0,0,0,0,0,0,0,83,30,49,74,144,98,20,,0,
2014-09-23,Number of contacts out of the track 21 days,8132,2193,3595,539,69,159,0,259,397,94,141,140,84,21,292,61,71,17,0,,0,
2014-09-23,Number of contacts lost to follow up,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,,0,
2014-09-23,Number of samples collected today,36,13,23,0,,,,,,,,,,,,,,,,,,
2014-09-23,Number of samples under test,0,0,0,0,,,,,,,,,,,,,,,,,,
2014-09-23,Total samples tested,2665,1079,1586,0,,,,,,,,,,,,,,,,,,
