Date,Description,Totals,Conakry,Gueckedou,Macenta,Dabola,Kissidougou,Dinguiraye,Telimele,Boffa,Kouroussa,Siguiri,Pita,Nzerekore,Yomou,Dubreka,Forecariah,Kerouane,Coyah,Dalaba,Beyla,Kindia,Lola
2014-10-01,New cases of suspects,28,15,,3,,,,,,,,,1,,,,,,,,,9
2014-10-01,New cases of probables,0,,,,,,,,,,,,,,,,,,,,,
2014-10-01,New cases of confirmed,6,2,1,2,,,,,,,,,,,,,1,,,,,
2014-10-01,Total new cases registered so far,34,17,1,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9
2014-10-01,Total cases of suspects,45,19,2,9,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,9
2014-10-01,Total cases of probables,177,10,112,16,3,5,1,3,5,2,0,1,17,0,0,2,0,0,0,0,0,0
2014-10-01,Total cases of confirmed,977,170,248,378,1,3,0,23,19,2,6,6,31,11,21,11,24,12,6,2,1,2
2014-10-01,Cumulative (confirmed + probable + suspects),1199,199,362,403,4,8,1,26,24,4,6,8,50,11,21,16,24,12,6,2,1,11
2014-10-01,Total suspected non-class cases,974,355,268,197,3,7,0,18,20,2,9,18,16,4,20,13,9,6,1,0,4,4
2014-10-01,New deaths registered,15,,,15,,,,,,,,,,,,,,,,,,
2014-10-01,Total deaths of suspects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-01,Total deaths of probables,177,10,112,16,3,5,1,3,5,2,0,1,17,0,0,2,0,0,0,0,0,0
2014-10-01,Total deaths of confirmed,562,68,189,230,1,2,0,7,11,2,3,2,15,5,7,7,5,5,0,1,0,2
2014-10-01,Total deaths (confirmed + probables + suspects),739,78,301,246,4,7,1,10,16,4,3,3,32,5,7,9,5,5,0,0,0,0
2014-10-01,Fatality rate for confirmed and probables,62%,39%,83%,61%,100%,88%,100%,38%,67%,100%,50%,38%,64%,45%,33%,56%,21%,42%,0%,100%,0%,100%
2014-10-01,New cases of confirmed among health workers,2,2,,,,,,,,,,,,,,,,,,,,
2014-10-01,Total case of confirmed among health workers,69,40,9,9,0,0,0,2,0,0,2,0,2,1,3,0,0,1,0,0,0,0
2014-10-01,New deaths registered among health workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-01,Total deaths registered among health workers,35,18,6,7,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
2014-10-01,New admits to CTE so far,25,15,10,,,,,,,,,,,,,,,,,,,
2014-10-01,Total number of hospitalized cases in CTE,114,48,54,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014-10-01,Total number of exits from CTE,29,9,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014-10-01,Total number of admissions to CTE,1576,571,924,27,0,0,0,41,0,0,13,0,0,0,0,0,0,0,0,0,0,
2014-10-01,New contacts registered so far,0,,,,,,,,,,,,,,,,,,,,,
2014-10-01,Total contacts registered from start date,11772,3319,3816,1563,69,159,0,259,397,94,141,140,353,56,341,212,674,116,34,2,0,0
2014-10-01,Number of contacts to follow today,2661,825,117,1038,0,0,0,0,0,0,0,0,126,0,49,151,194,98,34,929,0,0
2014-10-01,Number of contacts followed today,2595,778,117,1038,0,0,0,0,0,0,0,0,126,0,49,146,194,98,20,29,0,0
2014-10-01,Number of contacts out of the track 21 days,9110,2494,3699,525,69,159,0,259,397,94,141,140,227,56,292,61,480,17,0,0,0,0
2014-10-01,Number of contacts lost to follow up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2014-10-01,Number of samples collected today,25,16,9,0,,,,,,,,,,,,,,,,,,
2014-10-01,Number of samples under test,0,0,0,0,,,,,,,,,,,,,,,,,,
2014-10-01,Total samples tested,2832,1171,1661,0,,,,,,,,,,,,,,,,,,
