Date,Description,Totals,Conakry,Gueckedou,Macenta,Dabola,Kissidougou,Dinguiraye,Telimele,Boffa,Kouroussa,Siguiri,Pita,Mzerekore,Yomou,Dubreka,Forecariah,Kerouane,Coyah,Dalaba,Beyla,Kindia,Lola
2014-09-19,New cases of suspects,3,2,1,,,,,,,,,,,,,,,,,,,
2014-09-19,New cases of probables,1,,1,,,,,,,,,,,,,,,,,,,
2014-09-19,New cases of confirmed,12,1,,11,,,,,,,,,,,,,,,,,,
2014-09-19,Total new cases registered so far,16,3,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014-09-19,Total cases of suspects,24,8,5,8,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,,,
2014-09-19,Total cases of probables,162,8,111,12,3,5,1,3,5,2,0,1,11,0,0,0,0,0,0,,,
2014-09-19,Total cases of confirmed,788,131,236,272,1,3,0,23,19,2,6,6,17,11,21,9,22,7,2,,,
2014-09-19,Cumulative (confirmed + probable + suspects),974,147,352,292,4,8,1,26,24,4,6,8,28,11,22,10,22,7,2,,,
2014-09-19,Total suspected non-class cases,838,299,259,144,3,7,0,18,20,2,9,18,10,4,19,12,9,4,1,,,
2014-09-19,New deaths registered,5,,,4,,,,,,,,,,,,,1,,,,,
2014-09-19,Total deaths of suspects,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014-09-19,Total deaths of probables,162,8,111,12,3,5,1,3,5,2,0,1,11,0,0,0,0,0,0,,,
2014-09-19,Total deaths of confirmed,463,58,183,157,1,2,0,7,11,2,3,2,9,5,7,7,4,5,0,,,
2014-09-19,Total deaths (confirmed + probables + suspects),630,68,295,171,4,7,1,10,16,4,3,3,20,5,7,7,4,5,0,,,
2014-09-19,Fatality rate for confirmed and probables,65%,46%,84%,59%,100%,88%,100%,38%,67%,100%,50%,38%,71%,45%,32%,70%,18%,71%,0%,,,
2014-09-19,New cases of confirmed among health workers,0,,,,,,,,,,,,,,,,,,,,,
2014-09-19,Total case of confirmed among health workers,66,38,9,9,0,0,0,2,0,0,2,0,1,1,3,0,0,1,0,,,
2014-09-19,New deaths registered among health workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014-09-19,Total deaths registered among health workers,35,18,6,7,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,,,
2014-09-19,New admits to CTE so far,8,4,1,3,,,,,,,,,,,,,,,,,,
2014-09-19,Total number of hospitalized cases in CTE,82,19,35,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014-09-19,Total number of exits from CTE,17,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014-09-19,Total number of admissions to CTE,1379,452,842,31,0,0,0,41,0,0,13,0,0,0,0,0,0,0,0,,,
2014-09-19,New contacts registered so far,182,110,,72,,,,,,,,,,,,,,,,,,
2014-09-19,Total contacts registered from start date,10383,2855,3750,1357,69,159,0,259,397,94,141,140,262,56,341,145,208,116,34,,,
2014-09-19,Number of contacts to follow today,2346,711,246,818,0,0,0,0,0,0,0,25,99,35,69,84,137,88,34,,,
2014-09-19,Number of contacts followed today,2267,681,236,817,0,0,0,0,0,0,0,25,98,30,69,74,137,80,20,,,
2014-09-19,Number of contacts out of the track 21 days,8036,2144,3504,539,69,159,0,259,397,94,141,115,162,21,272,61,71,28,0,,,
2014-09-19,Number of contacts lost to follow up,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,
2014-09-19,Number of samples collected today,24,12,12,0,,,,,,,,,,,,,,,,,,
2014-09-19,Number of samples under test,0,0,0,0,,,,,,,,,,,,,,,,,,
2014-09-19,Total samples tested,2505,1033,1472,0,,,,,,,,,,,,,,,,,,
