date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Kenema (IFRC),34 Military Hospital,Police training School
2014-09-27,population,"465,048","653,013","325,003","341,690","335,471","494,139","434,937","557,978","335,574","654,142","278,119","168,729","1,040,888","263,619","6,348,350",,,
2014-09-27,new_noncase,0,1,0,0,1,8,0,0,0,0,0,0,14,8,32,,,
2014-09-27,new_suspected,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,,,
2014-09-27,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014-09-27,new_confirmed,0,0,0,0,0,27,0,0,0,5,1,0,12,11,56,,,
2014-09-27,cum_noncase,280,585,35,5,27,97,40,91,4,88,42,1,312,120,"1,727",,,
2014-09-27,cum_suspected,18,33,40,1,0,8,4,10,1,19,12,2,14,9,171,,,
2014-09-27,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37,,,
2014-09-27,cum_confirmed,529,426,18,12,0,223,65,231,16,89,55,1,207,128,"2,000",,,
2014-09-27,death_suspected,4,4,1,0,0,0,0,1,0,0,0,0,1,0,11,,,
2014-09-27,death_probable,35,0,0,0,0,0,0,1,0,0,0,0,1,0,37,,,
2014-09-27,death_confirmed,210,232,2,1,0,11,5,17,3,16,7,1,9,4,518,,,
2014-09-27,cfr,39.7,54.5,0,8.3,0,4.9,7.7,7.4,18.8,18,12.7,100,4.3,3.1,25.9,,,
2014-09-27,etc_new_admission,10,0,,,,,,,,,,,,,,0,,
2014-09-27,etc_currently_admitted,49,18,,,,,,,,,,,,,,12,,
2014-09-27,etc_cum_admission,686,504,,,,,,,,,,,,,,31,,
2014-09-27,etc_new_deaths,1,4,,,,,,,,,,,,,,1,,
2014-09-27,etc_cum_deaths,226,252,,,,,,,,,,,,,,12,,
2014-09-27,etc_new_discharges,6,5,,,,,,,,,,,,,,3,,
2014-09-27,etc_cum_discharges,132,293,,,,,,,,,,,,,,7,,
2014-09-27,cum_contacts,,,,,,,,,,,,,,,,,,
2014-09-27,cum_completed_contacts,,,,,,,,,,,,,,,,,,
2014-09-27,contacts_followed,,,,,,,,,,,,,,,,,,
2014-09-27,new_contacts,,,,,,,,,,,,,,,,,,
2014-09-27,contacts_healthy,,,,,,,,,,,,,,,,,,
2014-09-27,contacts_ill,,,,,,,,,,,,,,,,,,
2014-09-27,contacts_not_seen,,,,,,,,,,,,,,,,,,
2014-09-27,new_completed_contacts,,,,,,,,,,,,,,,,,,
2014-09-27,percent_seen,,,,,,,,,,,,,,,,,,
