date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National
2014-08-24,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350
2014-08-24,new_noncase,0,6,1,1,0,0,0,0,0,2,1,0,1,1,13
2014-08-24,new_suspected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-24,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-24,new_confirmed,12,12,0,0,0,0,1,0,0,2,0,0,3,1,31
2014-08-24,cum_noncase,224,386,18,2,17,16,12,16,2,74,16,0,79,13,875
2014-08-24,cum_suspected,14,4,33,0,0,1,0,1,0,0,0,0,0,0,53
2014-08-24,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37
2014-08-24,cum_confirmed,440,320,1,1,0,17,11,54,5,35,9,1,29,12,935
2014-08-24,death_suspected,4,1,1,0,0,0,0,1,0,0,0,0,1,0,8
2014-08-24,death_probable,35,0,0,0,0,0,0,1,0,0,0,0,1,0,37
2014-08-24,death_confirmed,180,150,0,0,0,1,1,1,0,2,4,0,2,0,341
2014-08-24,cfr,40.9,46.9,0,0,0,5.9,0,1.9,0,5.7,44.4,0,6.9,0,36.5
2014-08-24,etc_new_admission,0,-,,,,,,,,,,,,,
2014-08-24,etc_currently_admitted,38,-,,,,,,,,,,,,,
2014-08-24,etc_cum_admission,368,294,,,,,,,,,,,,,
2014-08-24,etc_new_deaths,5,-,,,,,,,,,,,,,
2014-08-24,etc_cum_deaths,150,180,,,,,,,,,,,,,
2014-08-24,etc_new_discharges,4,-,,,,,,,,,,,,,
2014-08-24,etc_cum_discharges,175,69,,,,,,,,,,,,,
2014-08-24,cum_contacts,NA,1602,53,12,0,358,213,648,84,350,132,26,543,74,4095
2014-08-24,cum_completed_contacts,NA,1180,38,0,0,64,11,59,62,191,17,26,140,0,1788
2014-08-24,contacts_followed,NA,413,0,12,0,294,202,589,21,159,15,0,403,74,2182
2014-08-24,new_contacts,NA,33,0,0,0,37,194,1,0,2,0,0,28,22,317
2014-08-24,contacts_healthy,NA,317,0,0,0,289,201,556,21,153,0,0,403,74,2014
2014-08-24,contacts_ill,NA,3,0,0,0,1,1,1,0,0,0,0,0,0,6
2014-08-24,contacts_not_seen,NA,24,0,0,0,4,0,2,0,6,0,0,0,0,36
2014-08-24,new_completed_contacts,NA,17,0,0,0,7,0,0,0,0,0,0,0,0,24
2014-08-24,percent_seen,NA,77%,NA,NA,NA,98%,100%,94%,100%,100%,NA,NA,100%,100%,92%
