date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area,Kenema (KGH),Kenema (IFRC),Hastings-F/Town
2014-10-18,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,,,6348350,1304507,,,
2014-10-18,new_noncase,2,5,2,0,0,5,0,6,0,6,0,0,,,66,40,,,
2014-10-18,new_suspected,0,0,1,0,0,5,0,0,0,1,0,0,,,7,0,,,
2014-10-18,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,
2014-10-18,new_confirmed,4,4,0,0,0,6,0,8,0,2,0,0,,,57,33,,,
2014-10-18,cum_noncase,287,703,80,14,35,237,68,166,9,141,66,2,,,2741,933,,,
2014-10-18,cum_suspected,18,65,54,4,0,73,24,22,5,49,22,3,,,433,94,,,
2014-10-18,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,,,37,1,,,
2014-10-18,cum_confirmed,545,470,34,26,2,441,146,435,25,143,83,2,,,3154,802,,,
2014-10-18,death_suspected,4,4,2,6,0,18,3,49,3,3,6,1,,,109,10,,,
2014-10-18,death_probable,35,0,19,9,0,14,17,1,2,43,19,1,,,164,4,,,
2014-10-18,death_confirmed,219,246,18,9,0,127,37,66,12,57,31,1,,,973,150,,,
2014-10-18,cfr,40,52,53,35,0,29,25,15,48,40,37,50,,,31,38,,,
2014-10-18,etc_new_admission,0,,,,,,,,,0,,,,,16,,0,4,12
2014-10-18,etc_currently_admitted,50,,,,,,,,,18,,,,,214,,0,28,118
2014-10-18,etc_cum_admission,850,,,,,,,,,72,,,,,1832,,504,120,286
2014-10-18,etc_new_deaths,0,,,,,,,,,3,,,,,9,,0,2,4
2014-10-18,etc_cum_deaths,240,,,,,,,,,24,,,,,645,,254,49,78
2014-10-18,etc_new_discharges,0,,,,,,,,,1,,,,,6,,0,5,0
2014-10-18,etc_cum_discharges,189,,,,,,,,,30,,,,,634,,307,29,79
2014-10-18,cum_contacts,2173,2999,560,412,,2178,2430,4306,949,921,843,105,2203,1830,20419,,,,
2014-10-18,cum_completed_contacts,1688,2662,235,152,,509,712,614,469,661,488,90,1171,923,10114,,,,
2014-10-18,contacts_followed,485,284,325,260,,1669,1718,3692,380,238,355,15,1032,907,10205,,,,
2014-10-18,new_contacts,0,0,0,0,,16,0,0,0,0,0,0,0,0,339,,,,
2014-10-18,contacts_healthy,485,236,325,260,,1658,1715,3642,380,235,355,15,864,820,9946,,,,
2014-10-18,contacts_ill,0,0,0,0,,4,3,20,0,0,0,0,0,0,32,,,,
2014-10-18,contacts_not_seen,0,40,0,0,,7,0,30,0,3,0,0,168,87,223,,,,
2014-10-18,new_completed_contacts,0,0,0,0,,21,0,0,0,0,0,0,0,0,343,,,,
2014-10-18,percent_seen,100%,99%,98%,100%,,98%,100%,98%,100%,100%,100%,100%,98%,98%,98%,,,,
