date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Kenema (IFRC)
2014-09-19,population,"465,048","653,013","325,003","341,690","335,471","494,139","434,937","557,978","335,574","654,142","278,119","168,729","1,040,888","263,619","6,348,350",
2014-09-19,new_noncase,0,3,0,0,0,0,0,1,0,0,0,0,9,3,16,
2014-09-19,new_suspected,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
2014-09-19,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014-09-19,new_confirmed,0,1,0,0,0,0,0,1,0,0,9,0,8,3,22,
2014-09-19,cum_noncase,280,507,28,5,24,40,33,54,4,86,37,1,211,68,1378,
2014-09-19,cum_suspected,18,26,39,0,0,6,2,4,1,17,4,1,11,7,136,
2014-09-19,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37,
2014-09-19,cum_confirmed,529,413,16,4,0,122,44,176,10,77,33,1,151,64,1640,
2014-09-19,death_suspected,4,4,1,0,0,0,0,1,0,0,0,0,1,0,11,
2014-09-19,death_probable,35,0,0,0,0,0,0,1,0,0,0,0,1,0,37,
2014-09-19,death_confirmed,207,229,2,1,0,6,2,16,1,16,6,1,7,3,497,
2014-09-19,cfr,39.1,55.4,0,25,0,4.9,4.5,9.1,10,20.8,18.2,100,4.6,4.7,30.3,
2014-09-19,etc_new_admission,2,10,,,,,,,,,,,,,0,
2014-09-19,etc_currently_admitted,43,49,,,,,,,,,,,,,5,
2014-09-19,etc_cum_admission,612,494,,,,,,,,,,,,,7,
2014-09-19,etc_new_deaths,2,0,,,,,,,,,,,,,0,
2014-09-19,etc_cum_deaths,208,240,,,,,,,,,,,,,2,
2014-09-19,etc_new_discharges,0,0,,,,,,,,,,,,,0,
2014-09-19,etc_cum_discharges,107,260,,,,,,,,,,,,,0,
2014-09-19,cum_contacts,1458,2638,217,118,,843,763,1790,333,681,232,89,913,366,10441,
2014-09-19,cum_completed_contacts,1120,2109,80,12,,263,197,258,225,529,178,32,474,114,5591,
2014-09-19,contacts_followed,166,524,137,106,,0,621,1532,108,152,54,57,447,262,4166,
2014-09-19,new_contacts,16,12,24,10,,45,170,1,0,0,0,0,0,0,278,
2014-09-19,contacts_healthy,165,509,133,96,,560,621,1415,108,152,54,57,455,253,4578,
2014-09-19,contacts_ill,1,0,4,99,,20,0,1,1,0,0,0,3,0,129,
2014-09-19,contacts_not_seen,0,15,0,6,,0,0,116,0,0,0,0,8,9,154,
2014-09-19,new_completed_contacts,4,36,0,1,,0,0,0,0,0,0,0,8,10,59,
2014-09-19,percent_seen,100%,97%,100%,100%,,98%,100%,98%,100%,100%,100%,100%,100%,100%,98%,
