date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area,Kenema (KGH),Kenema (IFRC),Hastings-F/Town
2014-10-20,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,,,6348350,,,,
2014-10-20,new_noncase,5,6,0,0,0,7,4,4,1,0,2,0,3,4,36,,,,
2014-10-20,new_suspected,0,3,0,0,2,1,1,0,1,0,0,0,0,0,8,,,,
2014-10-20,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2014-10-20,new_confirmed,4,4,0,0,3,25,7,16,0,1,1,0,4,7,72,,,,
2014-10-20,cum_noncase,297,718,80,14,36,244,74,170,10,146,71,2,694,318,2874,,,,
2014-10-20,cum_suspected,18,69,54,4,4,74,25,22,6,50,25,3,63,37,454,,,,
2014-10-20,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37,,,,
2014-10-20,cum_confirmed,549,474,34,26,5,466,157,460,25,149,86,2,496,366,3259,,,,
2014-10-20,death_suspected,4,4,2,6,0,18,3,49,3,3,6,1,6,4,109,,,,
2014-10-20,death_probable,35,0,19,9,0,14,17,1,2,43,19,1,2,2,164,,,,
2014-10-20,death_confirmed,220,246,18,9,0,131,41,70,12,59,33,1,80,77,997,,,,
2014-10-20,cfr,40.1,51.9,52.9,34.6,,28.1,26.1,15.2,48.0,39.6,38.4,50.0,16.1,21.0,30.3,,,,
2014-10-20,etc_new_admission,3,,,,,,,,,5,,,,,10,,,,2
2014-10-20,etc_currently_admitted,43,,,,,,,,,28,,,,,218,,0,28,119
2014-10-20,etc_cum_admission,867,,,,,,,,,93,,,,,1872,,504,120,288
2014-10-20,etc_new_deaths,0,,,,,,,,,2,,,,,5,,,,3
2014-10-20,etc_cum_deaths,241,,,,,,,,,27,,,,,652,,254,49,81
2014-10-20,etc_new_discharges,4,,,,,,,,,0,,,,,4,,,,0
2014-10-20,etc_cum_discharges,203,,,,,,,,,38,,,,,656,,307,29,79
2014-10-20,cum_contacts,2245,2980,560,442,,2212,2534,4596,964,950,901,125,2738,1919,23166,,,,
2014-10-20,cum_completed_contacts,1728,2647,237,350,,529,725,636,569,661,500,105,1456,1230,11373,,,,
2014-10-20,contacts_followed,517,333,323,92,,1683,1809,3960,394,267,401,20,1282,689,11770,,,,
2014-10-20,new_contacts,0,0,0,0,,13,95,91,15,29,40,20,49,41,393,,,,
2014-10-20,contacts_healthy,517,333,310,91,,1669,1806,3907,394,129,401,20,1044,648,11269,,,,
2014-10-20,contacts_ill,0,0,13,1,,8,3,11,0,1,0,0,0,0,37,,,,
2014-10-20,contacts_not_seen,0,0,0,0,,6,0,42,0,138,0,0,238,41,465,,,,
2014-10-20,new_completed_contacts,40,0,0,198,,20,13,22,0,0,0,15,29,30,367,,,,
2014-10-20,percent_seen,100%,100%,98%,100%,,98%,100%,98%,100%,98%,100%,100%,98%,98%,98%,,,,
