date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area
2014-10-13,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,,,6348350,1304507
2014-10-13,new_noncase,0,3,0,0,0,0,0,1,0,4,0,0,,,28,20
2014-10-13,new_suspected,0,0,0,0,0,0,1,0,0,0,0,0,,,2,1
2014-10-13,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2014-10-13,new_confirmed,1,7,0,0,0,0,2,0,0,2,0,0,,,45,33
2014-10-13,cum_noncase,284,688,67,10,31,206,60,149,6,127,57,1,,,2507,821
2014-10-13,cum_suspected,18,48,52,3,0,57,24,20,3,34,22,2,,,365,82
2014-10-13,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,,,37,1
2014-10-13,cum_confirmed,536,454,31,25,0,388,129,405,24,127,77,1,,,2894,697
2014-10-13,death_suspected,4,4,2,6,0,18,3,49,3,2,6,1,,,106,8
2014-10-13,death_probable,35,0,19,9,0,11,17,1,2,43,19,1,,,161,4
2014-10-13,death_confirmed,219,238,18,9,0,123,34,57,12,53,29,1,,,931,138
2014-10-13,cfr,41,53,59,36,0,32,26,14,50,42,38,100,,,33,41
2014-10-13,etc_new_admission,,,,,,,,,,3,,,,,4,
2014-10-13,etc_currently_admitted,53,,,,,,,,,22,,,,,171,
2014-10-13,etc_cum_admission,504,,,,,,,,,62,,,,,1705,
2014-10-13,etc_new_deaths,,,,,,,,,,0,,,,,0,
2014-10-13,etc_cum_deaths,238,,,,,,,,,20,,,,,625,
2014-10-13,etc_new_discharges,,,,,,,,,,6,,,,,8,
2014-10-13,etc_cum_discharges,172,,,,,,,,,22,,,,,571,
2014-10-13,cum_contacts,2037,2945,524,412,,2077,2022,3826,949,967,765,105,1975,1563,20167,
2014-10-13,cum_completed_contacts,1653,2641,191,138,,471,680,568,469,661,464,90,1018,825,9869,
2014-10-13,contacts_followed,384,304,333,274,,1606,1342,3258,380,306,301,15,957,738,10198,
2014-10-13,new_contacts,7,43,1,0,,12,82,250,270,80,114,0,42,275,1176,
2014-10-13,contacts_healthy,382,298,325,274,,1599,1342,3244,380,298,301,15,874,441,9773,
2014-10-13,contacts_ill,2,6,8,0,,6,0,4,0,0,0,0,0,1,27,
2014-10-13,contacts_not_seen,0,0,0,0,,1,0,10,0,8,0,0,83,297,399,
2014-10-13,new_completed_contacts,75,9,0,52,,14,89,40,135,0,0,0,52,128,594,
2014-10-13,percent_seen,100%,99%,98%,100%,,98%,100%,98%,100%,100%,100%,100%,98%,98%,98%,
