date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area
2014-10-11,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,,,6348350,1304507
2014-10-11,new_noncase,0,8,3,1,0,9,1,2,1,4,1,0,,,51,21
2014-10-11,new_suspected,0,1,2,0,0,7,5,2,0,6,2,0,,,31,6
2014-10-11,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2014-10-11,new_confirmed,0,1,2,2,0,22,12,26,0,7,3,0,,,94,19
2014-10-11,cum_noncase,283,676,67,10,30,187,60,146,6,123,56,1,,,2416,771
2014-10-11,cum_suspected,18,44,52,3,0,54,23,21,3,34,22,2,,,358,82
2014-10-11,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,,,37,1
2014-10-11,cum_confirmed,533,437,31,24,0,369,127,398,24,125,75,1,,,2792,648
2014-10-11,death_suspected,4,4,2,6,0,13,3,49,0,2,5,1,,,97,8
2014-10-11,death_probable,35,0,19,9,0,7,17,1,0,43,19,1,,,155,4
2014-10-11,death_confirmed,218,238,18,9,0,120,34,57,9,52,27,1,,,921,138
2014-10-11,cfr,41,55,58,38,0,33,27,14,38,42,36,100,,,33,44
2014-10-11,etc_new_admission,,,,,,,,,,,,,,,28,
2014-10-11,etc_currently_admitted,,,,,,,,,,,,,,,200,
2014-10-11,etc_cum_admission,,,,,,,,,,,,,,,1681,
2014-10-11,etc_new_deaths,,,,,,,,,,,,,,,5,
2014-10-11,etc_cum_deaths,,,,,,,,,,,,,,,623,
2014-10-11,etc_new_discharges,,,,,,,,,,,,,,,3,
2014-10-11,etc_cum_discharges,,,,,,,,,,,,,,,560,
2014-10-11,cum_contacts,1923,2871,469,412,0,2024,1881,3411,679,980,512,105,1655,1260,18182,
2014-10-11,cum_completed_contacts,1473,2613,191,86,0,426,544,568,434,661,272,90,969,695,9022,
2014-10-11,contacts_followed,550,258,278,326,0,1571,1337,2843,245,293,240,15,686,565,9207,
2014-10-11,new_contacts,0,0,0,0,0,27,0,0,0,0,0,0,0,0,27,
2014-10-11,contacts_healthy,550,258,276,325,0,1558,1337,2814,245,288,240,15,597,524,9027,
2014-10-11,contacts_ill,0,0,2,1,0,9,0,17,0,2,0,0,3,0,34,
2014-10-11,contacts_not_seen,0,0,0,0,0,2,0,12,0,3,0,0,86,41,144,
2014-10-11,new_completed_contacts,0,0,0,0,0,31,0,0,0,0,0,0,0,0,31,
2014-10-11,percent_seen,100%,100%,100%,100%,0,98%,100%,97%,100%,98%,100%,100%,100%,100%,98%,
