date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Kenema (IFRC),34 Military Hospital,Police training School
2014-09-23,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350,,,
2014-09-23,new_noncase,0,13,5,0,1,3,1,7,0,0,1,0,11,2,44,,,
2014-09-23,new_suspected,0,3,1,0,0,0,0,4,0,0,5,0,1,2,16,,,
2014-09-23,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014-09-23,new_confirmed,0,0,0,0,0,1,1,14,3,1,8,0,6,7,41,,,
2014-09-23,cum_noncase,280,556,35,5,26,52,39,71,4,86,38,1,271,92,1556,,,
2014-09-23,cum_suspected,18,33,40,0,0,10,3,10,1,19,10,2,13,9,168,,,
2014-09-23,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37,,,
2014-09-23,cum_confirmed,529,417,18,10,0,149,60,201,16,84,50,1,178,103,1816,,,
2014-09-23,death_suspected,4,4,1,0,0,0,0,1,0,0,0,0,1,0,11,,,
2014-09-23,death_probable,35,0,0,0,0,0,0,1,0,0,0,0,1,0,37,,,
2014-09-23,death_confirmed,210,230,2,1,0,9,4,17,1,16,7,1,8,3,509,,,
2014-09-23,cfr,39.7,55.2,0,10,0,6,6.7,8.5,6.3,19,14,100,4.5,2.9,28,,,
2014-09-23,etc_new_admission,0,1,,,,,,,,,,,,,,0,,
2014-09-23,etc_currently_admitted,18,29,,,,,,,,,,,,,,18,,
2014-09-23,etc_cum_admission,28,501,,,,,,,,,,,,,,28,,
2014-09-23,etc_new_deaths,2,1,,,,,,,,,,,,,,3,,
2014-09-23,etc_cum_deaths,10,245,,,,,,,,,,,,,,10,,
2014-09-23,etc_new_discharges,0,2,,,,,,,,,,,,,,0,,
2014-09-23,etc_cum_discharges,0,281,,,,,,,,,,,,,,0,,
2014-09-23,cum_contacts,1627,2731,257,185,,976,1376,2175,409,681,353,89,1044,412,12315,,,
2014-09-23,cum_completed_contacts,1199,2231,140,27,,288,217,387,240,540,178,32,616,114,6209,,,
2014-09-23,contacts_followed,151,533,117,155,,688,1159,1789,169,141,175,57,428,298,5860,,,
2014-09-23,new_contacts,8,4,0,51,,16,0,35,0,0,0,0,39,12,165,,,
2014-09-23,contacts_healthy,151,515,113,155,,678,1159,1689,169,140,175,57,339,262,5602,,,
2014-09-23,contacts_ill,0,0,4,0,,7,0,1,0,1,0,0,2,1,16,,,
2014-09-23,contacts_not_seen,0,18,0,0,,3,0,99,0,0,0,0,89,36,245,,,
2014-09-23,new_completed_contacts,5,62,0,0,,12,0,0,0,0,0,0,16,0,95,,,
2014-09-23,percent_seen,100%,98%,100%,100%,,98%,100%,98%,100%,100%,100%,100%,79%,98%,98%,,,
