date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area,Kenema (KGH),Kenema (IFRC),Hastings-F/Town
2014-10-16,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,,,6348350,1304507,,,
2014-10-16,new_noncase,1,0,0,0,0,17,0,0,0,1,0,0,,,32,13,,,
2014-10-16,new_suspected,0,0,0,0,0,3,0,0,0,1,0,0,,,4,0,,,
2014-10-16,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,
2014-10-16,new_confirmed,4,0,0,0,0,32,0,2,0,0,0,0,,,55,17,,,
2014-10-16,cum_noncase,285,693,78,13,35,232,62,159,7,131,59,1,,,2622,867,,,
2014-10-16,cum_suspected,18,61,53,3,0,64,24,22,5,46,22,3,,,413,92,,,
2014-10-16,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,,,37,1,,,
2014-10-16,cum_confirmed,541,462,34,25,2,435,138,427,24,138,80,2,,,3058,750,,,
2014-10-16,death_suspected,4,4,2,6,0,18,3,49,3,3,6,1,,,109,10,,,
2014-10-16,death_probable,35,0,19,9,0,14,17,1,2,43,19,1,,,164,4,,,
2014-10-16,death_confirmed,219,240,18,9,0,124,37,61,12,56,29,1,,,947,140,,,
2014-10-16,cfr,41,52,53,36,0,29,27,14,50,41,36,50,,,31,39,,,
2014-10-16,etc_new_admission,11,,,,,,,,,1,,,,,26,,0,10,4
2014-10-16,etc_currently_admitted,40,,,,,,,,,22,,,,,218,,0,44,112
2014-10-16,etc_cum_admission,830,,,,,,,,,72,,,,,1794,,504,114,274
2014-10-16,etc_new_deaths,1,,,,,,,,,1,,,,,5,,0,1,2
2014-10-16,etc_cum_deaths,240,,,,,,,,,21,,,,,640,,254,43,82
2014-10-16,etc_new_discharges,6,,,,,,,,,2,,,,,8,,0,0,0
2014-10-16,etc_cum_discharges,188,,,,,,,,,29,,,,,627,,307,24,79
2014-10-16,cum_contacts,2112,2980,538,412,,2149,2430,4082,949,921,867,125,2203,1830,21598,,,,
2014-10-16,cum_completed_contacts,1688,2647,235,152,,488,712,589,469,661,486,105,1171,923,10326,,,,
2014-10-16,contacts_followed,424,333,293,260,,1661,1718,3493,380,238,379,20,1032,907,11138,,,,
2014-10-16,new_contacts,34,0,0,0,,30,50,88,0,34,4,20,152,67,479,,,,
2014-10-16,contacts_healthy,424,288,281,260,,1648,1718,3444,380,237,379,20,804,790,10673,,,,
2014-10-16,contacts_ill,0,0,4,0,,4,0,13,0,1,0,0,0,0,22,,,,
2014-10-16,contacts_not_seen,0,45,0,0,,9,0,36,0,0,0,0,228,117,435,,,,
2014-10-16,new_completed_contacts,0,0,0,0,,17,32,0,0,0,0,15,2,0,66,,,,
2014-10-16,percent_seen,100%,99%,98%,100%,,98%,100%,98%,100%,100%,100%,100%,98%,98%,98%,,,,
