date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area combined
2014-11-21,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350,1304507
2014-11-21,new_noncase,0,11,0,0,0,24,3,17,0,8,4,6,12,7,92,
2014-11-21,new_suspected,0,0,0,1,0,1,0,0,0,0,1,2,6,7,18,
2014-11-21,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014-11-21,new_confirmed,2,0,0,1,0,14,5,5,0,6,1,0,9,8,51,
2014-11-21,cum_noncase,321,1015,119,50,63,586,198,577,18,410,180,13,1485,755,5790,
2014-11-21,cum_suspected,18,100,73,12,18,102,68,155,10,96,48,6,217,103,1026,
2014-11-21,cum_probable,32,0,1,0,32,6,4,1,0,1,1,0,1,0,79,
2014-11-21,cum_confirmed,561,494,72,60,78,759,325,776,30,235,155,3,1056,751,5355,
2014-11-21,death_suspected,4,5,2,6,0,22,4,74,3,8,9,1,8,12,158,
2014-11-21,death_probable,35,0,19,9,32,19,21,1,2,43,20,1,4,2,208,
2014-11-21,death_confirmed,228,261,27,18,22,180,70,122,16,68,38,2,139,112,1303,
2014-11-21,cfr,40.6,52.8,37.5,30.0,28.2,23.7,21.5,15.7,53.3,28.9,24.5,66.7,13.2,14.9,24.3,
2014-11-21,etc_new_admission,,,,,,,,,,,,,,,,
2014-11-21,etc_currently_admitted,,,,,,,,,,,,,,,,
2014-11-21,etc_cum_admission,,,,,,,,,,,,,,,,
2014-11-21,etc_new_deaths,,,,,,,,,,,,,,,,
2014-11-21,etc_cum_deaths,,,,,,,,,,,,,,,,
2014-11-21,etc_new_discharges,,,,,,,,,,,,,,,,
2014-11-21,etc_cum_discharges,,,,,,,,,,,,,,,,
2014-11-21,cum_contacts,,,,,,,,,,,,,,,,
2014-11-21,cum_completed_contacts,,,,,,,,,,,,,,,,
2014-11-21,contacts_followed,,,,,,,,,,,,,,,,
2014-11-21,new_contacts,,,,,,,,,,,,,,,,
2014-11-21,contacts_healthy,,,,,,,,,,,,,,,,
2014-11-21,contacts_ill,,,,,,,,,,,,,,,,
2014-11-21,contacts_not_seen,,,,,,,,,,,,,,,,
2014-11-21,new_completed_contacts,,,,,,,,,,,,,,,,
2014-11-21,percent_seen,,,,,,,,,,,,,,,,
2014-11-21,total_lab_samples,,,,,,,,,,,,,,,203,
2014-11-21,repeat_samples,,,,,,,,,,,,,,,42,
2014-11-21,new_samples,,,,,,,,,,,,,,,161,
2014-11-21,new_positive,,,,,,,,,,,,,,,51,
2014-11-21,new_negative,,,,,,,,,,,,,,,92,
2014-11-21,pending,,,,,,,,,,,,,,,18,
2014-11-21,positive_corpse,0,0,0,0,0,4,0,3,0,0,0,0,1,1,9,
2014-11-21,negative_corpse,0,11,0,0,0,10,2,12,0,5,2,6,5,4,57,
