date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area combined
2014-10-25,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,,,6348350,1304507
2014-10-25,new_noncase,0,9,0,0,0,10,1,44,0,13,2,0,21,23,123,
2014-10-25,new_suspected,0,1,0,0,0,0,4,0,0,2,1,0,0,0,8,
2014-10-25,new_probable,0,0,0,0,0,3,1,3,0,0,0,0,2,0,9,
2014-10-25,new_confirmed,0,4,0,0,0,13,7,5,0,3,2,0,15,21,70,
2014-10-25,cum_noncase,303,767,84,17,38,283,79,231,11,172,76,2,793,385,3241,
2014-10-25,cum_suspected,18,77,56,4,4,75,34,23,7,60,26,3,64,37,488,
2014-10-25,cum_probable,32,0,1,0,32,6,4,4,0,1,1,0,1,0,82,
2014-10-25,cum_confirmed,551,483,38,30,9,497,180,491,26,162,90,2,559,442,3560,
2014-10-25,death_suspected,4,4,2,6,0,22,4,52,3,8,9,1,8,12,135,
2014-10-25,death_probable,35,0,19,9,32,19,21,4,2,43,20,1,4,2,211,
2014-10-25,death_confirmed,223,249,18,9,7,137,45,74,14,59,33,1,87,81,1037,
2014-10-25,cfr,41,52,47,30,78,28,25,15,54,36,37,50,15.6,18,29,
2014-10-25,etc_new_admission,,,,,,,,,,,,,,,,
2014-10-25,etc_currently_admitted,,,,,,,,,,,,,,,,
2014-10-25,etc_cum_admission,,,,,,,,,,,,,,,,
2014-10-25,etc_new_deaths,,,,,,,,,,,,,,,,
2014-10-25,etc_cum_deaths,,,,,,,,,,,,,,,,
2014-10-25,etc_new_discharges,,,,,,,,,,,,,,,,
2014-10-25,etc_cum_discharges,,,,,,,,,,,,,,,,
2014-10-25,cum_contacts,,,,,,,,,,,,,,,,
2014-10-25,cum_completed_contacts,,,,,,,,,,,,,,,,
2014-10-25,contacts_followed,,,,,,,,,,,,,,,,
2014-10-25,new_contacts,,,,,,,,,,,,,,,,
2014-10-25,contacts_healthy,,,,,,,,,,,,,,,,
2014-10-25,contacts_ill,,,,,,,,,,,,,,,,
2014-10-25,contacts_not_seen,,,,,,,,,,,,,,,,
2014-10-25,new_completed_contacts,,,,,,,,,,,,,,,,
2014-10-25,percent_seen,,,,,,,,,,,,,,,,
2014-10-25,total_lab_samples,,,,,,,,,,,,,,,240,
2014-10-25,repeat_samples,,,,,,,,,,,,,,,39,
2014-10-25,new_samples,,,,,,,,,,,,,,,201,
2014-10-25,new_positive,,,,,,,,,,,,,,,70,
2014-10-25,new_negative,,,,,,,,,,,,,,,123,
2014-10-25,pending,,,,,,,,,,,,,,,,
2014-10-25,positive_corpse,0,1,0,0,0,5,2,2,0,1,0,0,8,14,33,
2014-10-25,negative_corpse,0,4,0,0,0,9,1,12,0,6,1,0,16,15,64,
