date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area,Kenema (KGH),Kenema (IFRC),Hastings-F/Town
2014-10-15,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,,,6348350,1304507,,,
2014-10-15,new_noncase,0,3,10,1,0,0,0,0,1,2,2,0,,,30,11,,,
2014-10-15,new_suspected,0,10,5,2,0,1,9,12,0,4,0,1,,,52,8,,,
2014-10-15,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,
2014-10-15,new_confirmed,1,1,3,0,0,1,0,0,0,6,3,1,,,26,10,,,
2014-10-15,cum_noncase,284,693,78,13,35,215,62,159,7,130,59,1,,,2590,854,,,
2014-10-15,cum_suspected,18,61,53,3,0,61,24,22,5,45,22,3,,,409,92,,,
2014-10-15,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,,,37,1,,,
2014-10-15,cum_confirmed,537,462,34,25,2,403,138,425,24,138,80,2,,,3003,733,,,
2014-10-15,death_suspected,4,4,2,6,0,18,3,49,3,3,6,1,,,109,10,,,
2014-10-15,death_probable,35,0,19,9,0,14,17,1,2,43,19,1,,,164,4,,,
2014-10-15,death_confirmed,219,240,18,9,0,124,36,60,12,55,29,1,,,943,140,,,
2014-10-15,cfr,41,52,53,36,0,31,26,14,50,40,36,50,,,31,40,,,
2014-10-15,etc_new_admission,5,,,,,,,,,6,,,,,29,,0,0,18
2014-10-15,etc_currently_admitted,43,,,,,,,,,25,,,,,191,,0,35,88
2014-10-15,etc_cum_admission,819,,,,,,,,,66,,,,,1748,,504,103,256
2014-10-15,etc_new_deaths,1,,,,,,,,,0,,,,,6,,0,1,4
2014-10-15,etc_cum_deaths,239,,,,,,,,,20,,,,,633,,254,42,78
2014-10-15,etc_new_discharges,10,,,,,,,,,0,,,,,10,,0,0,0
2014-10-15,etc_cum_discharges,182,,,,,,,,,22,,,,,614,,307,24,79
2014-10-15,cum_contacts,2078,2980,528,412,,2119,2380,3994,949,967,863,105,2051,1763,21189,,,,
2014-10-15,cum_completed_contacts,1688,2647,235,152,,471,680,589,469,661,488,90,1170,958,10298,,,,
2014-10-15,contacts_followed,390,333,293,260,,1648,1700,3405,380,306,375,15,881,805,10791,,,,
2014-10-15,new_contacts,25,35,4,0,,16,340,107,0,80,20,0,56,190,873,,,,
2014-10-15,contacts_healthy,390,288,281,260,,1628,1700,3344,380,298,375,15,792,704,10455,,,,
2014-10-15,contacts_ill,0,0,11,0,,12,0,17,0,0,0,0,2,2,44,,,,
2014-10-15,contacts_not_seen,0,39,0,0,,8,0,44,0,8,0,0,87,101,287,,,,
2014-10-15,new_completed_contacts,8,6,0,0,,0,0,11,0,0,0,0,54,93,172,,,,
2014-10-15,percent_seen,100%,99%,98%,100%,,98%,100%,98%,100%,100%,100%,100%,98%,98%,98%,,,,
