date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National
2014-11-15,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350
2014-11-15,new_noncase,,,,,,,,,,,,,,,
2014-11-15,new_suspected,,,,,,,,,,,,,,,
2014-11-15,new_probable,,,,,,,,,,,,,,,
2014-11-15,new_confirmed,0,0,0,0,1,4,0,14,0,8,2,1,16,8,54
2014-11-15,cum_noncase,,,,,,,,,,,,,,,
2014-11-15,cum_suspected,,,,,,,,,,,,,,,924
2014-11-15,cum_probable,,,,,,,,,,,,,,,79
2014-11-15,cum_confirmed,558,493,57,56,73,697,300,711,28,220,144,3,940,687,4967
2014-11-15,death_suspected,,,,,,,,,,,,,,,157
2014-11-15,death_probable,,,,,,,,,,,,,,,208
2014-11-15,death_confirmed,,,,,,,,,,,,,,,1206
2014-11-15,cfr,,,,,,,,,,,,,,,
2014-11-15,etc_new_admission,,,,,,,,,,,,,,,
2014-11-15,etc_currently_admitted,,,,,,,,,,,,,,,
2014-11-15,etc_cum_admission,,,,,,,,,,,,,,,
2014-11-15,etc_new_deaths,,,,,,,,,,,,,,,
2014-11-15,etc_cum_deaths,,,,,,,,,,,,,,,
2014-11-15,etc_new_discharges,,,,,,,,,,,,,,,
2014-11-15,etc_cum_discharges,,,,,,,,,,,,,,,
2014-11-15,cum_contacts,,,,,,,,,,,,,,,
2014-11-15,cum_completed_contacts,,,,,,,,,,,,,,,
2014-11-15,contacts_followed,,,,,,,,,,,,,,,
2014-11-15,new_contacts,,,,,,,,,,,,,,,
2014-11-15,contacts_healthy,,,,,,,,,,,,,,,
2014-11-15,contacts_ill,,,,,,,,,,,,,,,
2014-11-15,contacts_not_seen,,,,,,,,,,,,,,,
2014-11-15,new_completed_contacts,,,,,,,,,,,,,,,
2014-11-15,percent_seen,,,,,,,,,,,,,,,
2014-11-15,total_lab_samples,,,,,,,,,,,,,,,
2014-11-15,repeat_samples,,,,,,,,,,,,,,,
2014-11-15,new_samples,,,,,,,,,,,,,,,
2014-11-15,new_positive,,,,,,,,,,,,,,,
2014-11-15,new_negative,,,,,,,,,,,,,,,
2014-11-15,pending,,,,,,,,,,,,,,,
2014-11-15,positive_corpse,,,,,,,,,,,,,,,
2014-11-15,negative_corpse,,,,,,,,,,,,,,,
