date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area,Kenema (KGH),Kenema (IFRC),Hastings-F/Town
2014-10-17,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,,,6348350,1304507,,,
2014-10-17,new_noncase,0,5,0,1,0,0,6,1,2,4,7,1,,,53,26,,,
2014-10-17,new_suspected,0,4,0,1,0,4,0,0,0,2,0,0,,,13,2,,,
2014-10-17,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,
2014-10-17,new_confirmed,0,4,0,1,0,0,8,0,1,3,3,0,,,39,19,,,
2014-10-17,cum_noncase,285,698,78,14,35,232,68,160,9,135,66,2,,,2675,893,,,
2014-10-17,cum_suspected,18,65,53,4,0,68,24,22,5,48,22,3,,,426,94,,,
2014-10-17,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,,,37,1,,,
2014-10-17,cum_confirmed,541,466,34,26,2,435,146,427,25,141,83,2,,,3097,769,,,
2014-10-17,death_suspected,4,4,2,6,0,18,3,49,3,3,6,1,,,109,0,,,
2014-10-17,death_probable,35,0,19,9,0,14,17,1,2,43,19,1,,,164,4,,,
2014-10-17,death_confirmed,219,245,18,9,0,125,37,62,12,57,29,1,,,954,140,,,
2014-10-17,cfr,41,53,53,35,0,29,25,15,48,40,35,50,,,31,38,,,
2014-10-17,etc_new_admission,20,,,,,,,,,1,,,,,23,,0,3,0
2014-10-17,etc_currently_admitted,50,,,,,,,,,18,,,,,205,,0,31,106
2014-10-17,etc_cum_admission,850,,,,,,,,,72,,,,,1816,,504,116,274
2014-10-17,etc_new_deaths,0,,,,,,,,,3,,,,,10,,0,4,3
2014-10-17,etc_cum_deaths,240,,,,,,,,,24,,,,,573,,254,47,8
2014-10-17,etc_new_discharges,1,,,,,,,,,1,,,,,2,,0,0,0
2014-10-17,etc_cum_discharges,189,,,,,,,,,30,,,,,629,,307,24,79
2014-10-17,cum_contacts,2173,2999,560,412,,2162,2430,4306,949,921,843,105,2203,1830,20419,,,,
2014-10-17,cum_completed_contacts,1688,2662,235,152,,488,712,614,469,661,488,90,1171,923,10114,,,,
2014-10-17,contacts_followed,485,284,325,260,,1674,1718,3692,380,238,355,15,1032,907,10205,,,,
2014-10-17,new_contacts,61,0,32,0,,13,0,112,0,0,78,0,152,67,339,,,,
2014-10-17,contacts_healthy,485,237,325,260,,1665,1717,3644,380,237,355,15,854,810,9946,,,,
2014-10-17,contacts_ill,0,0,0,0,,4,1,18,0,0,0,0,0,0,32,,,,
2014-10-17,contacts_not_seen,0,39,0,0,,5,0,30,0,1,0,0,178,97,223,,,,
2014-10-17,new_completed_contacts,0,8,0,14,,0,0,25,0,0,27,0,2,0,343,,,,
2014-10-17,percent_seen,100%,99%,98%,100%,,98%,100%,98%,100%,100%,100%,100%,98%,98%,98%,,,,
