date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area combined,
2014-11-24,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350,1304507,
2014-11-24,new_noncase,0,8,0,1,0,28,12,30,0,26,14,0,78,20,217,,
2014-11-24,new_suspected,0,5,0,1,0,0,0,14,0,2,0,0,4,6,32,,
2014-11-24,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2014-11-24,new_confirmed,0,0,0,6,0,10,4,13,0,8,1,0,31,10,83,,
2014-11-24,cum_noncase,321,1042,124,57,64,629,233,645,18,449,207,20,1616,808,6233,,
2014-11-24,cum_suspected,18,106,78,19,19,103,71,185,10,104,48,6,227,117,1111,,
2014-11-24,cum_probable,32,0,1,0,32,6,4,1,0,1,1,0,1,0,79,,
2014-11-24,cum_confirmed,561,494,73,68,78,773,337,805,30,244,158,3,1124,776,5524,,
2014-11-24,death_suspected,4,5,2,6,0,22,4,74,3,8,9,1,8,12,158,,
2014-11-24,death_probable,35,0,19,9,32,19,21,1,2,43,20,1,4,2,208,,
2014-11-24,death_confirmed,228,261,29,21,23,187,74,141,16,70,40,2,174,131,1397,,
2014-11-24,cfr,40.6,52.8,39.7,30.9,29.5,24.2,22.0,17.5,53.3,28.7,25.3,66.7,15.5,16.9,25.3,,
2014-11-24,etc_new_admission,,,,,,,,,,,,,,,,,
2014-11-24,etc_currently_admitted,,,,,,,,,,,,,,,,,
2014-11-24,etc_cum_admission,,,,,,,,,,,,,,,,,
2014-11-24,etc_new_deaths,,,,,,,,,,,,,,,,,
2014-11-24,etc_cum_deaths,,,,,,,,,,,,,,,,,
2014-11-24,etc_new_discharges,,,,,,,,,,,,,,,,,
2014-11-24,etc_cum_discharges,,,,,,,,,,,,,,,,,
2014-11-24,cum_contacts,3139,3218,1059,759,255,3440,3079,7902,1222,1466,1606,165,8788,5886,41984,,
2014-11-24,cum_completed_contacts,2514,3025,454,670,8,1681,1863,1571,1103,995,1296,125,5149,3900,24354,,
2014-11-24,contacts_followed,625,61,605,89,247,1759,1216,6331,119,471,310,40,2867,1796,16536,,
2014-11-24,new_contacts,32,0,2,0,0,0,0,23,0,0,0,0,250,151,458,,
2014-11-24,contacts_healthy,625,61,587,87,247,1745,1210,6285,119,465,310,40,2591,1634,16006,,
2014-11-24,contacts_ill,0,0,18,0,0,1,0,7,0,0,0,0,2,8,36,,
2014-11-24,contacts_not_seen,0,0,0,2,0,12,6,39,0,6,0,0,14,3,82,,
2014-11-24,new_completed_contacts,12,0,42,0,0,0,0,60,0,0,128,0,156,277,675,,
2014-11-24,percent_seen,100,99,98,100,100,98,98,98,100,98,100,100,98,98,98,,
2014-11-24,total_lab_samples,,,,,,,,,,,,,,,347,,
2014-11-24,repeat_samples,,,,,,,,,,,,,,,15,,
2014-11-24,new_samples,,,,,,,,,,,,,,,332,,
2014-11-24,new_positive,,,,,,,,,,,,,,,83,,
2014-11-24,new_negative,,,,,,,,,,,,,,,217,,
2014-11-24,pending,,,,,,,,,,,,,,,32,,
2014-11-24,positive_corpse,0,0,0,3,0,2,1,7,0,1,1,0,12,6,33,,
2014-11-24,negative_corpse,0,4,0,1,0,10,8,11,0,21,12,0,48,12,127,,
