date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area combined
2014-10-24,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,,,6348350,1304507
2014-10-24,new_noncase,0,15,0,0,0,17,2,0,0,0,3,0,19,13,69,
2014-10-24,new_suspected,0,0,1,0,0,1,1,0,0,0,0,0,0,0,3,
2014-10-24,new_probable,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,
2014-10-24,new_confirmed,0,2,0,0,4,14,7,0,0,0,2,0,8,4,41,
2014-10-24,cum_noncase,303,758,84,17,38,273,78,187,11,159,74,2,772,362,3118,
2014-10-24,cum_suspected,18,76,56,4,4,75,30,23,7,58,25,3,64,37,480,
2014-10-24,cum_probable,32,0,1,0,10,1,0,1,0,1,0,0,1,0,47,
2014-10-24,cum_confirmed,551,479,38,30,9,484,173,486,26,159,88,2,544,421,3490,
2014-10-24,death_suspected,4,4,2,6,0,22,4,52,3,8,9,1,8,12,135,
2014-10-24,death_probable,35,0,19,9,10,16,20,1,2,43,20,1,2,2,180,
2014-10-24,death_confirmed,223,248,18,9,7,135,43,70,14,59,33,1,86,80,1026,
2014-10-24,cfr,41,52,47,30,78,28,25,14,54,37,38,50,15.8,19,29,
2014-10-24,etc_new_admission,,,,,,,,,,,,,,,,
2014-10-24,etc_currently_admitted,,,,,,,,,,,,,,,,
2014-10-24,etc_cum_admission,,,,,,,,,,,,,,,,
2014-10-24,etc_new_deaths,,,,,,,,,,,,,,,,
2014-10-24,etc_cum_deaths,,,,,,,,,,,,,,,,
2014-10-24,etc_new_discharges,,,,,,,,,,,,,,,,
2014-10-24,etc_cum_discharges,,,,,,,,,,,,,,,,
2014-10-24,cum_contacts,2310,2980,560,525,58,2269,2569,5111,977,1034,913,125,,,25074,
2014-10-24,cum_completed_contacts,1768,2647,263,377,0,1681,815,667,669,686,695,105,,,13260,
2014-10-24,contacts_followed,542,333,297,147,55,1588,1754,4444,308,324,218,20,,,12786,
2014-10-24,new_contacts,0,0,0,0,0,0,28,191,0,0,12,0,,,231,
2014-10-24,contacts_healthy,542,333,294,146,55,582,1753,4387,308,322,218,20,,,11912,
2014-10-24,contacts_ill,0,0,3,1,0,2,1,15,0,2,0,0,,,1578,
2014-10-24,contacts_not_seen,0,0,0,0,0,4,0,42,0,0,0,0,,,53,
2014-10-24,new_completed_contacts,0,0,0,0,0,0,0,0,0,25,16,0,,,41,
2014-10-24,percent_seen,100%,99%,98%,100%,100%,98%,100%,98%,100%,100%,100%,100%,,,98%,
2014-10-24,total_lab_samples,,,,,,,,,,,,,,,137,
2014-10-24,repeat_samples,,,,,,,,,,,,,,,24,
2014-10-24,new_samples,,,,,,,,,,,,,,,113,
2014-10-24,new_positive,,,,,,,,,,,,,,,41,
2014-10-24,new_negative,,,,,,,,,,,,,,,69,
2014-10-24,pending,,,,,,,,,,,,,,,3.00,
2014-10-24,positive_corpse,0,0,0,0,4,1,0,0,0,0,0,0,5,0,10,
2014-10-24,negative_corpse,0,14,0,0,0,8,0,0,0,0,3,0,11,5,41,
