date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National
2014-08-31,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350
2014-08-31,new_noncase,0,1,0,0,0,0,1,2,0,1,0,0,0,1,6
2014-08-31,new_suspected,0,3,0,0,0,1,0,1,0,0,0,0,2,0,7
2014-08-31,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-31,new_confirmed,4,11,0,0,0,4,2,8,0,6,0,0,6,3,44
2014-08-31,cum_noncase,245,407,18,3,17,19,16,19,3,76,17,0,89,18,947
2014-08-31,cum_suspected,15,11,33,0,5,1,1,3,0,1,0,0,5,1,76
2014-08-31,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37
2014-08-31,cum_confirmed,461,350,1,1,0,39,16,70,7,45,9,1,49,28,1077
2014-08-31,death_suspected,4,4,1,0,0,0,0,1,0,0,0,0,1,0,11
2014-08-31,death_probable,35,0,0,0,0,0,0,1,0,0,0,0,1,0,37
2014-08-31,death_confirmed,180,172,0,0,0,6,2,2,1,15,4,1,2,2,387
2014-08-31,cfr,39,49.1,0,0,0,15.4,12.5,2.9,14.3,33.3,44.4,100,4.1,7.1,35.9
2014-08-31,etc_new_admission,4,,,,,,,,,,,,,,
2014-08-31,etc_currently_admitted,64,,,,,,,,,,,,,,
2014-08-31,etc_cum_admission,399,294,,,,,,,,,,,,,
2014-08-31,etc_new_deaths,4,,,,,,,,,,,,,,
2014-08-31,etc_cum_deaths,177,180,,,,,,,,,,,,,
2014-08-31,etc_new_discharges,0,,,,,,,,,,,,,,
2014-08-31,etc_cum_discharges,175,69,,,,,,,,,,,,,
2014-08-31,cum_contacts,1287,2032,53,0,,484,362,911,208,581,144,32,615,135,6844
2014-08-31,cum_completed_contacts,1017,1381,38,0,,100,11,88,74,298,55,26,357,0,3445
2014-08-31,contacts_followed,246,523,0,0,,384,351,823,204,283,89,6,258,135,3302
2014-08-31,new_contacts,35,164,0,0,,8,10,19,0,0,0,0,62,21,319
2014-08-31,contacts_healthy,246,478,0,0,,377,351,800,204,282,89,6,258,133,3224
2014-08-31,contacts_ill,0,6,0,0,,6,0,1,0,0,0,0,0,2,15
2014-08-31,contacts_not_seen,0,39,0,0,,1,0,22,0,1,0,0,0,0,63
2014-08-31,new_completed_contacts,0,35,0,0,,0,0,0,0,0,0,0,0,0,35
2014-08-31,percent_seen,100%,92%,,,,99%,100%,97%,100%,99%,100%,100%,100%,100%,98%
