date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National
2014-09-13,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350
2014-09-13,new_noncase,8,5,0,1,0,0,2,0,0,3,3,0,10,8,40
2014-09-13,new_suspected,0,4,0,0,0,1,0,0,0,0,0,0,0,0,5
2014-09-13,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-13,new_confirmed,10,1,0,0,0,0,1,1,0,1,0,0,7,1,22
2014-09-13,cum_noncase,272,479,23,5,24,24,28,39,4,84,28,1,171,54,1236
2014-09-13,cum_suspected,1,27,39,0,0,3,2,4,1,11,2,0,8,4,102
2014-09-13,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37
2014-09-13,cum_confirmed,528,398,15,3,0,82,31,143,10,76,17,1,109,51,1464
2014-09-13,death_suspected,4,4,1,0,0,0,0,1,0,0,0,0,1,0,11
2014-09-13,death_probable,35,0,0,0,0,0,0,1,0,0,0,0,1,0,37
2014-09-13,death_confirmed,186,221,2,1,0,6,2,16,1,16,6,1,3,2,463
2014-09-13,cfr,35.2,55.5,0,33.3,0,7.3,6.5,11.2,10,21.1,35.3,100,2.8,3.9,31.6
2014-09-13,etc_new_admission,0,0,,,,,,,,,,,,,
2014-09-13,etc_currently_admitted,60,62,,,,,,,,,,,,,
2014-09-13,etc_cum_admission,462,507,,,,,,,,,,,,,
2014-09-13,etc_new_deaths,4,1,,,,,,,,,,,,,
2014-09-13,etc_cum_deaths,232,188,,,,,,,,,,,,,
2014-09-13,etc_new_discharges,0,1,,,,,,,,,,,,,
2014-09-13,etc_cum_discharges,229,85,,,,,,,,,,,,,
2014-09-13,cum_contacts,1422,2495,191,98,,626,553,1626,333,,206,84,800,242,9339
2014-09-13,cum_completed_contacts,1105,1830,80,12,,187,182,498,195,,149,27,436,30,5229
2014-09-13,contacts_followed,166,640,111,85,,439,371,1368,138,,55,57,364,212,4171
2014-09-13,new_contacts,0,0,0,0,,23,0,0,0,,0,0,0,0,55
2014-09-13,contacts_healthy,166,625,111,85,,424,371,1360,137,,55,57,362,211,4128
2014-09-13,contacts_ill,0,0,0,0,,9,0,3,1,,0,0,0,0,14
2014-09-13,contacts_not_seen,0,15,0,0,,6,0,0,0,,0,0,2,1,24
2014-09-13,new_completed_contacts,0,0,0,0,,5,0,0,0,,0,0,0,0,5
2014-09-13,percent_seen,100%,97%,100%,100%,,96%,100%,100%,100%,,100%,100%,100%,100%,99%
