date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area combined
2014-10-28,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350,1304507
2014-10-28,new_noncase,3,16,0,2,3,8,3,1,0,0,2,0,6,3,47,
2014-10-28,new_suspected,0,2,0,0,4,0,0,1,1,1,2,0,9,0,20,
2014-10-28,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014-10-28,new_confirmed,0,4,0,5,2,11,6,4,2,0,3,0,6,4,47,
2014-10-28,cum_noncase,307,795,85,21,42,317,85,242,11,186,81,2,824,406,3404,
2014-10-28,cum_suspected,18,84,58,4,9,75,38,48,10,63,30,3,75,38,553,
2014-10-28,cum_probable,32,0,1,0,32,6,4,1,0,1,1,0,1,0,79,
2014-10-28,cum_confirmed,551,488,38,36,15,541,199,518,28,169,96,2,601,478,3760,
2014-10-28,death_suspected,4,4,2,6,0,22,4,74,3,8,9,1,8,12,157,
2014-10-28,death_probable,35,0,19,9,32,19,21,1,2,43,20,1,4,2,208,
2014-10-28,death_confirmed,225,252,18,9,7,141,46,77,16,59,33,1,91,82,1057,
2014-10-28,cfr,40.8,51.6,47.4,25.0,46.7,26.1,23.1,14.9,57.1,34.9,34.4,50.0,15.1,17.2,28.1,
2014-10-28,etc_new_admission,11,,,,,,,,,,,,,,,
2014-10-28,etc_currently_admitted,44,,,,,,,,,,,,,,,
2014-10-28,etc_cum_admission,924,,,,,,,,,93,,,,,,
2014-10-28,etc_new_deaths,1,,,,,,,,,,,,,,,
2014-10-28,etc_cum_deaths,247,,,,,,,,,27,,,,,,
2014-10-28,etc_new_discharges,2,,,,,,,,,,,,,,,
2014-10-28,etc_cum_discharges,224,,,,,,,,,38,,,,,,
2014-10-28,cum_contacts,2338,3125,560,525,58,2581,2689,5472,977,1034,1027,125,3353,2797,26661,
2014-10-28,cum_completed_contacts,1835,2676,293,385,0,1681,1007,772,939,686,782,105,1692,1361,14214,
2014-10-28,contacts_followed,503,328,264,130,55,900,1682,4700,31,322,245,20,1661,1436,12277,
2014-10-28,new_contacts,0,3,0,0,0,0,64,181,0,0,17,0,228,75,568,
2014-10-28,contacts_healthy,503,328,260,130,55,888,1676,4667,31,321,245,20,1377,860,11361,
2014-10-28,contacts_ill,0,0,4,0,0,4,6,11,0,1,0,0,0,6,32,
2014-10-28,contacts_not_seen,0,0,0,0,2,8,0,22,0,0,0,0,284,576,892,
2014-10-28,new_completed_contacts,0,6,0,0,0,0,122,14,0,0,7,0,19,60,228,
2014-10-28,percent_seen,100%,99%,98%,100%,99%,98%,100%,98%,100%,100%,100%,100%,98%,98%,98%,
2014-10-28,total_lab_samples,,,,,,,,,,,,,,,151,
2014-10-28,repeat_samples,,,,,,,,,,,,,,,37,
2014-10-28,new_samples,,,,,,,,,,,,,,,114,
2014-10-28,new_positive,,,,,,,,,,,,,,,47,
2014-10-28,new_negative,,,,,,,,,,,,,,,47,
2014-10-28,pending,,,,,,,,,,,,,,,20,
2014-10-28,positive_corpse,0,0,0,3,1,2,3,4,0,0,1,0,4,1,19,
2014-10-28,negative_corpse,0,15,0,1,0,6,0,1,0,0,2,0,5,0,30,
