date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area
2014-10-10,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,,,6348350,1304507
2014-10-10,new_noncase,0,22,0,0,0,1,0,3,0,2,2,0,,,47,17
2014-10-10,new_suspected,0,0,0,0,0,0,0,1,0,1,0,0,,,5,3
2014-10-10,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2014-10-10,new_confirmed,0,2,0,0,0,0,0,9,0,2,0,0,,,43,30
2014-10-10,cum_noncase,283,668,64,9,30,178,59,144,5,119,55,1,,,2365,750
2014-10-10,cum_suspected,18,43,50,3,0,47,18,19,3,28,20,2,,,327,76
2014-10-10,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,,,37,1
2014-10-10,cum_confirmed,533,436,29,22,0,347,115,372,24,118,72,1,,,2698,629
2014-10-10,death_suspected,4,4,2,6,0,13,3,49,0,2,5,1,,,97,8
2014-10-10,death_probable,35,0,19,9,0,7,17,1,0,43,19,1,,,155,4
2014-10-10,death_confirmed,218,238,18,9,0,115,29,56,9,52,27,1,,,904,132
2014-10-10,cfr,41,55,62,41,0,33,25,15,38,44,38,100,,,34,43.1
2014-10-10,etc_new_admission,,,,,,,,,,,,,,,,21
2014-10-10,etc_currently_admitted,,,,,,,,,,,,,,,,195
2014-10-10,etc_cum_admission,,,,,,,,,,,,,,,,1859
2014-10-10,etc_new_deaths,,,,,,,,,,,,,,,,4
2014-10-10,etc_cum_deaths,,,,,,,,,,,,,,,,616
2014-10-10,etc_new_discharges,,,,,,,,,,,,,,,,4
2014-10-10,etc_cum_discharges,,,,,,,,,,,,,,,,555
2014-10-10,cum_contacts,1923,2871,469,412,0,1997,1881,3411,679,980,512,105,1655,1260,18155,
2014-10-10,cum_completed_contacts,1473,2613,191,86,0,426,544,568,434,661,272,90,969,695,9022,
2014-10-10,contacts_followed,550,258,278,326,0,1571,1337,2843,245,293,240,15,686,565,9207,
2014-10-10,new_contacts,0,2,16,0,0,23,30,102,0,13,0,0,78,21,285,
2014-10-10,contacts_healthy,550,258,272,325,0,1562,1337,2814,245,288,240,15,597,524,9027,
2014-10-10,contacts_ill,0,0,6,1,0,7,0,17,0,2,0,0,3,0,36,
2014-10-10,contacts_not_seen,0,0,0,0,0,2,0,12,0,3,0,0,86,41,144,
2014-10-10,new_completed_contacts,0,35,51,0,0,0,12,6,0,0,0,0,56,28,188,
2014-10-10,percent_seen,100%,100%,98%,100%,0,98%,100%,97%,100%,98%,100%,100%,98%,98%,98%,
