date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area combined
2014-10-23,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,,,6348350,1304507
2014-10-23,new_noncase,0,8,4,0,0,0,0,2,0,6,0,0,39,17,76,
2014-10-23,new_suspected,0,1,1,0,0,0,0,0,1,3,0,0,1,0,7,
2014-10-23,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014-10-23,new_confirmed,1,0,4,0,0,0,1,6,0,0,0,0,27,21,60,
2014-10-23,cum_noncase,303,743,84,17,38,256,76,187,11,159,71,2,753,349,3049,
2014-10-23,cum_suspected,18,76,55,4,4,74,29,23,7,58,25,3,64,37,477,
2014-10-23,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37,
2014-10-23,cum_confirmed,551,477,38,30,5,470,166,486,26,159,86,2,536,417,3449,
2014-10-23,death_suspected,4,4,2,6,0,18,4,52,3,3,6,1,8,12,123,
2014-10-23,death_probable,35,0,19,9,0,14,17,1,2,43,19,1,2,2,164,
2014-10-23,death_confirmed,223,248,18,9,0,135,43,70,12,59,33,1,83,78,1012,
2014-10-23,cfr,41,52,47,30,0,29,26,14,46,37,38,50,15.5,19,29,
2014-10-23,etc_new_admission,,,,,,,,,,,,,,,,
2014-10-23,etc_currently_admitted,,,,,,,,,,,,,,,,
2014-10-23,etc_cum_admission,,,,,,,,,,,,,,,,
2014-10-23,etc_new_deaths,,,,,,,,,,,,,,,,
2014-10-23,etc_cum_deaths,,,,,,,,,,,,,,,,
2014-10-23,etc_new_discharges,,,,,,,,,,,,,,,,
2014-10-23,etc_cum_discharges,,,,,,,,,,,,,,,,
2014-10-23,cum_contacts,2310,2980,560,525,58,2269,2541,4920,977,1034,913,125,,,24855,
2014-10-23,cum_completed_contacts,1768,2647,263,377,0,1681,781,636,669,661,679,105,,,13154,
2014-10-23,contacts_followed,542,333,297,147,55,588,1760,4284,308,349,234,20,,,11673,
2014-10-23,new_contacts,27,35,0,83,0,21,0,88,13,55,12,20,,,397,
2014-10-23,contacts_healthy,542,285,297,147,55,582,1760,4247,308,294,221,20,,,11384,
2014-10-23,contacts_ill,0,0,0,0,3,4,0,10,0,0,1,0,,,20,
2014-10-23,contacts_not_seen,0,42,0,0,0,2,0,27,0,0,0,0,,,199,
2014-10-23,new_completed_contacts,0,6,4,0,0,1109,0,0,0,0,0,15,,,1186,
2014-10-23,percent_seen,100%,99%,98%,100%,99%,98%,100%,98%,100%,100%,100%,100%,,,98%,
2014-10-23,total_lab_samples,,,,,,,,,,,,,,,149,
2014-10-23,repeat_samples,,,,,,,,,,,,,,,36,
2014-10-23,new_samples,,,,,,,,,,,,,,,143,
2014-10-23,new_positive,,,,,,,,,,,,,,,60,
2014-10-23,new_negative,,,,,,,,,,,,,,,76,
2014-10-23,pending,,,,,,,,,,,,,,,7%,
2014-10-23,positive_corpse,0,0,1,0,0,0,0,0,0,0,0,0,8,13,22,
2014-10-23,negative_corpse,0,8,3,0,0,0,0,0,0,5,0,0,28,13,57,
