date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National
2014-12-01,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350
2014-12-01,new_noncase,1,11,0,1,0,9,0,60,1,11,17,0,20,11,142
2014-12-01,new_suspected,0,0,0,0,0,1,0,9,0,1,0,0,3,0,14
2014-12-01,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-01,new_confirmed,0,0,0,1,0,10,0,26,0,3,2,0,24,6,72
2014-12-01,cum_noncase,330,1097,131,74,82,721,264,765,24,523,251,40,"1,837",907,7046
2014-12-01,cum_suspected,18,112,90,20,24,113,74,210,15,106,59,6,273,135,1255
2014-12-01,cum_probable,32,0,1,0,32,6,4,1,0,1,1,0,1,0,79
2014-12-01,cum_confirmed,562,494,88,76,84,829,373,886,31,259,160,3,1295,838,5978
2014-12-01,death_suspected,4,5,2,6,0,22,4,74,3,8,9,1,8,12,158
2014-12-01,death_probable,35,0,19,9,32,19,21,1,2,43,20,1,4,2,208
2014-12-01,death_confirmed,228,261,31,24,26,200,84,174,16,78,41,2,218,166,1549
2014-12-01,cfr,41,53,35,32,31,24,23,20,52,30,26,67,16.8,20,26
2014-12-01,etc_new_admission,,,,,,,,,,,,,,,
2014-12-01,etc_currently_admitted,,,,,,,,,,,,,,,
2014-12-01,etc_cum_admission,,,,,,,,,,,,,,,
2014-12-01,etc_new_deaths,,,,,,,,,,,,,,,
2014-12-01,etc_cum_deaths,,,,,,,,,,,,,,,
2014-12-01,etc_new_discharges,,,,,,,,,,,,,,,
2014-12-01,etc_cum_discharges,,,,,,,,,,,,,,,
2014-12-01,cum_contacts,3278,3318,1124,791,255,6270,3098,7986,1222,1656,1621,165,11200,6602,48586
2014-12-01,cum_completed_contacts,2579,3038,532,672,8,4711,2155,1578,1103,1000,1523,125,5673,4330,29027
2014-12-01,contacts_followed,699,45,592,119,247,1462,943,6408,119,634,108,39,2823,1455,15693
2014-12-01,new_contacts,0,0,57,3,147,122,0,0,0,0,0,0,157,114,600
2014-12-01,contacts_healthy,699,45,560,118,247,1462,940,6348,119,634,108,39,2647,1338,15304
2014-12-01,contacts_ill,0,0,32,1,0,0,0,0,0,0,0,0,1,3,37
2014-12-01,contacts_not_seen,0,0,0,0,0,0,2,50,0,0,0,0,18,0,70
2014-12-01,new_completed_contacts,0,0,44,2,0,80,0,0,0,0,42,0,0,16,184
2014-12-01,percent_seen,100%,99%,98%,100%,99%,98%,100%,98%,100%,100%,100%,100%,98%,98%,98%
2014-12-01,total_lab_samples,,,,,,,,,,74,,,,,
2014-12-01,repeat_samples,,,,,,,,,,,,,,,
2014-12-01,new_samples,,,,,,,,,,,,,,,
2014-12-01,new_positive,,,,,,,,,,,,,,,
2014-12-01,new_negative,,,,,,,,,,,,,,,
2014-12-01,pending,0%,,,,,,,,,,,,,,
2014-12-01,positive_corpse,0,0,0,1,0,2,0,10,0,1,1,0,5,1,21
2014-12-01,negative_corpse,0,11,0,1,0,3,0,13,1,10,15,0,11,4,69
