date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area
2014-10-07,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350,
2014-10-07,new_noncase,1,7,11,1,0,17,3,0,0,6,1,0,,,91,44
2014-10-07,new_suspected,0,0,0,0,0,7,5,1,0,1,1,0,,,25,10
2014-10-07,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2014-10-07,new_confirmed,1,0,1,1,0,25,14,2,0,1,1,0,,,93,47
2014-10-07,cum_noncase,283,645,60,8,30,160,57,139,5,110,53,1,,,2216,665
2014-10-07,cum_suspected,18,46,48,3,0,42,18,18,3,25,19,2,,,315,73
2014-10-07,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,,,37,1
2014-10-07,cum_confirmed,533,431,26,22,0,333,114,343,24,113,70,1,,,2585,575
2014-10-07,death_suspected,4,4,2,0,0,13,3,1,0,2,5,0,,,35,1
2014-10-07,death_probable,35,0,19,0,0,7,17,1,0,43,19,0,,,142,1
2014-10-07,death_confirmed,218,236,18,1,0,89,29,18,8,49,27,1,,,708,14
2014-10-07,cfr,41,55,69,5,0,27,25,5,33,43,39,100,,,27.4,5
2014-10-07,etc_new_admission,,,,,,,,,,,,,,,28,
2014-10-07,etc_currently_admitted,,,,,,,,,,,,,,,184,
2014-10-07,etc_cum_admission,,,,,,,,,,,,,,,1593,
2014-10-07,etc_new_deaths,,,,,,,,,,,,,,,3,
2014-10-07,etc_cum_deaths,,,,,,,,,,,,,,,603,
2014-10-07,etc_new_discharges,,,,,,,,,,,,,,,51,
2014-10-07,etc_cum_discharges,,,,,,,,,,,,,,,538,
2014-10-07,cum_contacts,1923,2834,470,402,,1920,1808,3072,669,887,512,105,1414,809,16825,
2014-10-07,cum_completed_contacts,1323,2563,140,50,,385,508,541,384,661,254,90,739,315,7953,
2014-10-07,contacts_followed,600,271,330,352,,1535,1300,2531,285,226,258,15,675,494,8872,
2014-10-07,new_contacts,39,0,40,9,,491,0,47,14,0,24,0,0,0,664,
2014-10-07,contacts_healthy,600,271,308,351,,1528,1300,2502,285,226,258,15,560,357,8561,
2014-10-07,contacts_ill,0,0,22,1,,4,0,11,0,0,0,0,0,0,38,
2014-10-07,contacts_not_seen,0,0,0,0,,3,0,23,0,0,0,0,100,137,263,
2014-10-07,new_completed_contacts,0,0,0,0,,0,0,16,0,0,0,0,75,0,91,
2014-10-07,percent_seen,100%,99%,98%,100%,,98%,100%,98%,100%,100%,100%,100%,98%,98%,98%,
