date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Kenema (IFRC),34 Military Hospital,Police training School
2014-09-25,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350,,,
2014-09-25,new_noncase,0,5,0,0,0,0,1,14,0,0,0,0,15,12,47,,,
2014-09-25,new_suspected,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,
2014-09-25,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014-09-25,new_confirmed,0,1,0,0,0,0,5,18,0,1,0,0,6,4,35,,,
2014-09-25,cum_noncase,280,577,35,5,26,77,40,91,4,88,38,1,297,112,1671,,,
2014-09-25,cum_suspected,18,30,40,1,0,6,4,10,1,18,10,2,14,9,163,,,
2014-09-25,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37,,,
2014-09-25,cum_confirmed,529,423,18,12,0,180,65,231,16,83,50,1,195,117,1920,,,
2014-09-25,death_suspected,4,4,1,0,0,0,0,1,0,0,0,0,1,0,11,,,
2014-09-25,death_probable,35,0,0,0,0,0,0,1,0,0,0,0,1,0,37,,,
2014-09-25,death_confirmed,210,230,2,1,0,10,5,17,1,16,7,1,9,4,513,,,
2014-09-25,cfr,39.7,54.4,0,8.3,0,5.6,7.7,7.4,6.3,19.3,14,100,4.6,3.4,26.7,,,
2014-09-25,etc_new_admission,16,2,,,,,,,,,,,,,,3,,
2014-09-25,etc_currently_admitted,47,26,,,,,,,,,,,,,,20,,
2014-09-25,etc_cum_admission,670,503,,,,,,,,,,,,,,31,,
2014-09-25,etc_new_deaths,3,3,,,,,,,,,,,,,,1,,
2014-09-25,etc_cum_deaths,222,248,,,,,,,,,,,,,,11,,
2014-09-25,etc_new_discharges,2,0,,,,,,,,,,,,,,0,,
2014-09-25,etc_cum_discharges,125,288,,,,,,,,,,,,,,0,,
2014-09-25,cum_contacts,1682,2784,258,194,,1021,1431,2351,487,705,368,87,1310,553,13231,,,
2014-09-25,cum_completed_contacts,1204,2283,140,35,,288,237,500,250,661,210,32,634,138,6612,,,
2014-09-25,contacts_followed,219,501,118,159,,733,1194,1851,237,44,158,57,676,415,6362,,,
2014-09-25,new_contacts,0,20,0,0,,14,55,13,78,24,0,0,180,41,425,,,
2014-09-25,contacts_healthy,219,501,116,159,,709,1194,1809,237,43,158,57,473,378,6053,,,
2014-09-25,contacts_ill,0,0,2,0,,5,0,12,0,1,0,0,1,1,22,,,
2014-09-25,contacts_not_seen,219,0,0,0,,19,0,30,0,0,0,0,203,37,508,,,
2014-09-25,new_completed_contacts,5,47,0,0,,0,0,26,10,121,0,0,15,24,248,,,
2014-09-25,percent_seen,100%,100%,100%,100%,,98%,100%,98%,100%,100%,100%,100%,100%,98%,0.98,,,
