date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National
2014-09-12,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,
2014-09-12,new_noncase,0,7,0,0,0,0,0,5,0,0,0,0,5,4,
2014-09-12,new_suspected,0,1,0,0,0,1,0,0,0,2,0,0,0,1,
2014-09-12,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014-09-12,new_confirmed,0,1,0,0,0,9,1,10,0,1,0,0,8,1,
2014-09-12,cum_noncase,257,472,23,4,24,24,26,38,4,81,24,1,161,46,
2014-09-12,cum_suspected,18,25,39,0,0,1,2,5,1,11,3,0,8,4,
2014-09-12,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,
2014-09-12,cum_confirmed,508,397,15,3,0,82,30,142,10,75,17,1,102,50,
2014-09-12,death_suspected,4,4,1,0,0,0,0,1,0,0,0,0,1,0,
2014-09-12,death_probable,35,0,0,0,0,0,0,1,0,0,0,0,1,0,
2014-09-12,death_confirmed,186,217,2,1,0,6,2,16,1,16,6,1,3,2,
2014-09-12,cfr,36.6,54.7,0,33.3,0,7.3,6.7,11.3,10,21.3,35.3,100,2.9,4,
2014-09-12,etc_new_admission,5,20,,,,,,,,,,,,,
2014-09-12,etc_currently_admitted,64,68,,,,,,,,,,,,,
2014-09-12,etc_cum_admission,462,507,,,,,,,,,,,,,
2014-09-12,etc_new_deaths,8,1,,,,,,,,,,,,,
2014-09-12,etc_cum_deaths,228,187,,,,,,,,,,,,,
2014-09-12,etc_new_discharges,0,4,,,,,,,,,,,,,
2014-09-12,etc_cum_discharges,229,84,,,,,,,,,,,,,
2014-09-12,cum_contacts,1422,2495,191,98,,603,553,1626,333,663,206,84,800,242,9316
2014-09-12,cum_completed_contacts,1105,1830,80,12,,182,182,498,195,498,149,27,436,30,5224
2014-09-12,contacts_followed,166,640,111,85,,421,371,1368,138,165,55,57,364,212,4153
2014-09-12,new_contacts,18,10,34,0,,21,0,75,0,32,0,0,33,59,282
2014-09-12,contacts_healthy,166,624,105,85,,414,371,1185,137,164,55,57,362,212,3937
2014-09-12,contacts_ill,0,3,6,0,,5,0,3,1,1,0,0,2,0,21
2014-09-12,contacts_not_seen,0,13,0,0,,2,0,180,0,0,0,0,0,0,195
2014-09-12,new_completed_contacts,4,9,0,0,,0,12,20,0,0,0,0,0,30,75
2014-09-12,percent_seen,100%,97%,100%,100%,,99%,100%,86%,100%,100%,100%,100%,100%,100%,95%
