date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area,Kenema (KGH),Kenema (IFRC),Hastings-F/Town
2014-10-22,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,,,6348350,,,,
2014-10-22,new_noncase,4,10,0,0,0,0,2,0,0,0,0,0,9,12,37,,,,
2014-10-22,new_suspected,0,4,0,0,0,0,4,0,0,3,0,0,0,0,11,,,,
2014-10-22,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2014-10-22,new_confirmed,0,2,0,1,0,0,8,0,1,1,0,0,5,26,44,,,,
2014-10-22,cum_noncase,303,735,80,17,38,256,76,185,11,153,71,2,714,332,2973,,,,
2014-10-22,cum_suspected,18,75,54,4,4,74,29,23,6,55,25,3,63,37,470,,,,
2014-10-22,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37,,,,
2014-10-22,cum_confirmed,550,477,34,30,5,470,165,480,26,159,86,2,509,396,3389,,,,
2014-10-22,death_suspected,4,4,2,6,0,18,3,49,3,3,6,1,6,4,109,,,,
2014-10-22,death_probable,35,0,19,9,0,14,17,1,2,43,19,1,2,2,164,,,,
2014-10-22,death_confirmed,223,248,18,9,0,134,42,70,12,59,33,1,82,77,1008,,,,
2014-10-22,cfr,40.5,52.0,52.9,30.0,0.0,28.5,25.5,14.6,46.2,37.1,38.4,50.0,16.1,19.4,29.7,,,,
2014-10-22,etc_new_admission,8,,,,,,,,,,,,,,27,,,3,16
2014-10-22,etc_currently_admitted,38,,,,,,,,,28,,,,,203,,0,30,107
2014-10-22,etc_cum_admission,875,,,,,,,,,95,,,,,1925,,504,133,318
2014-10-22,etc_new_deaths,2,,,,,,,,,,,,,,6,,,2,2
2014-10-22,etc_cum_deaths,244,,,,,,,,,29,,,,,670,,254,57,86
2014-10-22,etc_new_discharges,2,,,,,,,,,,,,,,3,,-,1,0
2014-10-22,etc_cum_discharges,207,,,,,,,,,38,,,,,713,,307,37,124
2014-10-22,cum_contacts,2283,2980,560,442,58,2248,2541,4832,964,979,901,125,2907,2693,24513,,,,
2014-10-22,cum_completed_contacts,1768,2647,259,377,0,572,781,636,669,661,524,105,1568,1267,11834,,,,
2014-10-22,contacts_followed,515,333,301,64,55,1676,1760,4196,294,318,377,20,1339,1426,12674,,,,
2014-10-22,new_contacts,20,35,0,0,0,18,7,145,0,29,0,20,91,667,1032,,,,
2014-10-22,contacts_healthy,515,333,294,63,55,1669,1760,4147,294,318,377,20,707,1134,11686,,,,
2014-10-22,contacts_ill,0,0,7,1,0,4,0,15,0,0,0,0,0,2,29,,,,
2014-10-22,contacts_not_seen,0,0,0,0,0,3,0,34,0,0,0,0,632,292,961,,,,
2014-10-22,new_completed_contacts,0,0,0,0,0,43,0,0,0,0,0,15,11,30,99,,,,
2014-10-22,percent_seen,100%,99%,98%,100%,100%,98%,100%,98%,100%,100%,100%,100%,98%,98%,98%,,,,
