date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area combined
2014-10-31,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350,1304507
2014-10-31,new_noncase,0,10,0,0,0,21,3,16,0,0,0,0,23,9,82,
2014-10-31,new_suspected,0,4,0,0,0,5,2,9,0,0,0,0,4,5,29,
2014-10-31,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014-10-31,new_confirmed,3,2,0,1,0,15,2,22,0,0,0,0,33,17,95,
2014-10-31,cum_noncase,307,825,85,22,42,352,95,262,12,200,83,2,858,421,3566,
2014-10-31,cum_suspected,18,92,58,4,9,81,40,57,10,68,30,3,80,46,596,
2014-10-31,cum_probable,32,0,1,0,32,6,4,1,0,1,1,0,1,0,79,
2014-10-31,cum_confirmed,554,493,38,39,15,571,210,557,28,175,96,2,648,510,3936,
2014-10-31,death_suspected,4,4,2,6,0,22,4,74,3,8,9,1,8,12,157,
2014-10-31,death_probable,35,0,19,9,32,19,21,1,2,43,20,1,4,2,208,
2014-10-31,death_confirmed,226,255,18,11,7,142,49,77,16,59,33,1,94,82,1070,
2014-10-31,cfr,40.8,51.7,47.4,28.2,46.7,24.9,23.3,13.8,57.1,33.7,34.4,50.0,14.5,16.1,27.2,
2014-10-31,etc_new_admission,12,,,,,,,,,,,,,,25,
2014-10-31,etc_currently_admitted,44,,,,,,,,,,,,,,171,
2014-10-31,etc_cum_admission,936,,,,,,,,,141,,,,,2115,
2014-10-31,etc_new_deaths,0,,,,,,,,,,,,,,3,
2014-10-31,etc_cum_deaths,247,,,,,,,,,35,,,,,718,
2014-10-31,etc_new_discharges,3,,,,,,,,,,,,,,5,
2014-10-31,etc_cum_discharges,227,,,,,,,,,61,,,,,814,
2014-10-31,cum_contacts,2422,3144,614,565,106,2625,2724,6150,1103,1079,1027,125,4383,3084,29151,
2014-10-31,cum_completed_contacts,1835,2676,308,385,0,1681,1007,860,956,710,798,105,2018,1739,15078,
2014-10-31,contacts_followed,587,325,306,375,106,944,1717,5290,140,339,229,20,2365,1345,14088,
2014-10-31,new_contacts,4,19,0,0,48,0,13,168,0,0,0,0,111,118,481,
2014-10-31,contacts_healthy,587,321,301,369,102,932,1717,5247,140,336,229,20,2254,974,13529,
2014-10-31,contacts_ill,0,4,5,6,2,8,0,18,0,2,0,0,14,6,65,
2014-10-31,contacts_not_seen,0,0,0,0,2,4,0,25,0,0,0,0,111,371,513,
2014-10-31,new_completed_contacts,0,0,0,9,0,0,0,0,17,0,0,0,9,1,36,
2014-10-31,percent_seen,100%,99%,98%,100%,99%,98%,100%,98%,100%,99%,100%,100%,98%,98%,98%,
2014-10-31,total_lab_samples,,,,,,,,,,,,,,,233,
2014-10-31,repeat_samples,,,,,,,,,,,,,,,27,
2014-10-31,new_samples,,,,,,,,,,,,,,,206,
2014-10-31,new_positive,,,,,,,,,,,,,,,95,
2014-10-31,new_negative,,,,,,,,,,,,,,,82,
2014-10-31,pending,,,,,,,,,,,,,,,29,
2014-10-31,positive_corpse,0,1,0,0,0,4,0,0,0,0,0,0,12,3,20,
2014-10-31,negative_corpse,0,8,0,0,0,10,2,3,0,0,0,0,13,5,41,
