date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area combined
2014-11-02,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350,1304507
2014-11-02,new_noncase,3,7,2,0,0,1,0,5,0,0,0,0,19,16,53,
2014-11-02,new_suspected,0,1,3,0,0,0,0,0,0,0,0,0,6,2,12,
2014-11-02,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014-11-02,new_confirmed,1,0,0,0,0,7,0,2,0,0,0,0,35,16,61,
2014-11-02,cum_noncase,311,840,87,26,48,363,100,273,12,218,87,2,896,457,3720,
2014-11-02,cum_suspected,18,94,61,4,9,82,41,58,10,71,31,3,90,51,623,
2014-11-02,cum_probable,32,0,1,0,32,6,4,1,0,1,1,0,1,0,79,
2014-11-02,cum_confirmed,555,493,38,46,23,588,217,561,28,177,96,2,697,536,4057,
2014-11-02,death_suspected,4,4,2,6,0,22,4,74,3,8,9,1,8,12,157,
2014-11-02,death_probable,35,0,19,9,32,19,21,1,2,43,20,1,4,2,208,
2014-11-02,death_confirmed,226,255,18,11,7,144,52,80,16,59,33,1,97,86,1085,
2014-11-02,cfr,41,52,47,24,30,25,24,14,57,33,34,50,13.9,16,27,
2014-11-02,etc_new_admission,0,,,,,,,,,14,,,,,27,
2014-11-02,etc_currently_admitted,50,,,,,,,,,38,,,,,207,
2014-11-02,etc_cum_admission,950,,,,,,,,,164,,,,,2170,
2014-11-02,etc_new_deaths,1,,,,,,,,,1,,,,,4,
2014-11-02,etc_cum_deaths,248,,,,,,,,,35,,,,,724,
2014-11-02,etc_new_discharges,2,,,,,,,,,1,,,,,3,
2014-11-02,etc_cum_discharges,233,,,,,,,,,61,,,,,820,
2014-11-02,cum_contacts,2474,3164,614,565,108,2625,2711,6455,1103,1079,1126,125,4417,3165,29731,
2014-11-02,cum_completed_contacts,2166,2702,321,189,8,1681,1007,860,939,710,845,105,2181,1741,15455,
2014-11-02,contacts_followed,308,348,306,375,100,944,1704,5595,157,339,281,20,2236,1424,14137,
2014-11-02,new_contacts,0,0,0,0,2,0,22,171,126,0,0,0,17,29,367,
2014-11-02,contacts_healthy,308,348,288,369,100,929,1704,5555,157,338,281,20,1463,594,12454,
2014-11-02,contacts_ill,0,0,6,0,0,11,0,8,0,1,0,0,3,11,40,
2014-11-02,contacts_not_seen,0,0,0,0,0,4,0,32,0,0,0,0,773,830,1639,
2014-11-02,new_completed_contacts,14,15,13,0,8,0,0,0,0,0,0,0,42,1,93,
2014-11-02,percent_seen,100,99,98,100,99,98,100,98,100,100,100,100,98,98,98,
2014-11-02,total_lab_samples,,,,,,,,,,,,,,,159,
2014-11-02,repeat_samples,,,,,,,,,,,,,,,33,
2014-11-02,new_samples,,,,,,,,,,,,,,,126,
2014-11-02,new_positive,,,,,,,,,,,,,,,61,
2014-11-02,new_negative,,,,,,,,,,,,,,,53,
2014-11-02,pending,,,,,,,,,,,,,,,12.00,
2014-11-02,positive_corpse,0,0,0,0,0,2,0,0,0,0,0,0,13,1,16,
2014-11-02,negative_corpse,0,7,1,0,0,1,0,0,0,0,0,0,9,3,21,
