date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area combined
2014-10-30,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350,1304507
2014-10-30,new_noncase,0,11,0,0,0,9,7,0,1,10,2,0,10,6,56,
2014-10-30,new_suspected,0,3,0,0,0,1,0,0,0,1,0,0,1,3,9,
2014-10-30,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014-10-30,new_confirmed,0,3,0,0,0,8,9,2,0,3,0,0,13,12,50,
2014-10-30,cum_noncase,307,815,85,22,42,331,92,246,12,200,83,2,835,412,3484,
2014-10-30,cum_suspected,18,88,58,4,9,76,38,48,10,68,30,3,76,41,567,
2014-10-30,cum_probable,32,0,1,0,32,6,4,1,0,1,1,0,1,0,79,
2014-10-30,cum_confirmed,551,491,38,38,15,556,208,535,28,175,96,2,615,493,3841,
2014-10-30,death_suspected,4,4,2,6,0,22,4,74,3,8,9,1,8,12,157,
2014-10-30,death_probable,35,0,19,9,32,19,21,1,2,43,20,1,4,2,208,
2014-10-30,death_confirmed,226,255,18,9,7,142,47,77,16,59,33,1,92,82,1064,
2014-10-30,cfr,41.0,51.9,47.4,23.7,46.7,25.5,22.6,14.4,57.1,33.7,34.4,50.0,15.0,16.6,27.7,
2014-10-30,etc_new_admission,11,,,,,,,,,5,,,,,26,
2014-10-30,etc_currently_admitted,44,,,,,,,,,25,,,,,188,
2014-10-30,etc_cum_admission,924,,,,,,,,,141,,,,,2073,
2014-10-30,etc_new_deaths,1,,,,,,,,,2,,,,,8,
2014-10-30,etc_cum_deaths,247,,,,,,,,,35,,,,,717,
2014-10-30,etc_new_discharges,2,,,,,,,,,4,,,,,8,
2014-10-30,etc_cum_discharges,224,,,,,,,,,61,,,,,811,
2014-10-30,cum_contacts,2418,3144,614,565,58,2625,2711,5982,1103,1079,1027,125,3577,2966,27994,
2014-10-30,cum_completed_contacts,1835,2676,308,385,0,1681,1007,860,939,710,798,105,2009,1738,15051,
2014-10-30,contacts_followed,583,325,306,180,55,944,1704,5122,157,339,229,20,1568,1228,12760,
2014-10-30,new_contacts,80,19,0,40,0,0,22,149,126,41,0,0,44,85,606,
2014-10-30,contacts_healthy,583,319,301,180,55,932,1704,5067,157,339,229,20,1511,490,11887,
2014-10-30,contacts_ill,0,6,0,0,0,8,0,17,0,0,0,0,3,9,43,
2014-10-30,contacts_not_seen,0,0,5,0,2,4,0,38,0,0,0,0,57,738,844,
2014-10-30,new_completed_contacts,0,0,0,0,0,0,0,25,0,0,0,0,306,334,665,
2014-10-30,percent_seen,100%,99%,98%,100%,99%,98%,100%,98%,100%,100%,100%,100%,98%,98%,98%,
2014-10-30,total_lab_samples,,,,,,,,,,,,,,,162,
2014-10-30,repeat_samples,,,,,,,,,,,,,,,47,
2014-10-30,new_samples,,,,,,,,,,,,,,,115,
2014-10-30,new_positive,,,,,,,,,,,,,,,50,
2014-10-30,new_negative,,,,,,,,,,,,,,,56,
2014-10-30,pending,,,,,,,,,,,,,,,9,
2014-10-30,positive_corpse,0,0,0,0,0,0,2,0,0,2,0,0,2,4,10,
2014-10-30,negative_corpse,0,8,0,0,0,4,2,0,1,7,1,0,2,5,30,
