date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area combined,
2014-11-23,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350,1304507,
2014-11-23,new_noncase,0,13,5,6,0,0,22,38,0,1,7,0,19,8,119,,
2014-11-23,new_suspected,0,1,5,6,0,0,3,6,0,3,0,0,1,0,25,,
2014-11-23,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2014-11-23,new_confirmed,0,0,1,2,0,0,3,13,0,0,1,0,11,8,39,,
2014-11-23,cum_noncase,321,1034,124,56,64,601,221,615,18,423,193,20,1538,788,6016,,
2014-11-23,cum_suspected,18,101,78,18,19,103,71,171,10,102,48,6,223,111,1079,,
2014-11-23,cum_probable,32,0,1,0,32,6,4,1,0,1,1,0,1,0,79,,
2014-11-23,cum_confirmed,561,494,73,62,78,763,333,792,30,236,157,3,1093,766,5441,,
2014-11-23,death_suspected,4,5,2,6,0,22,4,74,3,8,9,1,8,12,158,,
2014-11-23,death_probable,35,0,19,9,32,19,21,1,2,43,20,1,4,2,208,,
2014-11-23,death_confirmed,228,261,29,18,23,185,73,134,16,69,39,2,162,125,1364,,
2014-11-23,cfr,40.6,52.8,39.7,29.0,29.5,24.2,21.9,16.9,53.3,29.2,24.8,66.7,14.8,16.3,25.1,,
2014-11-23,etc_new_admission,,,,,,,,,,,,,,,,,
2014-11-23,etc_currently_admitted,,,,,,,,,,,,,,,,,
2014-11-23,etc_cum_admission,,,,,,,,,,,,,,,,,
2014-11-23,etc_new_deaths,,,,,,,,,,,,,,,,,
2014-11-23,etc_cum_deaths,,,,,,,,,,,,,,,,,
2014-11-23,etc_new_discharges,,,,,,,,,,,,,,,,,
2014-11-23,etc_cum_discharges,,,,,,,,,,,,,,,,,
2014-11-23,cum_contacts,3107,3218,817,759,255,3440,3079,7879,1103,1466,1608,165,8538,5735,41169,,
2014-11-23,cum_completed_contacts,2502,3025,390,670,8,1681,1863,1511,991,995,1168,125,4993,3623,23545,,
2014-11-23,contacts_followed,605,58,427,89,247,1759,1216,6368,105,471,440,40,2404,1834,16063,,
2014-11-23,new_contacts,5,0,0,15,0,0,7,95,0,141,4,40,208,64,579,,
2014-11-23,contacts_healthy,605,58,422,87,247,1750,1216,6264,105,470,440,40,2194,1770,15668,,
2014-11-23,contacts_ill,0,0,0,2,0,0,0,21,0,1,0,0,2,0,26,,
2014-11-23,contacts_not_seen,0,0,5,0,0,9,0,83,0,0,0,0,0,0,97,,
2014-11-23,new_completed_contacts,0,0,0,20,0,0,102,0,0,0,0,0,126,13,261,,
2014-11-23,percent_seen,100,100,98,100,100,100,100,98,100,100,100,100,98,98,97,,
2014-11-23,total_lab_samples,,,,,,,,,,,,,,,211,,
2014-11-23,repeat_samples,,,,,,,,,,,,,,,28,,
2014-11-23,new_samples,,,,,,,,,,,,,,,183,,
2014-11-23,new_positive,,,,,,,,,,,,,,,39,,
2014-11-23,new_negative,,,,,,,,,,,,,,,119,,
2014-11-23,pending,,,,,,,,,,,,,,,25,,
2014-11-23,positive_corpse,0,0,1,0,0,0,2,0,0,0,0,0,2,0,5,,
2014-11-23,negative_corpse,0,13,2,4,0,0,21,8,0,0,4,0,11,2,65,,
