date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Kenema (IFRC)
2014-09-16,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350,
2014-09-16,new_noncase,8,3,0,0,0,0,1,0,0,1,0,0,5,0,18,
2014-09-16,new_suspected,0,2,0,0,0,0,0,0,0,1,0,1,0,1,5,
2014-09-16,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014-09-16,new_confirmed,22,1,0,0,0,0,3,0,0,1,0,0,2,0,29,
2014-09-16,cum_noncase,288,495,26,5,24,30,30,46,4,85,37,1,189,62,1322,
2014-09-16,cum_suspected,18,28,39,0,0,5,2,4,1,12,2,1,8,7,127,
2014-09-16,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37,
2014-09-16,cum_confirmed,551,410,15,3,0,113,35,155,10,77,17,1,129,55,1571,
2014-09-16,death_suspected,4,4,1,0,0,0,0,1,0,0,0,0,1,0,11,
2014-09-16,death_probable,35,0,0,0,0,0,0,1,0,0,0,0,1,0,37,
2014-09-16,death_confirmed,195,229,2,1,0,6,2,16,1,16,6,1,6,2,483,
2014-09-16,cfr,35.4,55.9,0,33.3,0,5.3,5.7,10.3,10,20.8,35.3,100,4.7,3.6,30.7,
2014-09-16,etc_new_admission,3,0,,,,,,,,,,,,,6,
2014-09-16,etc_currently_admitted,38,3,,,,,,,,,,,,,60,
2014-09-16,etc_cum_admission,469,5,,,,,,,,,,,,,546,
2014-09-16,etc_new_deaths,4,0,,,,,,,,,,,,,4,
2014-09-16,etc_cum_deaths,240,2,,,,,,,,,,,,,196,
2014-09-16,etc_new_discharges,0,0,,,,,,,,,,,,,0,
2014-09-16,etc_cum_discharges,249,0,,,,,,,,,,,,,100,
2014-09-16,cum_contacts,1474,2618,192,98,,711,553,1745,333,681,206,84,898,317,9910,
2014-09-16,cum_completed_contacts,1120,1976,80,12,,235,182,258,195,514,149,27,443,104,5295,
2014-09-16,contacts_followed,156,610,112,85,,476,371,1487,138,167,55,57,455,213,4382,
2014-09-16,new_contacts,32,41,0,0,,31,0,36,0,0,0,0,60,10,210,
2014-09-16,contacts_healthy,156,600,110,85,,461,371,1345,138,167,55,57,394,213,4152,
2014-09-16,contacts_ill,0,4,2,0,,10,0,13,0,0,0,0,19,0,48,
2014-09-16,contacts_not_seen,0,10,0,0,,4,0,129,0,0,0,0,42,0,185,
2014-09-16,new_completed_contacts,0,36,0,0,,16,12,0,0,0,0,0,7,63,134,
2014-09-16,percent_seen,100.00%,99.00%,100.00%,100.00%,,99.00%,100.00%,91.00%,100.00%,100.00%,100.00%,100.00%,91.00%,100.00%,96.00%,
