date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Kenema (IFRC),34 Military Hospital,Police training School
2014-09-20,population,"465,048","653,013","325,003","341,690","335,471","494,139","434,937","557,978","335,574","654,142","278,119","168,729","1,040,888","263,619","6,348,350",,,
2014-09-20,new_noncase,0,3,1,0,0,8,0,1,0,0,0,0,17,11,41,,,
2014-09-20,new_suspected,0,4,1,0,0,3,0,0,0,0,1,0,0,0,9,,,
2014-09-20,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014-09-20,new_confirmed,0,1,2,0,0,26,0,1,0,0,8,0,5,13,56,,,
2014-09-20,cum_noncase,280,511,30,5,24,48,33,55,4,86,37,1,228,79,"1,421",,,
2014-09-20,cum_suspected,18,29,39,0,0,9,2,4,1,17,5,1,11,7,143,,,
2014-09-20,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37,,,
2014-09-20,cum_confirmed,529,414,18,4,0,148,44,177,10,77,41,1,156,77,"1,696",,,
2014-09-20,death_suspected,4,4,1,0,0,0,0,1,0,0,0,0,1,0,11,,,
2014-09-20,death_probable,35,0,0,0,0,0,0,1,0,0,0,0,1,0,37,,,
2014-09-20,death_confirmed,210,229,2,1,0,6,2,16,1,16,7,1,7,3,501,,,
2014-09-20,cfr,39.7,55.3,0,25,0,4.1,4.5,9,10,20.8,17.1,100,4.5,3.9,29.5,,,
2014-09-20,etc_new_admission,10,4,,,,,,,,,,,,,,9,8,0
2014-09-20,etc_currently_admitted,39,49,,,,,,,,,,,,,,14,8,26
2014-09-20,etc_cum_admission,622,498,,,,,,,,,,,,,,16,67,26
2014-09-20,etc_new_deaths,3,1,,,,,,,,,,,,,,0,3,0
2014-09-20,etc_cum_deaths,211,241,,,,,,,,,,,,,,2,23,0
2014-09-20,etc_new_discharges,4,3,,,,,,,,,,,,,,0,0,0
2014-09-20,etc_cum_discharges,11,263,,,,,,,,,,,,,,0,26,0
2014-09-20,cum_contacts,1458,2638,218,118,,917,1371,1790,333,681,232,89,954,382,11181,,,
2014-09-20,cum_completed_contacts,1120,2109,140,12,,281,197,258,225,540,178,32,484,114,5690,,,
2014-09-20,contacts_followed,166,524,78,106,,636,1174,1532,108,141,54,57,470,268,5314,,,
2014-09-20,new_contacts,0,12,0,0,,74,608,0,0,0,0,0,41,0,735,,,
2014-09-20,contacts_healthy,166,509,76,99,,627,1174,1532,108,141,54,57,450,234,5227,,,
2014-09-20,contacts_ill,0,0,2,7,,9,0,0,1,0,0,0,4,0,23,,,
2014-09-20,contacts_not_seen,0,15,0,0,,0,0,0,0,0,0,0,26,34,75,,,
2014-09-20,new_completed_contacts,4,36,60,0,,18,0,0,0,11,0,0,10,0,139,,,
2014-09-20,percent_seen,100%,97%,100%,100%,,98%,100%,98%,100%,100%,100%,100%,100%,100%,99%,,,
