date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area combined
2014-11-20,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350,1304507
2014-11-20,new_noncase,0,18,8,4,6,40,2,28,0,17,7,0,56,27,213,
2014-11-20,new_suspected,0,1,5,0,0,4,0,13,0,2,1,0,10,0,36,
2014-11-20,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014-11-20,new_confirmed,0,0,10,1,2,18,2,25,0,2,3,0,25,6,94,
2014-11-20,cum_noncase,321,1004,119,50,63,562,195,560,18,402,176,7,1473,748,5698,
2014-11-20,cum_suspected,18,100,73,11,18,101,68,155,10,96,47,4,211,96,1008,
2014-11-20,cum_probable,32,0,1,0,32,6,4,1,0,1,1,0,1,0,79,
2014-11-20,cum_confirmed,559,494,72,59,78,745,320,771,30,229,154,3,1047,743,5304,
2014-11-20,death_suspected,4,5,2,6,0,22,4,74,3,8,9,1,8,12,158,
2014-11-20,death_probable,35,0,19,9,32,19,21,1,2,43,20,1,4,2,208,
2014-11-20,death_confirmed,228,261,27,18,22,175,70,118,16,68,38,2,133,106,1282,
2014-11-20,cfr,40.8,52.8,37.5,30.5,28.2,23.5,21.9,15.3,53.3,29.7,24.7,66.7,12.7,14.3,24.2,
2014-11-20,etc_new_admission,,,,,,,,,,,,,,,,
2014-11-20,etc_currently_admitted,,,,,,,,,,,,,,,,
2014-11-20,etc_cum_admission,,,,,,,,,,,,,,,,
2014-11-20,etc_new_deaths,,,,,,,,,,,,,,,,
2014-11-20,etc_cum_deaths,,,,,,,,,,,,,,,,
2014-11-20,etc_new_discharges,,,,,,,,,,,,,,,,
2014-11-20,etc_cum_discharges,,,,,,,,,,,,,,,,
2014-11-20,cum_contacts,2974,3170,937,743,255,5774,3065,7743,1222,1279,1481,168,7916,5357,42084,
2014-11-20,cum_completed_contacts,2450,3025,412,629,8,4431,1547,1468,1103,961,1068,125,4693,3535,25455,
2014-11-20,contacts_followed,524,17,525,114,247,1343,1518,6275,119,275,313,43,2320,1672,15305,
2014-11-20,new_contacts,26,0,0,6,0,46,0,15,24,0,58,0,243,175,593,
2014-11-20,contacts_healthy,524,17,506,114,247,1301,1518,6235,119,275,313,43,2075,1495,14782,
2014-11-20,contacts_ill,0,0,19,0,0,2,0,4,0,0,0,0,2,2,29,
2014-11-20,contacts_not_seen,0,0,0,0,0,40,0,36,0,0,0,0,0,0,76,
2014-11-20,new_completed_contacts,0,0,0,0,0,145,110,0,0,0,0,0,112,35,402,
2014-11-20,percent_seen,100,100,100,100,100,97,100,99,100,100,100,100,90,90,97,
2014-11-20,total_lab_samples,,,,,,,,,,,,,,,388,
2014-11-20,repeat_samples,,,,,,,,,,,,,,,45,
2014-11-20,new_samples,,,,,,,,,,,,,,,343,
2014-11-20,new_positive,,,,,,,,,,,,,,,94,
2014-11-20,new_negative,,,,,,,,,,,,,,,213,
2014-11-20,pending,,,,,,,,,,,,,,,36,
2014-11-20,positive_corpse,0,0,4,1,0,6,0,9,0,2,0,0,10,0,32,
2014-11-20,negative_corpse,0,18,5,4,4,23,1,15,0,15,4,0,30,11,130,
