date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area
2014-10-14,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,,,6348350,1304507
2014-10-14,new_noncase,0,0,1,2,4,9,2,10,0,1,0,0,,,51,22
2014-10-14,new_suspected,0,10,0,0,0,3,0,2,2,7,0,0,,,31,7
2014-10-14,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2014-10-14,new_confirmed,0,7,0,0,2,14,9,20,0,5,0,0,,,83,26
2014-10-14,cum_noncase,284,688,68,12,35,215,62,159,6,128,57,1,,,2558,843
2014-10-14,cum_suspected,18,58,52,3,0,60,24,22,5,41,22,2,,,396,89
2014-10-14,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,,,37,1
2014-10-14,cum_confirmed,536,461,31,25,2,402,138,425,24,132,77,1,,,2977,723
2014-10-14,death_suspected,4,4,2,6,0,18,3,49,3,3,5,1,,,107,8
2014-10-14,death_probable,35,0,19,9,0,11,17,1,2,43,19,1,,,161,4
2014-10-14,death_confirmed,219,239,18,9,0,123,34,57,12,53,29,1,,,932,138
2014-10-14,cfr,41,52,58,36,0,31,25,13,50,40,38,100,,,31,40
2014-10-14,etc_new_admission,,,,,,,,,,,,,,,,
2014-10-14,etc_currently_admitted,,,,,,,,,,,,,,,,
2014-10-14,etc_cum_admission,,,,,,,,,,,,,,,,
2014-10-14,etc_new_deaths,,,,,,,,,,,,,,,,
2014-10-14,etc_cum_deaths,,,,,,,,,,,,,,,,
2014-10-14,etc_new_discharges,,,,,,,,,,,,,,,,
2014-10-14,etc_cum_discharges,,,,,,,,,,,,,,,,
2014-10-14,cum_contacts,2037,2945,524,412,,2077,2022,3826,949,967,765,105,1975,1563,20167,
2014-10-14,cum_completed_contacts,1653,2641,191,138,,471,680,568,469,661,464,90,1018,825,9869,
2014-10-14,contacts_followed,384,304,333,274,,1606,1342,3258,380,306,301,15,957,738,10198,
2014-10-14,new_contacts,7,43,1,0,,12,82,250,270,80,114,0,42,275,1176,
2014-10-14,contacts_healthy,382,298,325,274,,1599,1342,3244,380,298,301,15,874,441,9773,
2014-10-14,contacts_ill,2,6,8,0,,6,0,4,0,0,0,0,0,1,27,
2014-10-14,contacts_not_seen,0,0,0,0,,1,0,10,0,8,0,0,83,297,399,
2014-10-14,new_completed_contacts,75,9,0,52,,14,89,40,135,0,0,0,52,128,594,
2014-10-14,percent_seen,100%,99%,98%,100%,,98%,100%,98%,100%,100%,100%,100%,100%,99%,98%,
