date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area,Kenema (KGH),Kenema (IFRC),Hastings-F/Town
2014-10-19,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,,,6348350,1304507,,,
2014-10-19,new_noncase,5,9,0,0,1,0,2,0,0,5,3,0,49,23,97,40,,,
2014-10-19,new_suspected,0,1,0,0,2,0,0,0,0,1,3,0,4,2,13,0,,,
2014-10-19,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014-10-19,new_confirmed,0,0,0,0,0,0,4,9,0,5,2,0,30,19,69,33,,,
2014-10-19,cum_noncase,292,712,80,14,36,237,70,166,9,146,69,2,691,314,2838,933,,,
2014-10-19,cum_suspected,18,66,54,4,2,73,24,22,5,50,25,3,63,37,446,94,,,
2014-10-19,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37,1,,,
2014-10-19,cum_confirmed,545,470,34,26,2,441,150,444,25,148,85,2,492,359,3223,802,,,
2014-10-19,death_suspected,4,4,2,6,0,18,3,49,3,3,6,1,6,4,109,10,,,
2014-10-19,death_probable,35,0,19,9,0,14,17,1,2,43,19,1,2,2,164,4,,,
2014-10-19,death_confirmed,220,246,18,9,0,129,40,69,12,58,32,1,77,75,986,150,,,
2014-10-19,cfr,40,52,53,35,0,29,27,16,48,39,37,50,16,21,31,38,,,
2014-10-19,etc_new_admission,14,,,,,,,,,5,,,,,20,,0,0,1
2014-10-19,etc_currently_admitted,42,,,,,,,,,24,,,,,213,,0,28,119
2014-10-19,etc_cum_admission,864,,,,,,,,,87,,,,,1862,,504,120,287
2014-10-19,etc_new_deaths,1,,,,,,,,,0,,,,,1,,0,0,0
2014-10-19,etc_cum_deaths,241,,,,,,,,,25,,,,,647,,254,49,78
2014-10-19,etc_new_discharges,10,,,,,,,,,3,,,,,13,,0,0,0
2014-10-19,etc_cum_discharges,199,,,,,,,,,38,,,,,652,,307,29,79
2014-10-19,cum_contacts,2173,2999,560,442,,2199,2439,4505,949,921,861,105,2680,1878,22711,,,,
2014-10-19,cum_completed_contacts,1688,2662,235,152,,509,712,614,569,661,500,90,1561,935,10888,,,,
2014-10-19,contacts_followed,485,284,325,290,,1690,1727,3891,280,238,361,15,1128,943,11657,,,,
2014-10-19,new_contacts,0,0,0,30,,21,9,102,0,0,0,0,338,32,532,,,,
2014-10-19,contacts_healthy,485,236,313,290,,1680,1727,3867,279,234,361,15,745,940,11172,,,,
2014-10-19,contacts_ill,0,0,10,0,,6,0,12,1,0,0,0,0,0,29,,,,
2014-10-19,contacts_not_seen,0,40,0,0,,4,0,12,0,4,0,0,383,3,446,,,,
2014-10-19,new_completed_contacts,0,0,0,0,,0,0,0,100,0,0,0,82,106,288,,,,
2014-10-19,percent_seen,100%,99%,98%,100%,,98%,100%,98%,100%,100%,100%,100%,98%,98%,98%,,,,
