date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National
2014-12-04,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350
2014-12-04,new_noncase,1,11,0,5,0,1,4,29,0,3,8,0,34,20,116
2014-12-04,new_suspected,0,0,0,0,0,0,0,1,0,0,0,0,1,2,4
2014-12-04,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-04,new_confirmed,0,0,0,1,0,0,1,20,0,1,1,0,8,5,37
2014-12-04,cum_noncase,335,1128,136,87,94,773,300,875,25,580,267,50,"2,003",994,7647
2014-12-04,cum_suspected,18,116,111,24,24,114,79,239,15,108,61,9,293,148,1359
2014-12-04,cum_probable,32,0,1,0,32,6,4,1,0,1,1,0,1,0,79
2014-12-04,cum_confirmed,562,494,99,82,86,866,381,944,31,267,166,4,1379,877,6238
2014-12-04,death_suspected,4,5,2,6,0,22,4,74,3,8,9,1,8,12,158
2014-12-04,death_probable,35,0,19,9,32,19,21,1,2,43,20,1,4,2,208
2014-12-04,death_confirmed,228,261,39,26,27,209,86,201,16,81,42,3,250,179,1648
2014-12-04,cfr,41,53,39,32,31,24,23,21,52,30,25,75,18.1,20,26
2014-12-04,etc_new_admission,,,,,,,,,,,,,,,18
2014-12-04,etc_currently_admitted,,,,,,,,,,,,,,,143
2014-12-04,etc_cum_admission,,,,,,,,,,,,,,,2687
2014-12-04,etc_new_deaths,,,,,,,,,,,,,,,3
2014-12-04,etc_cum_deaths,,,,,,,,,,,,,,,864
2014-12-04,etc_new_discharges,,,,,,,,,,,,,,,2
2014-12-04,etc_cum_discharges,,,,,,,,,,,,,,,1176
2014-12-04,cum_contacts,3373,3318,1141,809,255,6688,3107,8151,1222,1803,1678,273,12379,7097,51294
2014-12-04,cum_completed_contacts,2887,3041,589,698,8,4855,2204,1772,1103,1101,1559,165,6065,4868,30915
2014-12-04,contacts_followed,486,42,546,111,247,1833,903,6379,119,630,119,108,5095,1962,18580
2014-12-04,new_contacts,14,0,0,0,0,211,0,0,0,0,17,180,0,79,501
2014-12-04,contacts_healthy,486,42,528,110,247,1833,903,6306,119,630,119,180,4896,1870,18269
2014-12-04,contacts_ill,0,0,18,1,0,0,0,7,0,0,0,0,7,3,36
2014-12-04,contacts_not_seen,0,0,0,0,0,0,0,66,0,0,0,0,192,89,347
2014-12-04,new_completed_contacts,7,3,0,0,0,55,0,156,0,0,10,40,79,292,642
2014-12-04,percent_seen,100%,100%,97%,100%,100%,100%,100%,99%,100%,100%,100%,100%,96%,95%,98%
2014-12-04,total_lab_samples,,,,,,,,,,,,,,,222
2014-12-04,repeat_samples,,,,,,,,,,,,,,,65
2014-12-04,new_samples,,,,,,,,,,,,,,,157
2014-12-04,new_positive,,,,,,,,,,,,,,,37
2014-12-04,new_negative,,,,,,,,,,,,,,,116
2014-12-04,pending,,,,,,,,,,,,,,,4.00
2014-12-04,positive_corpse,0,0,0,0,0,0,0,7,0,0,0,0,3,1,
2014-12-04,negative_corpse,0,11,0,4,0,1,2,8,0,0,5,0,20,,
