date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Kenema (IFRC)
2014-09-18,population,"465,048","653,013","325,003","341,690","335,471","494,139","434,937","557,978","335,574","654,142","278,119","168,729","1,040,888","263,619","6,348,350",
2014-09-18,new_noncase,0,3,1,0,0,1,1,2,0,0,0,0,3,2,13,
2014-09-18,new_suspected,0,1,1,0,0,0,0,0,0,5,0,0,1,0,8,
2014-09-18,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014-09-18,new_confirmed,0,0,1,0,0,0,5,15,0,0,0,0,7,5,33,
2014-09-18,cum_noncase,280,503,28,5,24,40,33,53,4,86,37,1,202,65,"1,361",
2014-09-18,cum_suspected,18,26,39,0,0,6,2,4,1,17,4,1,11,7,136,
2014-09-18,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37,
2014-09-18,cum_confirmed,529,412,16,4,0,122,44,175,10,77,24,1,143,61,"1,618",
2014-09-18,death_suspected,4,4,1,0,0,0,0,1,0,0,0,0,1,0,11,
2014-09-18,death_probable,35,0,0,0,0,0,0,1,0,0,0,0,1,0,37,
2014-09-18,death_confirmed,205,229,2,1,0,6,2,16,1,16,6,1,7,3,495,
2014-09-18,cfr,38.8,55.6,0,25,0,4.9,4.5,9.1,10,20.8,25,100,4.9,4.9,30.6,
2014-09-18,etc_new_admission,8,13,,,,,,,,,,,,,,2
2014-09-18,etc_currently_admitted,42,57,,,,,,,,,,,,,,5
2014-09-18,etc_cum_admission,484,569,,,,,,,,,,,,,,7
2014-09-18,etc_new_deaths,0,6,,,,,,,,,,,,,,0
2014-09-18,etc_cum_deaths,240,206,,,,,,,,,,,,,,2
2014-09-18,etc_new_discharges,0,3,,,,,,,,,,,,,,0
2014-09-18,etc_cum_discharges,260,107,,,,,,,,,,,,,,0
2014-09-18,cum_contacts,1458,2618,217,108,,798,593,1790,333,681,232,89,913,366,10196,
2014-09-18,cum_completed_contacts,1120,2020,80,12,,263,197,258,225,529,178,32,466,104,5484,
2014-09-18,contacts_followed,166,615,137,96,,535,451,1532,108,152,54,57,447,262,4612,
2014-09-18,new_contacts,16,0,24,23,,33,0,1,0,0,14,0,4,0,115,
2014-09-18,contacts_healthy,165,615,133,96,,514,451,1415,108,151,54,57,442,246,4447,
2014-09-18,contacts_ill,1,0,4,0,,15,0,1,1,0,0,0,0,0,22,
2014-09-18,contacts_not_seen,0,17,0,0,,5,0,116,0,1,0,0,5,15,159,
2014-09-18,new_completed_contacts,4,44,0,0,,16,15,0,0,0,0,0,0,0,79,
2014-09-18,percent_seen,100.00%,97.00%,100.00%,100.00%,,98.00%,100.00%,98.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,98.00%,
