date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area combined
2014-11-01,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350,1304507
2014-11-01,new_noncase,1,8,0,4,6,10,5,6,0,18,4,0,19,20,101,
2014-11-01,new_suspected,0,1,0,0,0,1,1,1,0,3,1,0,4,3,15,
2014-11-01,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014-11-01,new_confirmed,0,0,0,7,8,10,7,2,0,2,0,0,14,10,60,
2014-11-01,cum_noncase,308,833,85,26,48,362,100,268,12,218,87,2,877,441,3667,
2014-11-01,cum_suspected,18,93,58,4,9,82,41,58,10,71,31,3,84,49,611,
2014-11-01,cum_probable,32,0,1,0,32,6,4,1,0,1,1,0,1,0,79,
2014-11-01,cum_confirmed,554,493,38,46,23,581,217,559,28,177,96,2,662,520,3996,
2014-11-01,death_suspected,4,4,2,6,0,22,4,74,3,8,9,1,8,12,157,
2014-11-01,death_probable,35,0,19,9,32,19,21,1,2,43,20,1,4,2,208,
2014-11-01,death_confirmed,226,255,18,11,7,143,51,78,16,59,33,1,95,84,1077,
2014-11-01,cfr,40.8,51.7,47.4,23.9,30.4,24.6,23.5,14.0,57.1,33.3,34.4,50.0,14.4,16.2,27.0,
2014-11-01,etc_new_admission,14,,,,,,,,,,,,,,14,
2014-11-01,etc_currently_admitted,46,,,,,,,,,,,,,,46,
2014-11-01,etc_cum_admission,950,,,,,,,,,141,,,,,2129,
2014-11-01,etc_new_deaths,1,,,,,,,,,,,,,,1,
2014-11-01,etc_cum_deaths,248,,,,,,,,,35,,,,,719,
2014-11-01,etc_new_discharges,4,,,,,,,,,,,,,,4,
2014-11-01,etc_cum_discharges,231,,,,,,,,,61,,,,,818,
2014-11-01,cum_contacts,2422,3144,614,565,106,2625,2724,6150,1103,1079,1027,125,4400,3136,29220,
2014-11-01,cum_completed_contacts,1835,2676,308,385,0,1681,1007,860,956,710,798,105,2139,1740,15200,
2014-11-01,contacts_followed,587,325,301,369,104,944,1717,5247,140,339,229,20,2261,1396,13979,
2014-11-01,new_contacts,0,19,0,0,48,0,13,168,0,0,0,0,17,52,317,
2014-11-01,contacts_healthy,587,320,301,369,104,925,1717,5247,140,330,229,20,1495,616,12400,
2014-11-01,contacts_ill,0,0,0,0,0,8,0,0,0,1,0,0,2,9,20,
2014-11-01,contacts_not_seen,0,5,0,0,0,11,0,0,0,8,0,0,766,780,1570,
2014-11-01,new_completed_contacts,0,0,0,0,0,0,0,0,0,0,0,0,121,1,122,
2014-11-01,percent_seen,100%,99%,100%,100%,100%,98%,100%,98%,100%,99%,100%,100%,98%,98%,98%,
2014-11-01,total_lab_samples,,,,,,,,,,,,,,,230,
2014-11-01,repeat_samples,,,,,,,,,,,,,,,54,
2014-11-01,new_samples,,,,,,,,,,,,,,,176,
2014-11-01,new_positive,,,,,,,,,,,,,,,60,
2014-11-01,new_negative,,,,,,,,,,,,,,,101,
2014-11-01,pending,,,,,,,,,,,,,,,15,
2014-11-01,positive_corpse,0,0,0,0,4,2,1,2,0,1,0,0,8,4,22,
2014-11-01,negative_corpse,0,7,0,1,2,4,2,0,0,16,3,0,11,10,56,
