Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
9/6/2014,Specimens collected,39,0,0,0,0,0,0,13,26,0,0,0,0,0
9/6/2014,Specimens pending for testing,41,7,0,0,0,0,0,13,20,0,0,1,0,0
9/6/2014,Total specimens tested,20,0,0,0,0,0,0,14,6,0,0,0,0,0
9/6/2014,Newly reported deaths,44,0,2,0,0,1,0,7,15,19,0,0,0,0
9/6/2014,Total death/s in confirmed cases,502,27,11,0,13,4,0,159,29,229,30,0,0,0
9/6/2014,Total death/s in probable cases,418,14,13,0,3,3,0,154,56,134,40,0,1,0
9/6/2014,Total death/s in suspected cases,293,0,22,0,3,5,2,35,50,159,12,5,0,0
9/6/2014,"Total death/s in confirmed, probable, suspected cases",1213,41,46,0,19,12,2,348,135,522,82,5,1,0
9/6/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,,
9/6/2014,Newly reported contacts,202,0,10,0,0,0,0,6,54,132,0,0,0,0
9/6/2014,Total contacts listed,6038,146,514,0,61,41,0,272,1081,3526,382,9,6,0
9/6/2014,Currently under follow-up,3496,36,274,0,61,41,0,182,934,1757,198,9,4,0
9/6/2014,Contacts seen,3367,36,274,0,0,41,0,182,934,1702,198,0,0,0
9/6/2014,Contacts who completed 21 day follow-up,195,0,0,0,0,0,0,80,11,104,0,0,0,0
9/6/2014,Contacts lost to follow-up,1,0,0,0,0,0,0,0,0,1,0,0,0,0
9/6/2014,New admissions,44,0,0,0,0,0,0,4,0,40,0,0,0,0
9/6/2014,Total no. currently in Treatment Units,274,0,0,0,0,0,0,58,0,216,0,0,0,0
9/6/2014,Total discharges,32,0,0,0,0,0,0,4,0,28,0,0,0,0
9/6/2014,Cumulative admission/isolation,274,0,0,0,0,0,0,58,0,216,0,0,0,0
9/6/2014,Newly Reported Cases in HCW,3,0,0,0,0,0,0,0,0,3,0,0,0,0
9/6/2014,Cumulative cases among HCW,160,5,26,0,3,3,0,20,32,68,3,0,0,0
9/6/2014,Newly Reported deaths in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/6/2014,Cumulative deaths among HCW,78,5,5,0,1,0,0,17,19,31,0,0,0,0
9/6/2014,New Case/s (Suspected),39,0,1,0,0,1,0,0,24,13,0,0,0,0
9/6/2014,New Case/s (Probable),25,0,0,0,0,0,0,4,14,7,0,0,0,0
9/6/2014,New case/s (confirmed),6,0,4,0,0,0,0,2,0,0,0,0,0,0
9/6/2014,Total suspected cases,443,4,88,1,21,4,3,53,159,79,24,6,0,1
9/6/2014,Total probable cases,967,30,41,0,12,5,0,369,124,327,56,3,0,0
9/6/2014,Total confirmed cases,628,33,28,0,13,4,0,251,30,226,41,0,1,1
9/6/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,0,0,0,0,2,0,11,0,0,0,0,0,0
9/6/2014,Total Number of Confirmed Cases of Guinean Nationality,4,3,0,0,0,0,0,0,0,1,0,0,0,0
