Date,Variable,National,Bomi County,Bong County,Grand Kru,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
6/24/2014,Specimens collected,4,,,,2,,,,,,,
6/24/2014,Specimens pending for testing,22,,,,15,,,,,,,
6/24/2014,Total specimens tested,63,,,,47,,,,,,,
6/24/2014,Newly reported deaths,4,,,,2,,,2,,,,
6/24/2014,Total death/s in confirmed cases,18,,,,9,,,9,,,,
6/24/2014,Total death/s in probable cases,8,,,,4,,,4,,,,
6/24/2014,Total death/s in suspected cases,6,,,,4,,,2,,,,
6/24/2014,"Total death/s in confirmed, probable, suspected cases",32,,,,17,,,15,,,,
6/24/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,
6/24/2014,Newly reported contacts,6,,,,0,,,6,,,,
6/24/2014,Total contacts listed,256,,,,129,,,127,,,,
6/24/2014,Currently under follow-up,224,,,,112,,,112,,,,
6/24/2014,Contacts seen,224,,,,112,,,112,,,,
6/24/2014,Contacts who completed 21 day follow-up,17,,,,17,,,0,,,,
6/24/2014,Contacts lost to follow-up,15,,,,0,,,15,,,,
6/24/2014,New admissions,0,,,,0,,,0,,,,
6/24/2014,Total no. currently in Treatment Units,25,,,,20,,,5,,,,
6/24/2014,Total discharges,0,,,,0,,,0,,,,
6/24/2014,Cumulative admission/isolation,25,,,,20,,,0,,,,
6/24/2014,Newly Reported Cases in HCW,0,,,,0,,,5,,,,
6/24/2014,Cumulative cases among HCW,2,,,,0,,,2,,,,
6/24/2014,Newly Reported deaths in HCW,0,,,,0,,,0,,,,
6/24/2014,Cumulative deaths among HCW,2,,,,0,,,2,,,,
6/24/2014,New Case/s (Suspected),2,,,,2,,,0,,,,
6/24/2014,New Case/s (Probable),0,,,,0,,,0,,,,
6/24/2014,New case/s (confirmed),4,,,,0,,,4,,,,
6/24/2014,Total suspected cases,13,,,,13,,,0,,,,
6/24/2014,Total probable cases,8,,,,4,,,4,,,,
6/24/2014,Total confirmed cases,33,,,,21,,,12,,,,
6/24/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,4,,,,4,,,0,,,,
6/24/2014,Total Number of Confirmed Cases of Guinean Nationality,0,,,,,,,,,,,
