Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
9/1/2014,Specimens collected,13,3,1,0,0,0,0,8,0,0,1,0,0,0
9/1/2014,Specimens pending for testing,13,3,1,0,0,0,0,8,0,0,1,0,0,0
9/1/2014,Total specimens tested,27,0,0,0,0,0,0,27,0,0,0,0,0,0
9/1/2014,Newly reported deaths,34,1,0,0,0,0,0,4,0,28,1,0,0,0
9/1/2014,Total death/s in confirmed cases,390,19,11,0,6,4,0,143,25,155,27,0,0,0
9/1/2014,Total death/s in probable cases,379,15,13,0,3,2,0,138,44,129,34,0,1,0
9/1/2014,Total death/s in suspected cases,235,0,17,0,3,2,2,34,37,124,11,5,0,0
9/1/2014,"Total death/s in confirmed, probable, suspected cases",1004,34,41,0,12,8,2,315,106,408,72,5,1,0
9/1/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,,
9/1/2014,Newly reported contacts,288,40,0,0,0,0,0,0,94,152,2,0,0,0
9/1/2014,Total contacts listed,5497,131,475,0,33,30,0,756,904,2833,329,0,6,0
9/1/2014,Currently under follow-up,2527,77,293,0,33,25,0,232,813,905,145,0,4,0
9/1/2014,Contacts seen,2460,75,293,0,0,25,0,232,813,877,145,0,0,0
9/1/2014,Contacts who completed 21 day follow-up,108,54,0,0,0,0,0,10,0,44,0,0,0,0
9/1/2014,Contacts lost to follow-up,2,2,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2014,New admissions,32,0,0,0,0,0,0,0,0,32,0,0,0,0
9/1/2014,Total no. currently in Treatment Units,86,0,0,0,0,0,0,66,0,220,0,0,0,0
9/1/2014,Total discharges,25,0,0,0,0,0,0,6,0,19,0,0,0,0
9/1/2014,Cumulative admission/isolation,86,0,0,0,0,0,0,66,0,220,0,0,0,0
9/1/2014,Newly Reported Cases in HCW,4,0,0,0,0,0,0,0,0,3,1,0,0,0
9/1/2014,Cumulative cases among HCW,149,5,26,0,3,3,0,20,32,57,3,0,0,0
9/1/2014,Newly Reported deaths in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2014,Cumulative deaths among HCW,74,4,5,0,1,0,0,17,19,28,0,0,0,0
9/1/2014,New Case/s (Suspected),27,0,1,0,0,0,0,0,8,17,1,0,0,0
9/1/2014,New Case/s (Probable),32,1,0,0,0,0,0,0,6,23,2,0,0,0
9/1/2014,New case/s (confirmed),14,10,4,0,0,0,0,0,0,0,0,0,0,0
9/1/2014,Total suspected cases,512,1,81,1,18,2,3,63,119,201,17,5,0,1
9/1/2014,Total probable cases,845,31,36,0,11,4,0,335,82,296,50,0,0,0
9/1/2014,Total confirmed cases,406,31,24,0,11,4,0,220,30,44,40,0,1,1
9/1/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,0,0,0,0,2,0,11,0,0,0,0,0,0
9/1/2014,Total Number of Confirmed Cases of Guinean Nationality,1,0,0,0,0,0,0,0,0,1,0,0,0,0
