Date,Variable,National,Bomi County,Bong County,Grand Kru,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
6/16/2014,Specimens collected,1,,,,1,,,0,,,,
6/16/2014,Specimens pending for testing,0,,,,0,,,0,,,,
6/16/2014,Total specimens tested,28,,,,21,,,7,,,,
6/16/2014,Newly reported deaths,2,,,,1,,,0,,,,
6/16/2014,Total death/s in confirmed cases,8,,,,4,,,0,,,,
6/16/2014,Total death/s in probable cases,6,,,,2,,,0,,,,
6/16/2014,Total death/s in suspected cases,2,,,,2,,,0,,,,
6/16/2014,"Total death/s in confirmed, probable, suspected cases",16,,,,8,,,0,,,,
6/16/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,
6/16/2014,Newly reported contacts,41,,,,41,,,0,,,,
6/16/2014,Total contacts listed,108,,,,95,,,13,,,,
6/16/2014,Currently under follow-up,95,,,,95,,,0,,,,
6/16/2014,Contacts seen,95,,,,95,,,0,,,,
6/16/2014,Contacts who completed 21 day follow-up,11,,,,11,,,0,,,,
6/16/2014,Contacts lost to follow-up,,,,,0,,,0,,,,
6/16/2014,New admissions,1,,,,1,,,0,,,,
6/16/2014,Total no. currently in Treatment Units,5,,,,5,,,0,,,,
6/16/2014,Total discharges,3,,,,3,,,0,,,,
6/16/2014,Cumulative admission/isolation,5,,,,5,,,0,,,,
6/16/2014,Newly Reported Cases in HCW,0,,,,,,,,,,,
6/16/2014,Cumulative cases among HCW,1,,,,0,,,1,,,,
6/16/2014,Newly Reported deaths in HCW,0,,,,0,,,0,,,,
6/16/2014,Cumulative deaths among HCW,1,,,,0,,,1,,,,
6/16/2014,New Case/s (Suspected),2,,,,2,,,0,,,,
6/16/2014,New Case/s (Probable),1,,,,0,,,1,,,,
6/16/2014,New case/s (confirmed),1,,,,1,,,0,,,,
6/16/2014,Total suspected cases,4,,,,4,,,0,,,,
6/16/2014,Total probable cases,6,,,,2,,,4,,,,
6/16/2014,Total confirmed cases,12,,,,8,,,4,,,,
6/16/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,1,,,,1,,,0,,,,
6/16/2014,Total Number of Confirmed Cases of Guinean Nationality,0,,,,,,,,,,,
