Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Grand Kru,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
12/3/2014,Specimens collected,,,,,,,,,,,,,,,,
12/3/2014,Specimens pending for testing,,,,,,,,,,,,,,,,
12/3/2014,Total specimens tested,,,,,,,,,,,,,,,,
12/3/2014,Newly reported deaths,,,,,,,,,,,,,,,,
12/3/2014,Total death/s in confirmed cases,,,,,,,,,,,,,,,,
12/3/2014,Total death/s in probable cases,,,,,,,,,,,,,,,,
12/3/2014,Total death/s in suspected cases,,,,,,,,,,,,,,,,
12/3/2014,"Total death/s in confirmed, 
 probable, suspected cases",3177,158,124,10,62,74,5,27,384,549,17,1667,53,8,25,
12/3/2014,"Case Fatality Rate (CFR) - 
 Confirmed & Probable Cases",,,,,,,,,,,,,,,,
12/3/2014,Newly reported contacts,,,,,,,,,,,,,,,,
12/3/2014,Total contacts listed,,,,,,,,,,,,,,,,
12/3/2014,Currently under follow-up,,,,,,,,,,,,,,,,
12/3/2014,Contacts seen,,,,,,,,,,,,,,,,
12/3/2014,"Contacts who completed 21 day 
 follow-up",,,,,,,,,,,,,,,,
12/3/2014,Contacts lost to follow-up,,,,,,,,,,,,,,,,
12/3/2014,New admissions,,,,,,,,,,,,,,,,
12/3/2014,"Total no. currently in Treatment 
 Units",,,,,,,,,,,,,,,,
12/3/2014,Total discharges,,,,,,,,,,,,,,,,
12/3/2014,Cumulative admission/isolation,,,,,,,,,,,,,,,,
12/3/2014,Newly Reported Cases in HCW,,,,,,,,,,,,,,,,
12/3/2014,Cumulative cases among HCW,,,,,,,,,,,,,,,,
12/3/2014,Newly Reported deaths in HCW,,,,,,,,,,,,,,,,
12/3/2014,Cumulative deaths among HCW,,,,,,,,,,,,,,,,
12/3/2014,New Case/s (Suspected),,,,,,,,,,,,,,,,
12/3/2014,New Case/s (Probable),,,,,,,,,,,,,,,,
12/3/2014,New case/s (confirmed),,,,,,,,,,,,,,,,
12/3/2014,Total suspected cases,3075,83,391,25,41,45,8,14,171,415,15,1753,80,7,9,18
12/3/2014,Total probable cases,1814,73,32,3,73,45,0,18,149,478,2,789,128,5,13,3
12/3/2014,Total confirmed cases,2830,135,135,10,38,58,2,4,325,360,4,1601,114,7,19,18
12/3/2014,"Total Number of Confirmed Cases 
 of Sierra Leonean Nationality",,,,,,,,,,,,,,,,
12/3/2014,"Total Number of Confirmed Cases 
 of Guinean Nationality",,,,,,,,,,,,,,,,
12/3/2014,"Cumulative confirmed, probable and suspected cases",7719,291,558,38,152,148,10,36,645,1253,21,4143,322,19,44,39
