Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Grand Kru,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
10/22/2014,Specimens collected,21,,,,,,,,,,,,,,,
10/22/2014,Specimens pending for testing,,,,,,,,,,,,,,,,
10/22/2014,Total specimens tested,,,,,,,,,,,,,,,,
10/22/2014,Newly reported deaths,19,,0,,0,,0,0,0,0,,19,0,0,,0
10/22/2014,Total death/s in confirmed cases,,,,,,,,,,,,,,,,
10/22/2014,Total death/s in probable cases,,,,,,,,,,,,,,,,
10/22/2014,Total death/s in suspected cases,,,,,,,,,,,,,,,,
10/22/2014,"Total death/s in confirmed, probable, suspected cases",2168,45,45,3,51,39,3,18,374,450,8,1082,31,8,1,10
10/22/2014,"Case Fatality Rate (CFR) - Confirmed & Probable Cases",,,,,,,,,,,,,,,,
10/22/2014,Newly reported contacts,142,,0,,6,,0,0,0,9,,127,0,0,,0
10/22/2014,Total contacts listed,,,,,,,,,,,,,,,,
10/22/2014,Currently under follow-up,7794,,166,,27,,3,7,328,1763,,4914,488,1,,97
10/22/2014,Contacts seen,6660,,0,,27,,0,0,0,1763,,4869,0,1,,0
10/22/2014,"Contacts who completed 21 day follow-up",256,,0,,0,,16,0,33,0,,207,0,0,,0
10/22/2014,Contacts lost to follow-up,15,,0,,0,,0,0,0,15,,0,0,0,,0
10/22/2014,New admissions,,,,,,,,,,,,,,,,
10/22/2014,"Total no. currently in Treatment Units",,,,,,,,,,,,,,,,
10/22/2014,Total discharges,,,,,,,,,,,,,,,,
10/22/2014,Cumulative admission/isolation,,,,,,,,,,,,,,,,
10/22/2014,Newly Reported Cases in HCW,0,,0,,0,,0,0,0,0,,0,0,0,,0
10/22/2014,Cumulative cases among HCW,296,11,23,0,5,4,0,0,22,66,1,151,11,1,0,1
10/22/2014,Newly Reported deaths in HCW,0,,0,,0,,0,0,0,0,,0,0,0,,0
10/22/2014,Cumulative deaths among HCW,,6,8,0,2,1,0,0,16,30,0,58,2,0,0,0
10/22/2014,New Case/s (Suspected),20,,0,,0,,0,0,2,2,,16,0,0,,0
10/22/2014,New Case/s (Probable),10,,0,,0,,0,0,0,1,,7,2,0,,0
10/22/2014,New case/s (confirmed),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/22/2014,Total suspected cases,2392,69,160,6,36,28,2,11,167,343,9,1461,82,3,5,10
10/22/2014,Total probable cases,1556,26,35,2,69,9,0,13,151,482,2,662,100,1,1,3
10/22/2014,Total confirmed cases,2218,59,69,4,16,22,2,2,304,275,2,1343,98,4,4,14
10/22/2014,"Total Number of Confirmed Cases of Sierra Leonean Nationality",,,,,,,,,,,,,,,,
10/22/2014,"Total Number of Confirmed Cases of Guinean Nationality",,,,,,,,,,,,,,,,
10/22/2014,"Cumulative confirmed, probable and suspected cases",6166,154,264,12,121,59,4,26,622,1100,13,3466,280,8,10,27
