Date,Variable,National,Bomi County,Bong County,Grand Kru,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
6/22/2014,Specimens collected,4,,,,4,,,0,,,,
6/22/2014,Specimens pending for testing,8,,,,8,,,0,,,,
6/22/2014,Total specimens tested,49,,,,40,,,9,,,,
6/22/2014,Newly reported deaths,4,,,,2,,,2,,,,
6/22/2014,Total death/s in confirmed cases,16,,,,9,,,7,,,,
6/22/2014,Total death/s in probable cases,8,,,,4,,,4,,,,
6/22/2014,Total death/s in suspected cases,1,,,,1,,,0,,,,
6/22/2014,"Total death/s in confirmed, probable, suspected cases",25,,,,14,,,11,,,,
6/22/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,25,,,,14,,,11,,,,
6/22/2014,Newly reported contacts,131,,,,24,,,107,,,,
6/22/2014,Total contacts listed,249,,,,129,,,120,,,,
6/22/2014,Currently under follow-up,232,,,,112,,,120,,,,
6/22/2014,Contacts seen,232,,,,112,,,120,,,,
6/22/2014,Contacts who completed 21 day follow-up,17,,,,17,,,0,,,,
6/22/2014,Contacts lost to follow-up,0,,,,0,,,0,,,,
6/22/2014,New admissions,5,,,,5,,,0,,,,
6/22/2014,Total no. currently in Treatment Units,15,,,,15,,,0,,,,
6/22/2014,Total discharges,0,,,,0,,,0,,,,
6/22/2014,Cumulative admission/isolation,15,,,,15,,,0,,,,
6/22/2014,Newly Reported Cases in HCW,4,,,,2,,,2,,,,
6/22/2014,Cumulative cases among HCW,1,,,,0,,,1,,,,
6/22/2014,Newly Reported deaths in HCW,0,,,,0,,,0,,,,
6/22/2014,Cumulative deaths among HCW,1,,,,0,,,1,,,,
6/22/2014,New Case/s (Suspected),5,,,,5,,,0,,,,
6/22/2014,New Case/s (Probable),0,,,,0,,,0,,,,
6/22/2014,New case/s (confirmed),5,,,,3,,,2,,,,
6/22/2014,Total suspected cases,6,,,,6,,,0,,,,
6/22/2014,Total probable cases,8,,,,4,,,4,,,,
6/22/2014,Total confirmed cases,28,,,,21,,,7,,,,
6/22/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,4,,,,4,,,0,,,,
6/22/2014,Total Number of Confirmed Cases of Guinean Nationality,0,,,,,,,,,,,
