Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Grand Kru,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
11/30/2014,Specimens collected,,,,,,,,,,,,,,,,
11/30/2014,Specimens pending for testing,,,,,,,,,,,,,,,,
11/30/2014,Total specimens tested,46,,,,,,,,,,,,,,,
11/30/2014,Newly reported deaths,,,,,,,,,,,,,,,,
11/30/2014,Total death/s in confirmed cases,,,,,,,,,,,,,,,,
11/30/2014,Total death/s in probable cases,,,,,,,,,,,,,,,,
11/30/2014,Total death/s in suspected cases,,,,,,,,,,,,,,,,
11/30/2014,"Total death/s in confirmed, 
 probable, suspected cases",3157,158,124,10,62,74,5,26,384,549,17,1648,53,8,25,14
11/30/2014,"Case Fatality Rate (CFR) - 
 Confirmed & Probable Cases",,,,,,,,,,,,,,,,
11/30/2014,Newly reported contacts,125,4,0,0,0,8,0,0,0,7,0,106,0,0,0,0
11/30/2014,Total contacts listed,,,,,,,,,,,,,,,,
11/30/2014,Currently under follow-up,6429,142,202,8,62,391,1,72,66,2145,27,3226,0,0,0,87
11/30/2014,Contacts seen,6135,142,202,8,60,383,1,60,66,1913,27,3222,0,0,0,51
11/30/2014,"Contacts who completed 21 day 
 follow-up",69,0,9,5,10,7,0,0,0,0,0,32,0,0,6,0
11/30/2014,Contacts lost to follow-up,93,0,0,27,2,1,0,10,0,17,0,0,0,0,0,36
11/30/2014,New admissions,11,1,0,0,0,0,0,0,0,1,0,7,2,0,0,0
11/30/2014,"Total no. currently in Treatment 
 Units",148,5,11,0,0,0,0,0,0,19,0,105,8,0,0,0
11/30/2014,Total discharges,5,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0
11/30/2014,Cumulative admission/isolation,,,,,,,,,,,,,,,,
11/30/2014,Newly Reported Cases in HCW,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11/30/2014,Cumulative cases among HCW,362,18,41,0,9,8,0,0,22,70,1,177,12,3,0,1
11/30/2014,Newly Reported deaths in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/30/2014,Cumulative deaths among HCW,174,14,16,0,4,4,0,0,16,38,0,80,2,0,0,0
11/30/2014,New Case/s (Suspected),,,,,,,,,,,,,,7,9,17
11/30/2014,New Case/s (Probable),,,,,,,,,,,,,,5,16,3
11/30/2014,New case/s (confirmed),10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
11/30/2014,Total suspected cases,3051,84,391,25,42,45,8,14,171,415,15,1728,80,,,
11/30/2014,Total probable cases,1779,69,32,3,66,37,0,17,149,478,2,774,128,,,
11/30/2014,Total confirmed cases,2823,135,135,10,38,57,2,4,325,360,4,1595,114,,,
11/30/2014,"Total Number of Confirmed Cases 
 of Sierra Leonean Nationality",,,,,,,,,,,,,,,,
11/30/2014,"Total Number of Confirmed Cases 
 of Guinean Nationality",,,,,,,,,,,,,,,,
11/30/2014,"Cumulative confirmed, probable and suspected cases",7653,288,558,38,146,139,10,35,645,1253,21,4097,322,19,44,38
