Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Grand Kru,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
11/28/2014,Specimens collected,,,,,,,,,,,,,,,,
11/28/2014,Specimens pending for testing,,,,,,,,,,,,,,,,
11/28/2014,Total specimens tested,,,,,,,,,,,,,,,,
11/28/2014,Newly reported deaths,,,,,,,,,,,,,,,,
11/28/2014,Total death/s in confirmed cases,,,,,,,,,,,,,,,,
11/28/2014,Total death/s in probable cases,,,,,,,,,,,,,,,,
11/28/2014,Total death/s in suspected cases,,,,,,,,,,,,,,,,
11/28/2014,"Total death/s in confirmed, 
 probable, suspected cases",3145,158,124,10,62,70,5,26,384,550,17,1639,53,8,25,14
11/28/2014,"Case Fatality Rate (CFR) - 
 Confirmed & Probable Cases",,,,,,,,,,,,,,,,
11/28/2014,Newly reported contacts,250,4,0,0,0,110,0,0,0,0,0,136,0,0,0,0
11/28/2014,Total contacts listed,,,,,,,,,,,,,,,,
11/28/2014,Currently under follow-up,6284,142,202,54,73,313,1,72,66,2143,27,3073,0,0,31,87
11/28/2014,Contacts seen,5561,142,202,27,65,110,1,60,66,1713,27,3066,0,0,31,51
11/28/2014,"Contacts who completed 21 day 
 follow-up",151,0,9,0,0,14,0,0,0,0,0,128,0,0,0,0
11/28/2014,Contacts lost to follow-up,92,0,0,27,0,2,0,10,0,17,0,0,0,0,0,36
11/28/2014,New admissions,23,2,2,0,0,0,0,0,0,5,0,14,0,0,0,0
11/28/2014,"Total no. currently in Treatment 
 Units",137,8,12,0,0,0,0,0,0,17,0,94,6,0,0,0
11/28/2014,Total discharges,15,0,8,0,0,0,0,0,0,0,0,7,0,0,0,0
11/28/2014,Cumulative admission/isolation,,,,,,,,,,,,,,,,
11/28/2014,Newly Reported Cases in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/28/2014,Cumulative cases among HCW,361,18,41,0,8,8,0,0,22,70,1,177,12,3,0,1
11/28/2014,Newly Reported deaths in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/28/2014,Cumulative deaths among HCW,174,14,16,0,4,4,0,0,16,38,0,80,2,0,0,0
11/28/2014,New Case/s (Suspected),,,,,,,,,,,,,,,,
11/28/2014,New Case/s (Probable),,,,,,,,,,,,,,,,
11/28/2014,New case/s (confirmed),7,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0
11/28/2014,Total suspected cases,3042,84,391,25,43,45,8,14,171,415,15,1718,80,7,9,17
11/28/2014,Total probable cases,1792,69,32,3,68,50,0,17,149,478,2,771,128,5,17,3
11/28/2014,Total confirmed cases,2801,135,135,10,35,40,2,4,325,360,4,1594,114,7,18,18
11/28/2014,"Total Number of Confirmed Cases 
 of Sierra Leonean Nationality",,,,,,,,,,,,,,,,
11/28/2014,"Total Number of Confirmed Cases 
 of Guinean Nationality",,,,,,,,,,,,,,,,
11/28/2014,"Cumulative confirmed, probable and suspected cases",7635,288,558,38,146,135,10,35,645,1253,21,4083,322,19,44,38
