Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Grand Kru,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
11/2/2014,Specimens collected,,,,,,,,,,,,,,,,
11/2/2014,Specimens pending for testing,,,,,,,,,,,,,,,,
11/2/2014,Total specimens tested,88,,,,,,,,,,,,,,,
11/2/2014,Newly reported deaths,8,1,3,0,0,0,0,0,0,0,0,4,0,0,0,0
11/2/2014,Total death/s in confirmed cases,,,,,,,,,,,,,,,,
11/2/2014,Total death/s in probable cases,,,,,,,,,,,,,,,,
11/2/2014,Total death/s in suspected cases,,,,,,,,,,,,,,,,
11/2/2014,"Total death/s in confirmed, probable, suspected cases",2700,85,77,3,50,43,3,22,346,516,14,1465,44,8,14,10
11/2/2014,"Case Fatality Rate (CFR) - Confirmed & Probable Cases",,,,,,,,,,,,,,,,
11/2/2014,Newly reported contacts,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
11/2/2014,Total contacts listed,,,,,,,,,,,,,,,,
11/2/2014,Currently under follow-up,6919,0,102,0,11,188,0,0,114,1791,0,4419,173,0,41,80
11/2/2014,Contacts seen,6464,0,102,0,0,0,0,0,0,1791,0,4398,173,0,0,0
11/2/2014,"Contacts who completed 21 day follow-up",169,0,15,0,0,0,0,0,0,0,0,154,0,0,0,0
11/2/2014,Contacts lost to follow-up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/2/2014,New admissions,17,,2,,,,,,0,,,13,2,,,
11/2/2014,"Total no. currently in Treatment Units",235,,18,,,,,,0,,,211,6,,,
11/2/2014,Total discharges,12,,9,,,,,,0,,,3,0,,,
11/2/2014,Cumulative admission/isolation,,,,,,,,,,,,,,,,
11/2/2014,Newly Reported Cases in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/2/2014,Cumulative cases among HCW,316,11,23,0,6,5,0,0,22,68,1,165,12,2,0,1
11/2/2014,Newly Reported deaths in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/2/2014,Cumulative deaths among HCW,157,9,12,0,2,2,0,0,16,37,0,77,2,0,0,0
11/2/2014,New Case/s (Suspected),18,0,13,0,0,0,0,0,0,0,0,5,0,0,0,0
11/2/2014,New Case/s (Probable),9,0,5,0,0,0,0,0,0,0,0,2,2,0,0,0
11/2/2014,New case/s (confirmed),,,,,,,,,,,,,,,,
11/2/2014,Total suspected cases,2445,61,150,6,39,28,2,14,168,367,13,1492,79,7,9,10
11/2/2014,Total probable cases,1623,42,33,2,68,19,0,13,151,476,2,675,133,4,2,3
11/2/2014,Total confirmed cases,2456,74,78,4,18,27,2,3,304,312,3,1499,106,7,5,14
11/2/2014,"Total Number of Confirmed Cases of Sierra Leonean Nationality",,,,,,,,,,,,,,,,
11/2/2014,"Total Number of Confirmed Cases of Guinean Nationality",,,,,,,,,,,,,,,,
11/2/2014,"Cumulative confirmed, probable and suspected cases",6524,177,261,12,125,74,4,30,623,1155,18,3666,318,18,16,27
