Date,Variable,National,Bomi County,Bong County,Grand Kru,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
7/20/2014,Specimens collected,7,0,2,0,0,0,0,1,4,0,0,0
7/20/2014,Specimens pending for testing,3,0,0,0,2,0,0,1,0,0,0,0
7/20/2014,Total specimens tested,10,0,0,0,0,0,0,10,0,0,0,0
7/20/2014,Newly reported deaths,4,0,2,0,0,0,0,2,0,0,0,0
7/20/2014,Total death/s in confirmed cases,50,1,0,0,27,2,0,20,0,0,0,0
7/20/2014,Total death/s in probable cases,42,1,1,0,15,0,0,25,0,0,0,0
7/20/2014,Total death/s in suspected cases,24,0,1,0,13,0,0,10,0,0,0,0
7/20/2014,"Total death/s in confirmed, probable, suspected cases",116,2,2,0,55,2,0,55,0,0,0,0
7/20/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,67.2,100,11.1,0,61.8,66.7,0,84.9,0,0,0,0
7/20/2014,Newly reported contacts,9,0,9,0,0,0,0,0,0,0,0,0
7/20/2014,Total contacts listed,445,4,30,0,129,28,0,254,0,0,0,0
7/20/2014,Currently under follow-up,418,2,28,0,129,5,0,254,0,0,0,0
7/20/2014,Contacts seen,394,2,16,0,129,5,0,242,0,0,0,0
7/20/2014,Contacts who completed 21 day follow-up,0,0,0,0,0,0,0,0,0,0,0,0
7/20/2014,Contacts lost to follow-up,3,2,1,0,0,0,0,0,0,0,0,0
7/20/2014,New admissions,0,0,0,0,0,0,0,0,0,0,0,0
7/20/2014,Total no. currently in Treatment Units,27,0,0,0,13,0,0,14,0,0,0,0
7/20/2014,Total discharges,0,0,0,0,0,0,0,0,0,0,0,0
7/20/2014,Cumulative admission/isolation,27,0,0,0,13,0,0,14,0,0,0,0
7/20/2014,Newly Reported Cases in HCW,1,0,1,0,0,0,0,0,0,0,0,0
7/20/2014,Cumulative cases among HCW,27,0,15,0,5,0,0,7,0,0,0,0
7/20/2014,Newly Reported deaths in HCW,0,0,0,0,0,0,0,0,0,0,0,0
7/20/2014,Cumulative deaths among HCW,10,0,0,0,4,0,0,6,0,0,0,0
7/20/2014,New Case/s (Suspected),2,0,2,0,0,0,0,0,0,0,0,0
7/20/2014,New Case/s (Probable),0,0,0,0,0,0,0,0,0,0,0,0
7/20/2014,New case/s (confirmed),1,0,0,0,0,0,0,0,1,0,0,0
7/20/2014,Total suspected cases,79,0,10,0,50,0,0,17,2,0,0,0
7/20/2014,Total probable cases,66,1,5,0,27,2,0,30,1,0,0,0
7/20/2014,Total confirmed cases,71,1,4,0,41,1,0,23,1,0,0,0
7/20/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,11,0,0,0,11,0,0,0,0,0,0,0
7/20/2014,Total Number of Confirmed Cases of Guinean Nationality,0,0,0,0,0,0,0,0,0,0,0,0
