Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County
7/26/2014,Specimens collected,4,0,0,0,0,0,0,3,1,0,0,0
7/26/2014,Specimens pending for testing,23,11,6,0,0,0,1,4,1,0,0,0
7/26/2014,Total specimens tested,9,0,0,0,0,0,0,0,0,0,9,0
7/26/2014,Newly reported deaths,9,0,1,0,0,0,0,2,2,0,4,0
7/26/2014,Total death/s in confirmed cases,66,1,4,0,0,0,0,34,2,0,25,0
7/26/2014,Total death/s in probable cases,60,1,3,0,0,0,0,20,0,0,36,0
7/26/2014,Total death/s in suspected cases,19,0,1,0,0,0,1,14,2,0,1,0
7/26/2014,"Total death/s in confirmed, probable, suspected cases",145,2,8,0,0,0,1,68,4,0,62,0
7/26/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,
7/26/2014,Newly reported contacts,4,0,0,0,0,0,0,4,0,0,0,0
7/26/2014,Total contacts listed,547,4,51,0,0,0,0,180,28,0,284,0
7/26/2014,Currently under follow-up,518,2,51,0,0,0,0,176,5,0,284,0
7/26/2014,Contacts seen,414,0,26,0,0,0,0,112,0,0,276,0
7/26/2014,Contacts who completed 21 day follow-up,4,0,0,0,0,0,0,4,0,0,0,0
7/26/2014,Contacts lost to follow-up,2,2,0,0,0,0,0,0,0,0,0,0
7/26/2014,New admissions,9,0,0,0,0,0,0,0,0,0,9,0
7/26/2014,Total no. currently in Treatment Units,31,0,0,0,0,0,0,9,0,0,22,0
7/26/2014,Total discharges,8,0,0,0,0,0,0,4,0,0,4,0
7/26/2014,Cumulative admission/isolation,31,0,0,0,0,0,0,9,0,0,22,0
7/26/2014,Newly Reported Cases in HCW,0,0,0,0,0,0,0,0,0,0,0,0
7/26/2014,Cumulative cases among HCW,37,0,20,0,0,0,0,9,0,0,8,0
7/26/2014,Newly Reported deaths in HCW,3,0,0,0,0,0,0,0,0,0,3,0
7/26/2014,Cumulative deaths among HCW,21,0,3,,0,0,0,0,0,0,13,0
7/26/2014,New Case/s (Suspected),10,0,4,0,0,0,0,1,2,0,3,0
7/26/2014,New Case/s (Probable),3,0,0,0,0,0,0,3,0,0,0,0
7/26/2014,New case/s (confirmed),6,6,0,0,0,0,0,0,0,0,0,0
7/26/2014,Total suspected cases,101,0,16,0,0,0,1,54,2,0,27,1
7/26/2014,Total probable cases,114,12,13,0,0,0,0,48,2,0,38,1
7/26/2014,Total confirmed cases,92,7,10,0,0,0,0,44,2,0,27,2
7/26/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,11,0,0,0,0,0,0,11,0,0,0,0
7/26/2014,Total Number of Confirmed Cases of Guinean Nationality,0,0,0,0,0,0,0,0,0,0,0,0
