Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
9/10/2014,Specimens collected,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
9/10/2014,Specimens pending for testing,24,5,0,0,0,0,0,0,14,0,0,5,0,0,0
9/10/2014,Total specimens tested,32,0,0,0,0,11,0,21,0,0,0,0,0,0,0
9/10/2014,Newly reported deaths,46,2,1,0,0,1,0,5,12,0,22,3,0,0,0
9/10/2014,Total death/s in confirmed cases,563,27,12,0,13,6,0,167,34,0,271,32,0,0,1
9/10/2014,Total death/s in probable cases,472,22,14,0,3,3,0,166,72,4,141,46,0,1,0
9/10/2014,Total death/s in suspected cases,261,0,23,0,3,5,2,35,56,0,120,12,5,0,0
9/10/2014,"Total death/s in confirmed, probable, suspected cases",1296,49,49,0,19,14,2,368,162,4,532,90,5,1,1
9/10/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,,,
9/10/2014,Newly reported contacts,191,60,10,0,0,0,0,27,51,0,38,5,0,0,0
9/10/2014,Total contacts listed,7081,272,524,0,61,69,0,391,1242,6,3998,487,9,6,16
9/10/2014,Currently under follow-up,3583,164,284,0,61,69,0,129,937,6,1601,303,9,4,16
9/10/2014,Contacts seen,3527,164,190,0,0,69,0,129,1084,0,1572,303,0,0,16
9/10/2014,Contacts who completed 21 day follow-up,321,0,85,0,0,0,0,34,147,0,21,18,0,0,16
9/10/2014,Contacts lost to follow-up,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9/10/2014,New admissions,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0
9/10/2014,Total no. currently in Treatment Units,49,0,0,0,0,0,0,49,0,0,0,0,0,0,0
9/10/2014,Total discharges,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
9/10/2014,Cumulative admission/isolation,49,0,0,0,0,0,0,49,0,0,0,0,0,0,0
9/10/2014,Newly Reported Cases in HCW,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9/10/2014,Cumulative cases among HCW,169,5,26,0,3,3,0,20,36,0,70,6,0,0,0
9/10/2014,Newly Reported deaths in HCW,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0
9/10/2014,Cumulative deaths among HCW,82,5,6,0,1,0,0,17,19,0,32,2,0,0,0
9/10/2014,New Case/s (Suspected),29,0,1,0,0,0,0,0,9,0,18,0,0,0,1
9/10/2014,New Case/s (Probable),28,3,0,0,0,0,0,5,10,0,10,0,0,0,0
9/10/2014,New case/s (confirmed),2,0,0,0,0,1,0,1,0,0,0,0,0,0,0
9/10/2014,Total suspected cases,539,4,93,1,21,5,3,53,180,1,144,26,6,0,2
9/10/2014,Total probable cases,1078,40,42,0,12,5,0,379,178,5,353,61,3,0,0
9/10/2014,Total confirmed cases,790,33,44,0,13,6,0,260,33,0,352,47,0,1,1
9/10/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,14,0,0,0,0,2,0,11,1,0,0,0,0,0,0
9/10/2014,Total Number of Confirmed Cases of Guinean Nationality,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0
