Date,Variable,National,Bomi County,Bong County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
8/25/2014,Specimens collected,4,,3,,,,,,,,1,,
8/25/2014,Specimens pending for testing,38,,3,,,,,16,18,,1,,
8/25/2014,Total specimens tested,,,,,,,,,,,,,
8/25/2014,Newly reported deaths,28,,5,,,,10,,5,4,4,,
8/25/2014,Total death/s in confirmed cases,280,19,11,1,4,,119,23,81,22,,,
8/25/2014,Total death/s in probable cases,309,10,11,1,1,,117,34,108,26,,1,
8/25/2014,Total death/s in suspected cases,182,,17,,2,1,34,28,89,6,5,,
8/25/2014,"Total death/s in confirmed, probable, suspected cases",771,29,39,2,7,1,270,85,278,54,5,1,
8/25/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,
8/25/2014,Newly reported contacts,151,,14,,,,7,,79,41,10,,
8/25/2014,Total contacts listed,3957,64,410,10,31,,682,409,2065,270,10,6,
8/25/2014,Currently under follow-up,2524,54,275,10,27,,415,408,1247,74,10,4,
8/25/2014,Contacts seen,2308,,275,,,,415,408,1126,74,10,,
8/25/2014,Contacts who completed 21 day follow-up,68,,57,,,,,,11,,,,
8/25/2014,Contacts lost to follow-up,13,,,,,,,,13,,,,
8/25/2014,New admissions,12,,,,,,11,,1,,,,
8/25/2014,Total no. currently in Treatment Units,102,,,,,,61,,41,,,,
8/25/2014,Total discharges,35,,,,,,29,,6,,,,
8/25/2014,Cumulative admission/isolation,102,,,,,,61,,41,,,,
8/25/2014,Newly Reported Cases in HCW,1,,,,,,,,,1,,,
8/25/2014,Cumulative cases among HCW,132,5,26,3,3,,19,29,45,2,,,
8/25/2014,Newly Reported deaths in HCW,,,,,,,,,,,,,
8/25/2014,Cumulative deaths among HCW,67,4,5,,,,16,18,24,,,,
8/25/2014,New Case/s (Suspected),16,,4,,,,,,8,,4,,
8/25/2014,New Case/s (Probable),13,,,,,,11,,1,1,,,
8/25/2014,New case/s (confirmed),0,,,,,,,,,,,,
8/25/2014,Total suspected cases,398,1,72,8,1,2,63,89,142,14,5,,1
8/25/2014,Total probable cases,675,24,30,1,3,,306,48,219,44,,,
8/25/2014,Total confirmed cases,322,21,20,6,4,,173,27,44,25,,1,1
8/25/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,,,,2,,11,,,,,,
8/25/2014,Total Number of Confirmed Cases of Guinean Nationality,1,,,,,,,,1,,,,
