Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
8/28/2014,Specimens collected,25,2,2,,,,,19,,,2,,,
8/28/2014,Specimens pending for testing,41,2,2,,1,,,19,,,17,,,
8/28/2014,Total specimens tested,21,,,,,,,21,,,,,,
8/28/2014,Newly reported deaths,51,1,,,,,,9,4,35,2,,,
8/28/2014,Total death/s in confirmed cases,321,19,11,,6,4,,131,23,104,23,,,
8/28/2014,Total death/s in probable cases,350,14,13,,3,1,,128,40,121,29,,1,
8/28/2014,Total death/s in suspected cases,214,,17,,3,2,2,34,34,110,7,5,,
8/28/2014,"Total death/s in confirmed, probable, suspected cases",885,33,41,,12,7,2,293,97,335,59,5,1,
8/28/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,,
8/28/2014,Newly reported contacts,165,11,11,,,,,,,128,15,,,
8/28/2014,Total contacts listed,4779,91,456,,33,30,,717,685,2476,285,,6,
8/28/2014,Currently under follow-up,2790,46,274,,33,25,,367,594,1346,101,,4,
8/28/2014,Contacts seen,2732,46,274,,33,25,,367,594,1292,101,,,
8/28/2014,Contacts who completed 21 day follow-up,140,,,,,,,94,,46,,,,
8/28/2014,Contacts lost to follow-up,10,,,,,5,,,,5,,,,
8/28/2014,New admissions,28,,,,,,,9,,19,,,,
8/28/2014,Total no. currently in Treatment Units,264,,,,,,,69,,195,,,,
8/28/2014,Total discharges,31,,,,,,,8,,23,,,,
8/28/2014,Cumulative admission/isolation,264,,,,,,,69,,195,,,,
8/28/2014,Newly Reported Cases in HCW,3,,,,,,,,,3,,,,
8/28/2014,Cumulative cases among HCW,140,5,26,,3,3,,20,30,51,2,,,
8/28/2014,Newly Reported deaths in HCW,2,,,,,,,,,2,,,,
8/28/2014,Cumulative deaths among HCW,73,4,5,,1,,,17,18,28,,,,
8/28/2014,New Case/s (Suspected),14,,1,,,,,,1,11,1,,,
8/28/2014,New Case/s (Probable),25,,1,,,,,9,2,13,,,,
8/28/2014,New case/s (confirmed),22,,,,,,,21,,,1,,,
8/28/2014,Total suspected cases,460,1,78,1,18,1,3,63,99,174,16,5,,1
8/28/2014,Total probable cases,753,30,34,,11,4,,307,60,249,58,,,
8/28/2014,Total confirmed cases,369,21,20,,11,4,,210,27,44,30,,1,1
8/28/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,,,,,2,,11,,,,,,
8/28/2014,Total Number of Confirmed Cases of Guinean Nationality,1,,,,,,,,,1,,,,
