Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Grand Kru,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
12/4/2014,Specimens collected,,,,,,,,,,,,,,,,
12/4/2014,Specimens pending for testing,,,,,,,,,,,,,,,,
12/4/2014,Total specimens tested,,,,,,,,,,,,,,,,
12/4/2014,Newly reported deaths,,,,,,,,,,,,,,,,
12/4/2014,Total death/s in confirmed cases,,,,,,,,,,,,,,,,
12/4/2014,Total death/s in probable cases,,,,,,,,,,,,,,,,
12/4/2014,Total death/s in suspected cases,,,,,,,,,,,,,,,,
12/4/2014,"Total death/s in confirmed, 
 probable, suspected cases",3205,158,124,10,65,75,5,27,385,550,17,1688,53,8,26,14
12/4/2014,"Case Fatality Rate (CFR) - 
 Confirmed & Probable Cases",,,,,,,,,,,,,,,,
12/4/2014,Newly reported contacts,,,,,,,,,,,,,,,,
12/4/2014,Total contacts listed,,,,,,,,,,,,,,,,
12/4/2014,Currently under follow-up,,,,,,,,,,,,,,,,
12/4/2014,Contacts seen,,,,,,,,,,,,,,,,
12/4/2014,"Contacts who completed 21 day 
 follow-up",,,,,,,,,,,,,,,,
12/4/2014,Contacts lost to follow-up,,,,,,,,,,,,,,,,
12/4/2014,New admissions,,,,,,,,,,,,,,,,
12/4/2014,"Total no. currently in Treatment 
 Units",,,,,,,,,,,,,,,,
12/4/2014,Total discharges,,,,,,,,,,,,,,,,
12/4/2014,Cumulative admission/isolation,,,,,,,,,,,,,,,,
12/4/2014,Newly Reported Cases in HCW,,,,,,,,,,,,,,,,
12/4/2014,Cumulative cases among HCW,,,,,,,,,,,,,,,,
12/4/2014,Newly Reported deaths in HCW,,,,,,,,,,,,,,,,
12/4/2014,Cumulative deaths among HCW,,,,,,,,,,,,,,,,
12/4/2014,New Case/s (Suspected),3054,83,390,25,41,45,8,14,171,415,15,1733,80,7,9,18
12/4/2014,New Case/s (Probable),1800,73,32,3,73,43,0,18,148,474,2,786,128,5,12,3
12/4/2014,New case/s (confirmed),2867,135,135,10,40,59,2,4,326,365,4,1630,114,7,20,16
12/4/2014,Total suspected cases,,,,,,,,,,,,,,,,
12/4/2014,Total probable cases,,,,,,,,,,,,,,,,
12/4/2014,Total confirmed cases,,,,,,,,,,,,,,,,
12/4/2014,"Total Number of Confirmed Cases 
 of Sierra Leonean Nationality",,,,,,,,,,,,,,,,
12/4/2014,"Total Number of Confirmed Cases 
 of Guinean Nationality",,,,,,,,,,,,,,,,
12/4/2014,"Cumulative confirmed, probable and suspected cases",7721,291,557,38,154,147,10,36,645,1254,21,4149,322,19,41,37
